BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.14,0.50,10.42,-1.42,0.00,0.00,0.00,0.25,1.95,0.45,0.25,4.69,1.17,0.00,0.97,0.00,0.38,1.45,0.51,0.00
0.00,0.62,9.96,0.00,0.00,0.00,0.00,0.25,1.10,0.25,0.25,1.49,0.37,0.00,0.97,0.00,0.50,1.45,0.67,0.00
-0.02,0.61,8.74,-0.13,0.00,0.00,0.00,0.25,1.95,0.45,0.25,1.49,0.37,0.00,1.00,0.00,0.49,1.45,0.66,0.00
-0.42,0.62,8.34,-3.50,0.00,0.00,0.00,0.25,1.95,0.45,0.25,2.49,0.62,0.00,1.00,0.00,0.50,1.45,0.67,0.00
-0.01,1.00,8.49,-0.08,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.49,0.37,0.10,1.00,0.09,0.50,1.47,0.68,0.00
-0.01,1.00,8.80,-0.08,0.00,0.00,0.00,0.25,3.29,0.76,0.25,8.79,2.20,0.10,1.00,0.09,0.50,1.95,0.90,0.00
-0.01,1.00,13.78,-0.13,0.00,0.00,0.00,0.25,3.29,0.76,0.25,3.29,0.82,0.10,1.11,0.10,0.50,1.99,0.92,0.00
-0.01,1.00,14.33,-0.14,0.00,0.00,0.00,0.25,2.69,0.62,0.25,2.69,0.67,0.10,1.05,0.09,0.50,2.00,0.92,0.00
-0.01,1.00,14.91,-0.14,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.69,4.67,0.10,1.05,0.09,0.50,1.95,0.90,0.00
-0.01,1.00,14.74,-0.14,0.00,0.00,0.00,0.25,4.80,1.11,0.25,7.50,1.88,0.10,1.07,0.09,0.50,1.89,0.87,0.00
-0.01,1.00,16.88,-0.16,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.01,1.75,0.10,1.04,0.09,0.50,1.50,0.69,0.00
0.00,1.00,17.31,0.00,0.00,0.00,0.00,0.25,2.45,0.56,0.25,5.46,1.36,0.10,1.04,0.09,0.50,1.65,0.76,0.00
-0.02,0.99,16.80,-0.32,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.09,1.04,0.09,0.50,1.65,0.76,0.00
-0.01,1.00,17.46,-0.17,0.00,0.00,0.00,0.25,2.10,0.48,0.25,4.69,1.17,0.10,1.04,0.09,0.50,1.50,0.69,0.00
0.00,1.00,18.74,0.00,0.00,0.00,0.00,0.25,2.68,0.62,0.25,5.69,1.42,0.10,4.79,0.42,0.50,1.65,0.76,0.00
-0.02,0.99,16.44,-0.31,0.00,0.00,0.00,0.25,3.03,0.70,0.25,5.69,1.42,0.09,3.41,0.29,0.50,1.50,0.69,0.00
0.15,1.00,24.14,3.45,0.00,0.00,0.00,0.25,6.74,1.55,0.25,7.01,1.75,0.10,4.79,0.42,0.50,2.00,0.92,0.00
0.21,0.84,32.44,6.25,0.00,0.00,0.00,0.25,13.36,3.08,0.25,10.15,2.54,0.04,8.95,0.34,0.50,10.13,4.67,0.00
0.25,0.62,23.37,5.39,0.00,0.00,0.00,0.25,3.29,0.76,0.25,3.35,0.84,0.00,1.11,0.00,0.50,3.33,1.54,0.00
0.00,0.36,17.92,0.00,0.00,0.00,0.00,0.25,2.45,0.56,0.25,1.78,0.45,0.00,1.09,0.00,0.24,1.95,0.44,0.00
0.00,0.36,15.71,0.00,0.00,0.00,0.00,0.25,2.45,0.56,0.25,1.97,0.49,0.00,1.04,0.00,0.24,1.95,0.43,0.00
0.27,0.35,16.36,4.10,0.00,0.00,0.00,0.00,1.00,0.00,0.25,3.49,0.87,0.00,1.11,0.00,0.48,1.50,0.67,0.00
0.02,0.10,12.69,0.24,0.00,0.00,0.00,0.00,1.45,0.00,0.25,6.89,1.72,0.00,1.13,0.00,0.23,1.95,0.41,0.00
0.00,0.10,8.14,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.25,4.49,1.12,0.00,1.11,0.00,0.23,1.93,0.41,0.00
0.02,0.12,8.26,0.14,0.00,0.00,0.00,0.25,1.99,0.46,0.25,2.98,0.74,0.00,1.05,0.00,0.00,1.49,0.00,0.00
-0.56,0.10,3.97,-2.24,0.00,0.00,0.00,0.23,1.77,0.38,0.25,1.49,0.37,0.00,1.04,0.00,0.00,1.30,0.00,0.00
-0.42,0.62,3.06,-1.29,0.00,0.00,0.00,0.25,1.97,0.45,0.25,1.49,0.37,0.00,1.09,0.00,0.50,1.47,0.68,0.00
-0.01,1.00,3.03,-0.03,0.00,0.00,0.00,0.25,1.99,0.46,0.25,2.49,0.62,0.10,1.09,0.10,0.50,1.49,0.69,0.00
-0.01,1.00,6.33,-0.06,0.00,0.00,0.00,0.25,2.10,0.48,0.25,1.49,0.37,0.10,1.09,0.10,0.50,1.50,0.69,0.00
-0.01,1.00,8.55,-0.08,0.00,0.00,0.00,0.25,3.75,0.86,0.25,7.01,1.75,0.10,1.09,0.10,0.50,1.75,0.81,0.00
-0.01,1.00,12.53,-0.12,0.00,0.00,0.00,0.25,3.69,0.85,0.25,5.01,1.25,0.10,1.40,0.12,0.50,2.00,0.92,0.00
0.00,1.00,15.49,0.00,0.00,0.00,0.00,0.25,3.30,0.76,0.25,3.30,0.82,0.10,1.25,0.11,0.50,3.00,1.38,0.00
0.00,0.99,17.39,0.00,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.69,4.67,0.09,1.15,0.10,0.50,1.99,0.92,0.00
0.00,0.98,18.14,0.00,0.00,0.00,0.00,0.25,6.43,1.48,0.25,7.69,1.92,0.09,1.15,0.10,0.50,1.95,0.90,0.00
0.14,0.97,18.09,2.32,0.00,0.00,0.00,0.25,3.69,0.85,0.25,7.50,1.88,0.09,1.09,0.09,0.50,1.69,0.78,0.00
0.20,0.83,18.72,3.42,0.00,0.00,0.00,0.25,3.29,0.76,0.25,6.30,1.57,0.05,1.11,0.05,0.50,1.85,0.85,0.00
0.25,0.62,17.74,4.09,0.00,0.00,0.00,0.25,3.19,0.74,0.25,5.69,1.42,0.00,1.13,0.00,0.50,1.65,0.76,0.00
0.00,0.36,13.81,0.00,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.14,0.00,0.24,1.50,0.34,0.00
-0.70,0.36,11.29,-7.91,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.00,1.75,0.00,4.79,0.00,0.24,1.65,0.36,0.00
-0.01,1.00,11.35,-0.11,0.00,0.00,0.00,0.25,2.80,0.65,0.25,7.50,1.88,0.10,4.79,0.42,0.50,1.89,0.87,0.00
-0.01,1.00,15.17,-0.15,0.00,0.00,0.00,0.25,5.98,1.38,0.25,7.98,2.00,0.10,6.75,0.59,0.50,1.95,0.90,0.00
0.75,1.00,31.65,21.88,0.00,0.00,0.00,0.25,10.40,2.40,0.25,8.89,2.22,0.00,6.75,0.00,0.00,4.45,0.00,0.00
0.14,0.25,21.89,2.92,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.01,1.25,0.00,1.40,0.00,0.13,2.00,0.24,0.00
-0.02,0.10,15.22,-0.32,0.00,0.00,0.00,0.23,2.45,0.52,0.25,3.20,0.80,0.00,1.13,0.00,0.00,1.95,0.00,0.00
