BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.95,0.50,16.99,-16.10,0.00,0.10,0.00,0.50,1.00,0.46,0.07,0.94,0.06,0.05,1.49,0.07,0.05,1.51,0.08,0.00
-0.15,0.93,18.01,-2.76,0.00,0.11,0.00,0.50,1.00,0.46,0.29,0.94,0.25,0.05,1.47,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,18.17,-0.23,0.00,0.12,0.00,0.50,1.00,0.46,0.32,1.23,0.37,0.05,1.80,0.08,0.05,1.25,0.06,0.00
-0.01,1.00,18.91,-0.24,0.00,0.13,0.00,0.50,1.00,0.46,0.32,1.23,0.37,0.05,1.60,0.07,0.05,1.25,0.06,0.00
0.00,1.00,20.42,0.00,0.00,0.14,0.00,0.50,1.01,0.46,0.32,1.23,0.37,0.05,2.00,0.09,0.05,1.25,0.06,0.00
0.00,0.99,22.77,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.32,1.25,0.37,0.05,3.19,0.15,0.05,1.49,0.07,0.00
0.00,0.99,25.53,0.00,0.50,2.00,0.92,0.34,1.50,0.47,0.11,2.72,0.27,0.05,3.98,0.18,0.05,1.93,0.10,0.00
0.31,0.98,30.25,8.53,0.00,2.00,0.00,0.27,1.97,0.49,0.37,2.72,0.93,0.05,3.47,0.16,0.05,1.92,0.10,0.00
0.00,0.82,23.28,0.00,0.50,5.05,2.32,0.44,2.05,0.84,0.00,2.15,0.00,0.05,2.52,0.12,0.05,5.73,0.29,0.00
0.00,0.81,19.54,0.00,0.50,4.20,1.93,0.43,1.50,0.59,0.00,2.15,0.00,0.05,2.50,0.11,0.05,2.55,0.13,0.00
0.00,0.81,18.45,0.00,0.46,2.00,0.85,0.49,1.40,0.63,0.00,1.50,0.00,0.05,2.20,0.10,0.05,1.79,0.09,0.00
0.00,0.80,17.85,0.00,0.45,1.72,0.71,0.50,1.40,0.64,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
0.00,0.79,16.55,0.00,0.44,1.50,0.61,0.50,1.50,0.69,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.48,0.07,0.00
0.00,0.79,14.45,0.00,0.44,1.15,0.46,0.50,1.15,0.53,0.00,1.29,0.00,0.05,1.63,0.07,0.05,1.57,0.08,0.00
0.00,0.78,13.86,0.00,0.43,1.28,0.50,0.50,1.28,0.59,0.00,1.45,0.00,0.05,1.65,0.08,0.05,1.57,0.08,0.00
-0.51,0.77,13.15,-6.66,0.42,1.08,0.42,0.50,1.08,0.50,0.00,1.29,0.00,0.05,1.57,0.07,0.05,1.57,0.08,0.00
-0.02,1.00,20.23,-0.31,0.25,1.50,0.35,0.50,1.50,0.69,0.20,1.50,0.28,0.05,5.74,0.26,0.05,2.00,0.10,0.00
0.50,1.00,38.65,17.78,0.00,2.00,0.00,0.00,1.97,0.00,0.45,9.14,3.78,0.05,20.51,0.94,0.05,2.55,0.13,0.00
0.00,0.75,30.07,0.00,0.39,2.00,0.73,0.50,1.65,0.76,0.00,2.72,0.00,0.05,3.49,0.16,0.05,1.71,0.09,0.00
0.00,0.74,25.97,0.00,0.39,1.95,0.70,0.50,1.50,0.69,0.00,2.30,0.00,0.05,2.01,0.09,0.05,1.38,0.07,0.00
0.00,0.73,25.83,0.00,0.38,1.20,0.42,0.50,1.20,0.55,0.00,2.15,0.00,0.05,1.53,0.07,0.05,1.25,0.06,0.00
0.00,0.73,23.73,0.00,0.38,0.93,0.32,0.50,1.10,0.51,0.00,1.75,0.00,0.05,1.64,0.08,0.05,1.25,0.06,0.00
0.00,0.72,22.49,0.00,0.00,0.25,0.00,0.50,1.00,0.46,0.18,1.12,0.19,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.00,0.72,21.90,0.00,0.00,0.08,0.00,0.50,1.00,0.46,0.18,1.11,0.19,0.05,1.33,0.06,0.05,1.25,0.06,0.00
0.00,0.71,20.46,0.00,0.00,0.10,0.00,0.50,1.00,0.46,0.18,0.92,0.15,0.05,1.49,0.07,0.05,0.50,0.02,0.00
-0.65,0.71,19.56,-12.60,0.00,0.11,0.00,0.50,1.00,0.46,0.18,0.92,0.15,0.05,1.33,0.06,0.05,0.49,0.02,0.00
-0.01,1.00,20.08,-0.25,0.00,0.12,0.00,0.50,1.00,0.46,0.32,1.12,0.33,0.05,1.60,0.07,0.05,0.34,0.02,0.00
-0.01,1.00,21.17,-0.27,0.00,0.13,0.00,0.50,1.00,0.46,0.32,1.12,0.33,0.05,1.80,0.08,0.05,0.49,0.02,0.00
-0.01,1.00,22.71,-0.28,0.00,0.14,0.00,0.50,1.00,0.46,0.32,1.15,0.34,0.05,2.50,0.11,0.05,0.72,0.04,0.00
-0.01,1.00,27.08,-0.34,0.00,0.94,0.00,0.50,1.00,0.46,0.32,2.72,0.81,0.05,3.19,0.15,0.05,1.31,0.07,0.00
0.00,1.00,37.54,0.00,0.00,3.50,0.00,0.50,2.50,1.15,0.32,10.10,3.02,0.05,5.40,0.25,0.05,2.26,0.11,0.00
0.55,0.99,43.74,22.12,0.00,6.47,0.00,0.00,3.64,0.00,0.45,14.30,5.92,0.00,3.97,0.00,0.05,2.06,0.10,0.00
0.39,0.72,35.43,12.79,0.50,10.73,4.93,0.00,2.50,0.00,0.06,8.00,0.42,0.05,5.60,0.26,0.05,6.98,0.35,0.00
0.00,0.51,26.59,0.00,0.41,8.25,3.13,0.00,2.50,0.00,0.00,2.75,0.00,0.05,4.53,0.21,0.05,2.55,0.13,0.00
0.00,0.51,22.89,0.00,0.16,2.97,0.43,0.50,1.50,0.69,0.00,2.00,0.00,0.05,2.50,0.11,0.05,1.25,0.06,0.00
0.00,0.51,19.26,0.00,0.15,1.94,0.28,0.50,1.40,0.64,0.00,1.50,0.00,0.05,1.81,0.08,0.05,1.25,0.06,0.00
