BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
1.00,0.50,32.69,30.14,0.00,0.00,0.00,-0.00,5.65,-0.00,0.25,6.00,1.50,0.00,1.00,0.00,0.00,5.65,0.00,0.00
0.10,0.26,24.62,2.18,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.03,1.05,0.03,0.50,3.85,1.77,0.00
0.00,0.23,22.20,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.10,0.00,0.50,2.65,1.22,0.00
-0.02,0.23,17.25,-0.26,0.00,0.00,0.00,0.25,5.15,1.19,0.25,6.65,1.66,0.00,1.00,0.00,0.49,2.65,1.20,0.00
-0.75,0.23,10.76,-8.07,0.00,0.00,0.00,0.25,7.60,1.75,0.25,8.00,2.00,0.00,1.00,0.00,0.50,3.75,1.73,0.00
-0.75,0.40,13.28,-9.96,0.00,0.00,0.00,0.25,20.20,4.66,0.25,10.00,2.50,0.17,1.00,0.16,0.50,7.50,3.46,0.00
-0.75,0.57,13.04,-9.78,0.00,0.00,0.00,0.25,65.50,15.10,0.25,11.00,2.75,0.25,2.20,0.51,0.50,7.50,3.46,0.00
-0.75,0.74,13.94,-10.46,0.00,0.00,0.00,0.25,11.70,2.70,0.25,11.00,2.75,0.25,2.42,0.56,0.50,7.50,3.46,0.00
-0.40,0.91,14.03,-5.60,0.00,0.00,0.00,0.25,10.15,2.34,0.25,43.00,10.75,0.25,2.28,0.53,0.50,7.50,3.46,0.00
-0.01,1.00,14.40,-0.19,0.00,0.00,0.00,0.25,11.70,2.70,0.25,43.00,10.75,0.25,2.28,0.53,0.50,7.50,3.46,0.00
-0.01,1.00,16.13,-0.21,0.00,0.00,0.00,0.25,10.15,2.34,0.25,27.69,6.92,0.25,2.00,0.46,0.50,7.50,3.46,0.00
-0.01,1.00,18.98,-0.25,0.00,0.00,0.00,0.25,11.00,2.54,0.25,12.00,3.00,0.25,2.10,0.48,0.50,7.50,3.46,0.00
-0.01,1.00,19.76,-0.26,0.00,0.00,0.00,0.25,8.00,1.84,0.25,12.11,3.03,0.25,2.10,0.48,0.50,7.50,3.46,0.00
0.00,1.00,20.81,0.00,0.00,0.00,0.00,0.25,7.90,1.82,0.25,12.00,3.00,0.25,2.20,0.51,0.50,7.50,3.46,0.00
0.00,1.00,21.09,0.00,0.00,0.00,0.00,0.25,8.10,1.87,0.25,12.00,3.00,0.25,2.95,0.68,0.50,7.50,3.46,0.00
-0.04,0.99,19.96,-0.78,0.00,0.00,0.00,0.25,10.35,2.39,0.25,10.35,2.59,0.25,3.00,0.69,0.50,7.50,3.46,0.00
0.00,1.00,26.60,0.00,0.00,0.00,0.00,0.25,11.15,2.57,0.25,10.65,2.66,0.25,4.02,0.93,0.50,9.15,4.22,0.00
