BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.25,0.50,18.24,-4.58,0.00,0.00,0.00,0.00,0.01,0.00,0.25,1.05,0.26,-0.00,0.49,-0.00,0.43,4.63,1.84,0.00
0.00,1.00,17.63,0.00,0.00,0.00,0.00,0.18,4.00,0.67,0.25,0.91,0.23,0.00,0.49,0.00,0.50,4.21,1.94,0.00
0.00,1.00,17.11,0.00,0.00,0.00,0.00,0.18,4.00,0.67,0.25,0.47,0.12,0.00,0.71,0.00,0.50,4.01,1.85,0.00
0.00,1.00,17.23,0.00,0.00,0.00,0.00,0.18,4.00,0.67,0.25,0.17,0.04,0.00,0.74,0.00,0.50,4.10,1.89,0.00
0.00,1.00,17.30,0.00,0.00,0.00,0.00,0.18,4.49,0.75,0.25,1.34,0.34,0.00,0.91,0.00,0.50,4.50,2.07,0.00
0.00,1.00,18.14,0.00,0.00,0.00,0.00,0.18,6.62,1.10,0.25,3.50,0.88,0.00,0.93,0.00,0.50,6.72,3.10,0.00
0.00,1.00,18.40,0.00,0.00,0.00,0.00,0.18,11.39,1.90,0.25,2.33,0.58,0.00,8.67,0.00,0.50,11.19,5.16,0.00
0.00,1.00,19.85,0.00,0.00,0.00,0.00,0.18,8.90,1.48,0.25,5.43,1.36,0.00,8.00,0.00,0.50,9.85,4.54,0.00
-0.00,1.00,24.64,0.00,0.00,0.00,0.00,0.18,7.65,1.27,0.25,15.00,3.75,0.00,7.35,0.00,0.50,11.35,5.23,0.00
0.00,1.00,21.85,0.00,0.00,0.00,0.00,0.18,5.45,0.91,0.25,25.14,6.29,0.00,5.00,0.00,0.50,8.63,3.98,0.00
