BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.00,0.98,17.74,0.00,0.00,0.00,0.00,0.25,3.19,0.74,0.25,5.69,1.42,0.00,1.13,0.00,0.42,1.65,0.64,0.00
0.00,0.96,13.81,0.00,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.14,0.00,0.41,1.50,0.57,0.00
-0.03,0.95,11.29,-0.38,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.00,1.75,0.00,4.79,0.00,0.41,1.65,0.62,0.00
-0.01,1.00,11.35,-0.08,0.00,0.00,0.00,0.25,2.80,0.65,0.25,7.50,1.88,0.00,4.79,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,15.17,-0.10,0.00,0.00,0.00,0.25,5.98,1.38,0.25,7.98,2.00,0.00,6.75,0.00,0.43,1.95,0.77,0.00
0.44,1.00,31.65,12.97,0.00,0.00,0.00,0.25,10.40,2.40,0.25,8.89,2.22,0.04,6.75,0.26,0.26,4.45,1.08,0.00
0.00,0.10,21.89,0.00,0.00,0.00,0.00,0.23,2.29,0.49,0.25,5.01,1.25,0.00,1.40,0.00,0.00,2.00,0.00,0.00
0.00,0.10,15.22,0.00,0.00,0.00,0.00,0.23,2.45,0.52,0.25,3.20,0.80,0.00,1.13,0.00,0.00,1.95,0.00,0.00
0.00,0.10,13.62,0.00,0.00,0.00,0.00,0.23,2.45,0.52,0.25,3.50,0.88,0.00,1.11,0.00,0.00,1.95,0.00,0.00
0.00,0.10,15.01,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.25,3.50,0.88,0.00,1.13,0.00,0.23,1.95,0.41,0.00
0.00,0.14,13.37,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,5.01,1.25,0.00,1.42,0.00,0.25,1.50,0.35,0.00
0.00,0.18,8.77,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,4.49,1.12,0.00,1.40,0.00,0.27,1.50,0.38,0.00
0.06,0.22,11.06,0.60,0.00,0.00,0.00,0.25,2.00,0.46,0.25,2.98,0.74,0.00,1.05,0.00,0.04,1.50,0.06,0.00
0.00,0.10,8.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.25,1.49,0.37,0.00,1.09,0.00,0.23,1.47,0.31,0.00
-0.47,0.14,4.20,-1.96,0.00,0.00,0.00,0.25,1.97,0.45,0.25,1.49,0.37,0.00,1.13,0.00,0.00,1.47,0.00,0.00
-0.01,1.00,9.23,-0.06,0.00,0.00,0.00,0.25,1.99,0.46,0.25,2.49,0.62,0.00,1.13,0.00,0.43,1.49,0.59,0.00
-0.01,1.00,11.17,-0.08,0.00,0.00,0.00,0.25,3.89,0.90,0.25,1.91,0.48,0.00,1.05,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,16.05,-0.11,0.00,0.00,0.00,0.25,4.69,1.08,0.25,4.49,1.12,0.00,1.04,0.00,0.43,2.30,0.91,0.00
0.00,1.00,20.38,0.00,0.00,0.00,0.00,0.25,4.69,1.08,0.25,4.69,1.17,0.00,1.25,0.00,0.43,3.75,1.49,0.00
0.33,0.99,28.11,8.44,0.00,0.00,0.00,0.25,3.69,0.85,0.25,3.69,0.92,0.00,1.42,0.00,0.42,3.69,1.44,0.00
0.00,0.32,20.40,0.00,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.25,4.56,0.00,1.62,0.00,0.09,2.00,0.17,0.00
0.00,0.32,16.13,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.50,1.88,0.00,1.15,0.00,0.09,1.95,0.16,0.00
-0.38,0.31,13.78,-5.18,0.00,0.00,0.00,0.25,2.29,0.53,0.25,7.01,1.75,0.00,1.05,0.00,0.09,1.65,0.13,0.00
-0.01,1.00,12.91,-0.09,0.00,0.00,0.00,0.25,1.95,0.45,0.25,6.03,1.51,0.00,1.04,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,13.74,-0.09,0.00,0.00,0.00,0.25,2.25,0.52,0.25,4.75,1.19,0.00,1.09,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,14.64,-0.10,0.00,0.00,0.00,0.25,1.95,0.45,0.25,3.96,0.99,0.00,1.11,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,14.92,-0.10,0.00,0.00,0.00,0.25,2.29,0.53,0.25,4.79,1.20,0.00,3.00,0.00,0.43,1.89,0.75,0.00
-0.01,1.00,15.87,-0.11,0.00,0.00,0.00,0.25,3.19,0.74,0.25,4.69,1.17,0.00,3.01,0.00,0.43,1.95,0.77,0.00
-0.01,1.00,18.51,-0.13,0.00,0.00,0.00,0.25,4.98,1.15,0.25,5.49,1.37,0.00,3.00,0.00,0.43,2.00,0.79,0.00
0.32,1.00,52.84,15.57,0.00,0.00,0.00,0.25,22.36,5.15,0.25,10.39,2.60,0.00,35.30,0.00,0.43,18.75,7.44,0.00
0.14,0.35,40.12,5.32,0.00,0.00,0.00,0.00,5.02,0.00,0.25,3.04,0.76,0.00,17.44,0.00,0.35,5.52,1.81,0.00
0.00,0.10,31.32,0.00,0.00,0.00,0.00,0.23,2.50,0.53,0.25,1.94,0.48,-0.00,9.36,-0.00,0.00,2.00,0.00,0.00
0.00,0.10,29.19,0.00,0.00,0.00,0.00,0.23,4.00,0.85,0.25,2.02,0.51,0.00,1.85,0.00,0.00,2.00,0.00,0.00
0.00,0.10,22.48,0.00,0.00,0.00,0.00,0.23,1.99,0.42,0.25,3.17,0.79,0.00,1.85,0.00,-0.00,2.00,-0.00,0.00
0.00,0.10,18.53,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.25,4.49,1.12,0.00,1.11,0.00,0.23,1.95,0.41,0.00
0.00,0.14,17.18,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,3.49,0.87,0.00,1.15,0.00,0.25,1.50,0.35,0.00
0.00,0.18,15.23,0.00,0.00,0.00,0.00,0.25,2.00,0.46,0.25,2.98,0.74,0.00,0.99,0.00,0.02,1.50,0.03,0.00
-0.45,0.18,10.51,-4.71,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.52,0.38,0.00,0.99,0.00,0.02,1.50,0.03,0.00
-0.01,1.00,9.84,-0.07,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.52,0.38,0.00,0.99,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,9.86,-0.07,0.00,0.00,0.00,0.25,2.00,0.46,0.25,2.49,0.62,0.00,0.99,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,11.95,-0.08,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.02,0.51,0.00,0.97,0.00,0.43,2.00,0.79,0.00
-0.01,1.00,17.61,-0.12,0.00,0.00,0.00,0.25,4.69,1.08,0.25,5.69,1.42,0.00,0.99,0.00,0.43,2.39,0.95,0.00
0.00,1.00,28.00,0.00,0.00,0.00,0.00,0.25,7.30,1.68,0.25,5.69,1.42,0.00,2.72,0.00,0.43,5.30,2.10,0.00
0.41,0.99,33.87,12.96,0.00,0.00,0.00,0.25,4.69,1.08,0.25,4.69,1.17,0.00,4.60,0.00,0.34,4.69,1.45,0.00
0.00,0.15,22.16,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,29.49,7.37,0.00,2.72,0.00,0.00,3.00,0.01,0.00
0.00,0.14,18.99,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.50,1.88,0.00,1.15,0.00,0.00,1.89,0.00,0.00
-0.47,0.14,16.55,-7.76,0.00,0.00,0.00,0.25,2.35,0.54,0.25,7.50,1.88,0.00,1.09,0.00,0.00,1.65,0.00,0.00
-0.01,1.00,15.78,-0.11,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.69,1.42,0.00,1.11,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,15.95,-0.11,0.00,0.00,0.00,0.25,2.25,0.52,0.25,4.75,1.19,0.00,1.14,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,16.15,-0.11,0.00,0.00,0.00,0.25,1.95,0.45,0.25,3.69,0.92,0.00,1.22,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,17.04,-0.12,0.00,0.00,0.00,0.25,2.10,0.48,0.25,5.00,1.25,0.00,4.60,0.00,0.43,1.65,0.65,0.00
-0.01,1.00,18.87,-0.13,0.00,0.00,0.00,0.25,2.39,0.55,0.25,5.69,1.42,0.00,4.60,0.00,0.43,1.98,0.79,0.00
