BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.37,0.50,32.69,11.14,0.00,0.00,0.00,0.25,5.65,1.30,0.25,6.00,1.50,0.00,1.00,0.00,0.38,5.65,1.98,0.00
0.00,0.12,24.62,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.05,0.00,0.01,3.85,0.02,0.00
0.00,0.12,22.20,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.10,0.00,0.00,2.65,0.01,0.00
-0.00,0.12,17.25,-0.01,0.00,0.00,0.00,0.25,5.15,1.19,0.25,6.65,1.66,0.00,1.00,0.00,0.00,2.65,0.00,0.00
-0.75,0.12,10.76,-8.07,0.00,0.00,0.00,0.25,7.60,1.75,0.25,8.00,2.00,0.00,1.00,0.00,0.00,3.75,0.00,0.00
-0.22,0.81,13.28,-2.86,0.00,0.00,0.00,0.25,20.20,4.66,0.25,10.00,2.50,0.05,1.00,0.04,0.50,7.50,3.46,0.00
-0.01,1.00,13.04,-0.13,0.00,0.00,0.00,0.25,65.50,15.10,0.25,11.00,2.75,0.10,2.20,0.19,0.50,7.50,3.46,0.00
-0.01,1.00,13.94,-0.13,0.00,0.00,0.00,0.25,11.70,2.70,0.25,11.00,2.75,0.10,2.42,0.21,0.50,7.50,3.46,0.00
-0.01,1.00,14.03,-0.13,0.00,0.00,0.00,0.25,10.15,2.34,0.25,43.00,10.75,0.10,2.28,0.20,0.50,7.50,3.46,0.00
-0.01,1.00,14.40,-0.14,0.00,0.00,0.00,0.25,11.70,2.70,0.25,43.00,10.75,0.10,2.28,0.20,0.50,7.50,3.46,0.00
-0.01,1.00,16.13,-0.15,0.00,0.00,0.00,0.25,10.15,2.34,0.25,27.69,6.92,0.10,2.00,0.18,0.50,7.50,3.46,0.00
-0.01,1.00,18.98,-0.18,0.00,0.00,0.00,0.25,11.00,2.54,0.25,12.00,3.00,0.10,2.10,0.18,0.50,7.50,3.46,0.00
-0.01,1.00,19.76,-0.19,0.00,0.00,0.00,0.25,8.00,1.84,0.25,12.11,3.03,0.10,2.10,0.18,0.50,7.50,3.46,0.00
-0.01,1.00,20.81,-0.20,0.00,0.00,0.00,0.25,7.90,1.82,0.25,12.00,3.00,0.10,2.20,0.19,0.50,7.50,3.46,0.00
0.00,1.00,21.09,0.00,0.00,0.00,0.00,0.25,8.10,1.87,0.25,12.00,3.00,0.10,2.95,0.26,0.50,7.50,3.46,0.00
