BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.17,0.50,32.69,5.21,0.00,0.00,0.00,0.25,5.65,1.30,0.25,6.00,1.50,0.00,1.00,0.00,0.18,5.65,0.94,0.00
0.00,0.15,24.62,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.05,0.00,0.00,3.85,0.01,0.00
0.00,0.14,22.20,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.10,0.00,0.00,2.65,0.00,0.00
0.00,0.14,17.25,0.00,0.00,0.00,0.00,0.25,5.15,1.19,0.25,6.65,1.66,0.00,1.00,0.00,0.00,2.65,0.00,0.00
-0.47,0.14,10.76,-5.07,0.00,0.00,0.00,0.25,7.60,1.74,0.25,8.00,2.00,0.00,1.00,0.00,0.00,3.75,0.00,0.00
-0.01,1.00,13.28,-0.09,0.00,0.00,0.00,0.25,20.20,4.66,0.25,10.00,2.50,0.00,1.00,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,13.04,-0.09,0.00,0.00,0.00,0.25,65.50,15.10,0.25,11.00,2.75,0.00,2.20,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,13.94,-0.09,0.00,0.00,0.00,0.25,11.70,2.70,0.25,11.00,2.75,0.00,2.42,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,14.03,-0.10,0.00,0.00,0.00,0.25,10.15,2.34,0.25,43.00,10.75,0.00,2.28,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,14.40,-0.10,0.00,0.00,0.00,0.25,11.70,2.70,0.25,43.00,10.75,0.00,2.28,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,16.13,-0.11,0.00,0.00,0.00,0.25,10.15,2.34,0.25,27.69,6.92,0.00,2.00,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,18.98,-0.13,0.00,0.00,0.00,0.25,11.00,2.54,0.25,12.00,3.00,0.00,2.10,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,19.76,-0.13,0.00,0.00,0.00,0.25,8.00,1.84,0.25,12.11,3.03,0.00,2.10,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,20.81,-0.14,0.00,0.00,0.00,0.25,7.90,1.82,0.25,12.00,3.00,0.00,2.20,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,21.09,-0.14,0.00,0.00,0.00,0.25,8.10,1.87,0.25,12.00,3.00,0.00,2.95,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,19.96,-0.14,0.00,0.00,0.00,0.25,10.35,2.39,0.25,10.35,2.59,0.00,3.00,0.00,0.43,7.50,2.98,0.00
-0.01,1.00,26.60,-0.18,0.00,0.00,0.00,0.25,11.15,2.57,0.25,10.65,2.66,0.00,4.02,0.00,0.43,9.15,3.63,0.00
0.00,1.00,39.80,0.00,0.00,0.00,0.00,0.25,30.35,7.00,0.25,15.00,3.75,0.00,4.45,0.00,0.43,20.15,8.00,0.00
0.00,0.99,27.37,0.00,0.00,0.00,0.00,0.17,10.15,1.63,0.25,9.15,2.29,0.00,2.70,0.00,0.50,10.15,4.68,0.00
-0.01,0.99,24.03,-0.13,0.00,0.00,0.00,0.17,4.00,0.64,0.25,7.93,1.98,0.00,3.00,0.00,0.50,6.63,3.06,0.00
0.00,1.00,21.11,0.00,0.00,0.00,0.00,0.18,4.25,0.71,0.25,6.45,1.61,0.00,2.70,0.00,0.50,3.95,1.82,0.00
0.00,1.00,20.49,0.00,0.00,0.00,0.00,0.18,3.95,0.66,0.25,6.00,1.50,0.00,2.28,0.00,0.50,3.75,1.73,0.00
0.00,1.00,22.41,0.00,0.00,0.00,0.00,0.18,3.00,0.50,0.25,5.56,1.39,0.00,1.58,0.00,0.50,2.65,1.22,0.00
