BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.00,1.00,17.71,-0.09,0.00,1.47,0.00,0.45,1.47,0.61,0.00,1.48,0.00,0.05,1.91,0.09,0.05,1.25,0.06,0.00
-0.00,1.00,17.16,-0.09,0.00,1.50,0.00,0.45,1.50,0.62,0.00,1.50,0.00,0.05,1.83,0.08,0.05,1.36,0.07,0.00
-0.00,1.00,18.68,-0.09,0.00,1.35,0.00,0.45,1.40,0.58,0.00,1.48,0.00,0.05,2.40,0.11,0.05,1.25,0.06,0.00
-0.00,1.00,24.64,-0.12,0.00,1.60,0.00,0.45,1.60,0.66,0.00,2.25,0.00,0.05,5.19,0.24,0.05,1.13,0.06,0.00
0.00,1.00,48.76,0.00,0.22,15.88,3.28,0.00,5.00,0.00,0.00,18.57,0.00,0.05,18.94,0.87,0.05,2.60,0.13,0.00
0.00,0.99,41.08,0.00,0.00,5.22,0.00,0.44,2.97,1.21,0.00,5.10,0.00,0.05,3.49,0.16,0.05,1.99,0.10,0.00
0.00,0.98,35.26,0.00,0.00,3.00,0.00,0.44,1.68,0.68,0.00,3.00,0.00,0.05,2.19,0.10,0.05,1.80,0.09,0.00
0.00,0.97,30.71,0.00,0.00,2.50,0.00,0.44,1.50,0.60,0.00,3.00,0.00,0.05,1.83,0.08,0.05,1.56,0.08,0.00
0.00,0.96,27.97,0.00,0.00,2.50,0.00,0.43,1.50,0.59,0.00,2.30,0.00,0.05,2.30,0.11,0.05,1.37,0.07,0.00
0.00,0.96,29.09,0.00,0.00,0.94,0.00,0.43,1.01,0.40,0.00,1.75,0.00,0.05,1.47,0.07,0.05,1.26,0.06,0.00
0.00,0.95,26.50,0.00,0.00,0.95,0.00,0.42,1.01,0.39,0.00,1.15,0.00,0.05,1.51,0.07,0.05,1.25,0.06,0.00
0.00,0.94,27.05,0.00,0.00,0.88,0.00,0.42,1.01,0.39,0.00,0.88,0.00,0.05,1.49,0.07,0.05,0.60,0.03,0.00
-0.04,0.93,24.46,-1.05,0.00,0.88,0.00,0.41,1.00,0.38,0.00,0.88,0.00,0.05,1.33,0.06,0.05,0.66,0.03,0.00
-0.00,1.00,24.46,-0.12,0.00,0.88,0.00,0.45,1.00,0.41,0.00,1.01,0.00,0.05,1.45,0.07,0.05,0.21,0.01,0.00
-0.00,1.00,24.32,-0.12,0.00,0.94,0.00,0.45,1.00,0.41,0.00,1.01,0.00,0.05,1.33,0.06,0.05,0.36,0.02,0.00
-0.00,1.00,26.19,-0.13,0.00,0.94,0.00,0.45,1.00,0.41,0.00,1.04,0.00,0.05,2.69,0.12,0.05,0.70,0.03,0.00
-0.00,1.00,29.02,-0.14,0.00,0.87,0.00,0.45,1.00,0.41,0.00,1.12,0.00,0.05,3.54,0.16,0.05,1.50,0.07,0.00
0.00,1.00,44.31,0.00,0.22,4.99,1.03,0.00,2.00,0.00,0.00,9.15,0.00,0.05,3.78,0.17,0.05,1.80,0.09,0.00
