BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.00,0.50,10.42,0.00,0.00,0.00,0.00,0.25,1.95,0.45,0.25,4.69,1.17,0.25,0.97,0.22,0.50,1.45,0.67,0.00
0.00,0.50,9.96,0.00,0.00,0.00,0.00,0.25,1.10,0.25,0.25,1.49,0.37,0.25,0.97,0.22,0.50,1.45,0.67,0.00
-0.73,0.49,8.74,-6.42,0.00,0.00,0.00,0.25,1.95,0.45,0.25,1.49,0.37,0.25,1.00,0.23,0.50,1.45,0.67,0.00
-0.75,0.66,8.34,-6.25,0.00,0.00,0.00,0.25,1.95,0.45,0.25,2.49,0.62,0.25,1.00,0.23,0.50,1.45,0.67,0.00
-0.75,0.83,8.49,-6.37,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.49,0.37,0.25,1.00,0.23,0.50,1.47,0.68,0.00
-0.01,1.00,8.80,-0.11,0.00,0.00,0.00,0.25,3.29,0.76,0.25,8.79,2.20,0.25,1.00,0.23,0.50,1.95,0.90,0.00
-0.01,1.00,13.78,-0.18,0.00,0.00,0.00,0.25,3.29,0.76,0.25,3.29,0.82,0.25,1.11,0.26,0.50,1.99,0.92,0.00
-0.01,1.00,14.33,-0.19,0.00,0.00,0.00,0.25,2.69,0.62,0.25,2.69,0.67,0.25,1.05,0.24,0.50,2.00,0.92,0.00
0.00,1.00,14.91,0.00,0.00,0.00,0.00,0.25,3.00,0.69,0.25,18.69,4.67,0.25,1.05,0.24,0.50,1.95,0.90,0.00
0.00,1.00,14.74,0.00,0.00,0.00,0.00,0.25,4.80,1.11,0.25,7.50,1.88,0.25,1.07,0.25,0.50,1.89,0.87,0.00
0.00,0.99,16.88,0.00,0.00,0.00,0.00,0.25,3.29,0.76,0.25,7.01,1.75,0.25,1.04,0.24,0.50,1.50,0.69,0.00
0.00,0.99,17.31,0.00,0.00,0.00,0.00,0.25,2.45,0.56,0.25,5.46,1.36,0.25,1.04,0.24,0.50,1.65,0.76,0.00
0.00,0.99,16.80,0.00,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.25,1.04,0.24,0.50,1.65,0.76,0.00
0.00,0.99,17.46,0.00,0.00,0.00,0.00,0.25,2.10,0.48,0.25,4.69,1.17,0.25,1.04,0.24,0.50,1.50,0.69,0.00
