BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.01,1.00,17.71,-0.17,0.20,1.47,0.27,0.50,1.47,0.68,0.00,1.48,0.00,0.05,1.91,0.09,0.05,1.25,0.06,0.00
-0.01,1.00,17.16,-0.17,0.20,1.50,0.28,0.50,1.50,0.69,0.00,1.50,0.00,0.05,1.83,0.08,0.05,1.36,0.07,0.00
-0.01,1.00,18.68,-0.18,0.20,1.35,0.25,0.50,1.40,0.64,0.00,1.48,0.00,0.05,2.40,0.11,0.05,1.25,0.06,0.00
-0.01,1.00,24.64,-0.24,0.20,1.60,0.29,0.50,1.60,0.74,0.00,2.25,0.00,0.05,5.19,0.24,0.05,1.13,0.06,0.00
0.50,1.00,48.76,22.44,0.45,15.88,6.56,0.00,5.00,0.00,0.00,18.57,0.00,0.05,18.94,0.87,0.05,2.60,0.13,0.00
0.00,0.49,41.08,0.00,0.00,5.22,0.00,0.39,2.97,1.06,0.00,5.10,0.00,0.05,3.49,0.16,0.05,1.99,0.10,0.00
0.00,0.49,35.26,0.00,0.00,3.00,0.00,0.39,1.68,0.60,0.00,3.00,0.00,0.05,2.19,0.10,0.05,1.80,0.09,0.00
0.00,0.48,30.71,0.00,0.00,2.50,0.00,0.38,1.50,0.53,0.00,3.00,0.00,0.05,1.83,0.08,0.05,1.56,0.08,0.00
0.00,0.48,27.97,0.00,0.00,2.50,0.00,0.38,1.50,0.52,0.00,2.30,0.00,0.05,2.30,0.11,0.05,1.37,0.07,0.00
0.00,0.47,29.09,0.00,0.00,0.94,0.00,0.37,1.01,0.35,0.00,1.75,0.00,0.05,1.47,0.07,0.05,1.26,0.06,0.00
0.00,0.47,26.50,0.00,0.00,0.95,0.00,0.37,1.01,0.34,0.00,1.15,0.00,0.05,1.51,0.07,0.05,1.25,0.06,0.00
0.00,0.47,27.05,0.00,0.00,0.88,0.00,0.37,1.01,0.34,0.00,0.88,0.00,0.05,1.49,0.07,0.05,0.60,0.03,0.00
-0.59,0.46,24.46,-14.30,0.00,0.88,0.00,0.36,1.00,0.33,0.00,0.88,0.00,0.05,1.33,0.06,0.05,0.66,0.03,0.00
-0.01,1.00,24.46,-0.24,0.20,0.88,0.16,0.50,1.00,0.46,0.00,1.01,0.00,0.05,1.45,0.07,0.05,0.21,0.01,0.00
-0.01,1.00,24.32,-0.24,0.20,0.94,0.17,0.50,1.00,0.46,0.00,1.01,0.00,0.05,1.33,0.06,0.05,0.36,0.02,0.00
-0.01,1.00,26.19,-0.26,0.20,0.94,0.17,0.50,1.00,0.46,0.00,1.04,0.00,0.05,2.69,0.12,0.05,0.70,0.03,0.00
-0.01,1.00,29.02,-0.29,0.20,0.87,0.16,0.50,1.00,0.46,0.00,1.12,0.00,0.05,3.54,0.16,0.05,1.50,0.07,0.00
0.00,1.00,44.31,0.00,0.45,4.99,2.06,0.00,2.00,0.00,0.00,9.15,0.00,0.05,3.78,0.17,0.05,1.80,0.09,0.00
0.77,0.99,47.61,33.90,0.00,6.21,0.00,0.00,2.00,0.00,0.23,13.65,2.83,0.00,2.98,0.00,0.05,2.63,0.13,0.00
0.00,0.21,35.30,0.00,0.06,15.62,0.81,0.00,2.00,0.00,0.00,9.20,0.00,0.05,2.00,0.09,0.05,4.98,0.25,0.00
0.00,0.21,24.90,0.00,0.06,9.00,0.46,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
0.00,0.21,20.32,0.00,0.00,2.50,0.00,0.11,1.50,0.15,0.00,1.45,0.00,0.05,2.00,0.09,0.05,1.25,0.06,0.00
0.00,0.21,19.18,0.00,0.00,1.70,0.00,0.11,1.50,0.15,0.00,1.50,0.00,0.05,2.10,0.10,0.05,1.25,0.06,0.00
-0.43,0.21,17.02,-7.34,0.00,1.40,0.00,0.11,1.40,0.14,0.00,1.48,0.00,0.05,1.98,0.09,0.05,0.13,0.01,0.00
0.00,0.61,16.65,0.00,0.00,1.28,0.00,0.50,1.28,0.59,0.00,1.48,0.00,0.05,1.97,0.09,0.05,1.25,0.06,0.00
-0.44,0.60,15.58,-6.81,0.00,1.15,0.00,0.50,1.15,0.53,0.00,1.50,0.00,0.05,1.62,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,15.38,-0.15,0.20,1.20,0.22,0.50,1.20,0.55,0.00,1.50,0.00,0.05,1.72,0.08,0.05,1.25,0.06,0.00
-0.01,1.00,19.65,-0.19,0.20,1.70,0.31,0.50,1.70,0.78,0.00,2.04,0.00,0.05,4.99,0.23,0.05,0.22,0.01,0.00
0.50,1.00,45.00,20.71,0.45,7.99,3.30,0.00,5.00,0.00,0.00,5.09,0.00,0.05,15.00,0.69,0.05,2.24,0.11,0.00
0.39,0.49,36.03,12.76,0.00,3.00,0.00,0.39,2.00,0.72,0.00,3.00,0.00,0.05,2.50,0.11,0.05,1.13,0.06,0.00
0.00,0.10,30.58,0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,2.72,0.00,0.05,2.00,0.09,0.05,0.73,0.04,0.00
0.00,0.10,26.30,0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,2.72,0.00,0.05,1.83,0.08,0.05,0.09,0.00,0.00
0.00,0.10,22.41,0.00,0.00,1.49,0.00,0.00,1.49,0.00,0.00,2.00,0.00,0.05,2.00,0.09,0.05,0.32,0.02,0.00
-0.03,0.10,18.79,-0.48,0.00,0.95,0.00,0.00,1.01,0.00,0.00,0.99,0.00,0.05,1.34,0.06,0.05,1.49,0.07,0.00
-0.95,0.12,17.17,-16.26,0.00,0.94,0.00,0.02,1.00,0.02,0.00,0.99,0.00,0.05,1.33,0.06,0.05,1.53,0.08,0.00
-0.01,1.00,17.95,-0.18,0.20,0.81,0.15,0.50,1.00,0.46,0.00,0.82,0.00,0.05,1.33,0.06,0.05,1.51,0.08,0.00
-0.01,1.00,17.75,-0.17,0.20,0.88,0.16,0.50,1.00,0.46,0.00,0.82,0.00,0.05,1.33,0.06,0.05,1.49,0.07,0.00
-0.01,1.00,18.14,-0.18,0.20,0.88,0.16,0.50,1.00,0.46,0.00,0.99,0.00,0.05,1.45,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,19.30,-0.19,0.20,0.94,0.17,0.50,1.00,0.46,0.00,0.99,0.00,0.05,1.46,0.07,0.05,1.25,0.06,0.00
-0.01,1.00,20.04,-0.20,0.20,0.94,0.17,0.50,1.00,0.46,0.00,0.99,0.00,0.05,2.39,0.11,0.05,1.25,0.06,0.00
0.00,1.00,22.14,0.00,0.20,0.87,0.16,0.50,1.00,0.46,0.00,1.17,0.00,0.05,4.99,0.23,0.05,1.62,0.08,0.00
0.00,0.99,30.04,0.00,0.19,2.04,0.37,0.50,2.00,0.92,0.00,2.04,0.00,0.05,3.98,0.18,0.05,2.00,0.10,0.00
0.00,0.98,28.23,0.00,0.19,3.00,0.53,0.50,2.00,0.92,0.00,2.14,0.00,0.05,2.33,0.11,0.05,2.25,0.11,0.00
