BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
0.27,0.50,32.69,8.25,0.00,0.00,0.00,0.25,5.65,1.30,0.25,6.00,1.50,0.00,1.00,0.00,0.48,5.65,2.48,0.00
0.00,0.36,24.62,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.05,0.00,0.50,3.85,1.77,0.00
0.26,0.36,22.20,5.26,0.00,0.00,0.00,0.25,4.25,0.98,0.25,5.00,1.25,0.00,1.10,0.00,0.49,2.65,1.20,0.00
0.00,0.22,17.25,0.00,0.00,0.00,0.00,0.25,5.15,1.19,0.25,6.65,1.66,0.00,1.00,0.00,0.23,2.65,0.56,0.00
-0.75,0.22,10.76,-8.07,0.00,0.00,0.00,0.25,7.60,1.75,0.25,8.00,2.00,0.00,1.00,0.00,0.22,3.75,0.78,0.00
-0.65,0.57,13.28,-8.60,0.00,0.00,0.00,0.25,20.20,4.66,0.25,10.00,2.50,0.10,1.00,0.10,0.50,7.50,3.46,0.00
-0.32,0.86,13.04,-4.14,0.00,0.00,0.00,0.25,65.50,15.10,0.25,11.00,2.75,0.25,2.20,0.51,0.50,7.50,3.46,0.00
-0.01,1.00,13.94,-0.18,0.00,0.00,0.00,0.25,11.70,2.70,0.25,11.00,2.75,0.25,2.42,0.56,0.50,7.50,3.46,0.00
-0.01,1.00,14.03,-0.18,0.00,0.00,0.00,0.25,10.15,2.34,0.25,43.00,10.75,0.25,2.28,0.53,0.50,7.50,3.46,0.00
-0.01,1.00,14.40,-0.19,0.00,0.00,0.00,0.25,11.70,2.70,0.25,43.00,10.75,0.25,2.28,0.53,0.50,7.50,3.46,0.00
-0.01,1.00,16.13,-0.21,0.00,0.00,0.00,0.25,10.15,2.34,0.25,27.69,6.92,0.25,2.00,0.46,0.50,7.50,3.46,0.00
-0.01,1.00,18.98,-0.25,0.00,0.00,0.00,0.25,11.00,2.54,0.25,12.00,3.00,0.25,2.10,0.48,0.50,7.50,3.46,0.00
-0.01,1.00,19.76,-0.26,0.00,0.00,0.00,0.25,8.00,1.84,0.25,12.11,3.03,0.25,2.10,0.48,0.50,7.50,3.46,0.00
0.00,1.00,20.81,0.00,0.00,0.00,0.00,0.25,7.90,1.82,0.25,12.00,3.00,0.25,2.20,0.51,0.50,7.50,3.46,0.00
0.00,0.99,21.09,0.00,0.00,0.00,0.00,0.25,8.10,1.87,0.25,12.00,3.00,0.25,2.95,0.68,0.50,7.50,3.46,0.00
-0.04,0.99,19.96,-0.78,0.00,0.00,0.00,0.25,10.35,2.39,0.25,10.35,2.59,0.25,3.00,0.69,0.50,7.50,3.46,0.00
0.00,1.00,26.60,0.00,0.00,0.00,0.00,0.25,11.15,2.57,0.25,10.65,2.66,0.25,4.02,0.93,0.50,9.15,4.22,0.00
0.25,0.99,39.80,9.17,0.00,0.00,0.00,0.25,30.35,7.00,0.25,15.00,3.75,0.00,4.45,0.00,0.50,20.15,9.29,0.00
0.00,0.87,27.37,0.00,0.00,0.00,0.00,0.25,10.15,2.34,0.25,9.15,2.29,0.25,2.70,0.62,0.50,10.15,4.68,0.00
0.00,0.86,24.03,0.00,0.00,0.00,0.00,0.25,4.00,0.92,0.25,7.93,1.98,0.25,3.00,0.69,0.50,6.63,3.06,0.00
0.00,0.85,21.11,0.00,0.00,0.00,0.00,0.25,4.25,0.98,0.25,6.45,1.61,0.25,2.70,0.61,0.50,3.95,1.82,0.00
-0.34,0.85,20.49,-7.03,0.00,0.00,0.00,0.25,3.95,0.91,0.25,6.00,1.50,0.24,2.28,0.51,0.50,3.75,1.73,0.00
0.00,1.00,22.41,0.00,0.00,0.00,0.00,0.25,3.00,0.69,0.25,5.56,1.39,0.25,1.58,0.36,0.50,2.65,1.22,0.00
0.00,0.99,21.98,0.00,0.00,0.00,0.00,0.25,3.02,0.70,0.25,5.00,1.25,0.25,1.35,0.31,0.50,2.65,1.22,0.00
0.00,0.99,25.90,0.00,0.00,0.00,0.00,0.25,3.21,0.74,0.25,3.50,0.88,0.25,1.05,0.24,0.50,3.12,1.44,0.00
0.00,0.98,24.14,0.00,0.00,0.00,0.00,0.25,3.14,0.72,0.25,3.50,0.88,0.25,1.00,0.23,0.50,3.00,1.38,0.00
0.00,0.98,23.40,0.00,0.00,0.00,0.00,0.25,2.87,0.66,0.25,3.01,0.75,0.25,1.00,0.23,0.50,2.47,1.14,0.00
-0.08,0.97,21.84,-1.70,0.00,0.00,0.00,0.25,2.71,0.62,0.25,2.25,0.56,0.25,1.00,0.23,0.50,2.15,0.99,0.00
-0.01,1.00,21.89,-0.28,0.00,0.00,0.00,0.25,3.50,0.81,0.25,1.50,0.38,0.25,1.00,0.23,0.50,2.82,1.30,0.00
-0.01,1.00,24.19,-0.31,0.00,0.00,0.00,0.25,5.50,1.27,0.25,5.00,1.25,0.25,1.00,0.23,0.50,5.00,2.30,0.00
0.00,1.00,28.51,0.00,0.00,0.00,0.00,0.25,11.61,2.68,0.25,4.02,1.00,0.25,2.10,0.48,0.50,8.86,4.08,0.00
0.25,0.99,35.53,8.19,0.00,0.00,0.00,0.25,12.89,2.97,0.25,2.74,0.69,0.00,2.35,0.00,0.50,12.50,5.76,0.00
0.25,0.87,43.00,9.91,0.00,0.00,0.00,0.25,12.50,2.88,0.25,8.00,2.00,0.00,2.95,0.00,0.50,12.50,5.76,0.00
0.06,0.74,35.58,2.01,0.00,0.00,0.00,0.25,11.59,2.67,0.25,8.00,2.00,0.19,2.42,0.42,0.50,11.49,5.30,0.00
0.08,0.70,33.85,2.48,0.00,0.00,0.00,0.25,11.35,2.62,0.25,8.00,2.00,0.17,2.00,0.31,0.50,11.35,5.23,0.00
0.10,0.66,32.78,3.08,0.00,0.00,0.00,0.25,9.82,2.26,0.25,5.00,1.25,0.15,2.00,0.27,0.50,9.72,4.48,0.00
0.00,0.60,29.71,0.00,0.00,0.00,0.00,0.25,6.41,1.48,0.25,4.91,1.23,0.12,2.80,0.31,0.50,6.31,2.91,0.00
0.00,0.60,26.43,0.00,0.00,0.00,0.00,0.25,4.60,1.06,0.25,3.50,0.88,0.12,2.80,0.30,0.50,4.50,2.07,0.00
