BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.95,0.50,16.99,-16.10,0.00,0.10,0.00,0.50,1.00,0.46,0.27,0.94,0.24,0.05,1.49,0.07,0.05,1.51,0.08,0.00
-0.24,0.72,18.01,-4.25,0.00,0.11,0.00,0.50,1.00,0.46,0.45,0.94,0.39,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.00,0.77,18.17,0.00,0.00,0.12,0.00,0.45,1.00,0.41,0.50,1.23,0.57,0.05,1.80,0.08,0.05,1.25,0.06,0.00
0.00,0.76,18.91,0.00,0.00,0.13,0.00,0.45,1.00,0.41,0.50,1.23,0.57,0.05,1.60,0.07,0.05,1.25,0.06,0.00
0.00,0.76,20.42,0.00,0.00,0.14,0.00,0.45,1.01,0.42,0.50,1.23,0.57,0.05,2.00,0.09,0.05,1.25,0.06,0.00
0.00,0.76,22.77,0.00,0.00,0.15,0.00,0.45,1.00,0.41,0.50,1.25,0.57,0.05,3.19,0.15,0.05,1.49,0.07,0.00
0.14,0.75,25.53,3.40,0.31,2.00,0.56,0.00,1.50,0.00,0.50,2.72,1.25,0.05,3.98,0.18,0.05,1.93,0.10,0.00
1.00,0.71,30.25,27.82,0.00,2.00,0.00,0.00,1.97,0.00,0.00,2.72,0.00,-0.00,3.47,-0.00,0.05,1.92,0.10,0.00
0.00,0.46,23.28,0.00,0.50,5.05,2.32,0.45,2.05,0.85,0.00,2.15,0.00,0.05,2.52,0.12,0.05,5.73,0.29,0.00
0.00,0.46,19.54,0.00,0.50,4.20,1.93,0.44,1.50,0.60,0.00,2.15,0.00,0.05,2.50,0.11,0.05,2.55,0.13,0.00
0.00,0.46,18.45,0.00,0.47,2.00,0.87,0.48,1.40,0.62,0.00,1.50,0.00,0.05,2.20,0.10,0.05,1.79,0.09,0.00
0.00,0.45,17.85,0.00,0.46,1.72,0.72,0.49,1.40,0.64,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
0.00,0.45,16.55,0.00,0.45,1.50,0.62,0.50,1.50,0.69,0.00,1.45,0.00,0.05,1.98,0.09,0.05,1.48,0.07,0.00
-0.55,0.44,14.45,-7.99,0.44,1.15,0.46,0.50,1.15,0.53,0.00,1.29,0.00,0.05,1.63,0.07,0.05,1.57,0.08,0.00
-0.95,0.57,13.86,-13.13,0.21,1.28,0.25,0.50,1.28,0.59,0.24,1.45,0.32,0.05,1.65,0.08,0.05,1.57,0.08,0.00
-0.95,0.78,13.15,-12.46,0.00,1.08,0.00,0.45,1.08,0.45,0.50,1.29,0.59,0.05,1.57,0.07,0.05,1.57,0.08,0.00
-0.02,1.00,20.23,-0.31,0.00,1.50,0.00,0.50,1.50,0.69,0.45,1.50,0.62,0.05,5.74,0.26,0.05,2.00,0.10,0.00
0.95,1.00,38.65,33.76,0.00,2.00,0.00,0.00,1.97,0.00,0.00,9.14,0.00,0.05,20.51,0.94,0.05,2.55,0.13,0.00
0.28,0.76,30.07,7.61,0.17,2.00,0.32,0.00,1.65,0.00,0.50,2.72,1.25,0.05,3.49,0.16,0.05,1.71,0.09,0.00
0.00,0.69,25.97,0.00,0.50,1.95,0.90,0.15,1.50,0.20,0.30,2.30,0.64,0.05,2.01,0.09,0.05,1.38,0.07,0.00
0.00,0.69,25.83,0.00,0.00,1.20,0.00,0.49,1.20,0.54,0.46,2.15,0.92,0.05,1.53,0.07,0.05,1.25,0.06,0.00
0.00,0.68,23.73,0.00,0.00,0.93,0.00,0.49,1.10,0.50,0.46,1.75,0.74,0.05,1.64,0.08,0.05,1.25,0.06,0.00
0.00,0.68,22.49,0.00,0.00,0.25,0.00,0.50,1.00,0.46,0.45,1.12,0.47,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.00,0.68,21.90,0.00,0.00,0.08,0.00,0.50,1.00,0.46,0.45,1.11,0.46,0.05,1.33,0.06,0.05,1.25,0.06,0.00
0.00,0.67,20.46,0.00,0.00,0.10,0.00,0.50,1.00,0.46,0.45,0.92,0.38,0.05,1.49,0.07,0.05,0.50,0.02,0.00
-0.95,0.67,19.56,-18.53,0.00,0.11,0.00,0.50,1.00,0.46,0.44,0.92,0.37,0.05,1.33,0.06,0.05,0.49,0.02,0.00
-0.52,0.88,20.08,-10.42,0.00,0.12,0.00,0.45,1.00,0.41,0.50,1.12,0.51,0.05,1.60,0.07,0.05,0.34,0.02,0.00
0.00,1.00,21.17,0.00,0.00,0.13,0.00,0.45,1.00,0.41,0.50,1.12,0.51,0.05,1.80,0.08,0.05,0.49,0.02,0.00
0.00,1.00,22.71,0.00,0.00,0.14,0.00,0.45,1.00,0.41,0.50,1.15,0.53,0.05,2.50,0.11,0.05,0.72,0.04,0.00
0.00,0.99,27.08,0.00,0.00,0.94,0.00,0.45,1.00,0.41,0.50,2.72,1.25,0.05,3.19,0.15,0.05,1.31,0.07,0.00
0.59,0.99,37.54,20.38,0.00,3.50,0.00,0.00,2.50,0.00,0.41,10.10,3.80,0.00,5.40,0.00,0.05,2.26,0.11,0.00
1.00,0.84,43.74,40.21,0.00,6.47,0.00,0.00,3.64,0.00,0.00,14.30,0.00,0.00,3.97,0.00,0.05,2.06,0.10,0.00
0.50,0.59,35.43,16.29,0.50,10.73,4.93,0.00,2.50,0.00,0.00,8.00,0.00,0.00,5.60,0.00,0.05,6.98,0.35,0.00
0.00,0.46,26.59,0.00,0.50,8.25,3.79,0.45,2.50,1.03,0.00,2.75,0.00,0.05,4.53,0.21,0.05,2.55,0.13,0.00
0.00,0.46,22.89,0.00,0.49,2.97,1.33,0.46,1.50,0.64,0.00,2.00,0.00,0.05,2.50,0.11,0.05,1.25,0.06,0.00
0.00,0.46,19.26,0.00,0.47,1.94,0.84,0.48,1.40,0.62,0.00,1.50,0.00,0.05,1.81,0.08,0.05,1.25,0.06,0.00
-0.52,0.45,18.09,-9.45,0.46,1.70,0.71,0.49,1.50,0.68,0.00,1.50,0.00,0.05,1.83,0.08,0.05,1.02,0.05,0.00
-0.95,0.57,17.71,-16.78,0.21,1.47,0.29,0.50,1.47,0.68,0.24,1.48,0.32,0.05,1.91,0.09,0.05,1.25,0.06,0.00
-0.95,0.78,17.16,-16.25,0.00,1.50,0.00,0.50,1.50,0.69,0.45,1.50,0.62,0.05,1.83,0.08,0.05,1.36,0.07,0.00
-0.02,1.00,18.68,-0.29,0.00,1.35,0.00,0.45,1.40,0.58,0.50,1.48,0.68,0.05,2.40,0.11,0.05,1.25,0.06,0.00
-0.02,1.00,24.64,-0.39,0.00,1.60,0.00,0.45,1.60,0.66,0.50,2.25,1.03,0.05,5.19,0.24,0.05,1.13,0.06,0.00
0.00,1.00,48.76,0.00,0.45,15.88,6.57,0.00,5.00,0.00,0.50,18.57,8.54,0.05,18.94,0.87,0.05,2.60,0.13,0.00
1.00,1.00,41.08,37.77,-0.00,5.22,-0.00,0.00,2.97,0.00,0.00,5.10,0.00,0.00,3.49,0.00,0.05,1.99,0.10,0.00
0.10,0.75,35.26,3.29,0.50,3.00,1.38,0.00,1.68,0.00,0.40,3.00,1.10,0.00,2.19,0.00,0.05,1.80,0.09,0.00
0.00,0.72,30.71,0.00,0.50,2.50,1.15,0.11,1.50,0.16,0.34,3.00,0.93,0.05,1.83,0.08,0.05,1.56,0.08,0.00
0.00,0.71,27.97,0.00,0.50,2.50,1.15,0.12,1.50,0.16,0.33,2.30,0.70,0.05,2.30,0.11,0.05,1.37,0.07,0.00
0.00,0.71,29.09,0.00,0.00,0.94,0.00,0.46,1.01,0.43,0.49,1.75,0.79,0.05,1.47,0.07,0.05,1.26,0.06,0.00
0.00,0.70,26.50,0.00,0.00,0.95,0.00,0.46,1.01,0.43,0.49,1.15,0.52,0.05,1.51,0.07,0.05,1.25,0.06,0.00
0.00,0.70,27.05,0.00,0.00,0.88,0.00,0.50,1.01,0.46,0.45,0.88,0.36,0.05,1.49,0.07,0.05,0.60,0.03,0.00
0.00,0.70,24.46,0.00,0.00,0.88,0.00,0.50,1.00,0.46,0.45,0.88,0.36,0.05,1.33,0.06,0.05,0.66,0.03,0.00
