BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.50,0.50,85.06,9.80,0.00,0.68,0.00,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.44,36.13,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.44,-3.42,0.43,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.49,-31.94,3.99,0.00,0.68,0.00,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.55,28.25,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.55,9.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.55,2.08,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.54,1.99,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.54,13.86,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.54,0.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.54,9.91,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.54,12.44,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.54,-9.39,1.17,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.59,4.59,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.59,2.84,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.59,16.38,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.59,10.18,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.58,61.94,7.14,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.52,17.92,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.50,0.52,-26.40,3.30,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.50,0.58,-29.94,3.74,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.63,7.42,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.63,10.25,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.63,10.20,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.63,-68.55,17.14,0.00,1.32,0.00,0.50,42.00,4.84,-0.00,31.96,-0.00,0.00
-0.86,0.74,-35.64,7.62,0.50,1.32,0.15,0.50,42.00,4.84,0.14,31.96,1.15,0.00
0.00,0.84,48.82,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.84,60.55,6.98,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.77,-149.99,37.50,0.00,3.56,0.00,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-1.00,0.89,-149.99,37.50,0.00,3.56,0.00,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-0.01,1.00,13.56,-0.05,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,1.00,528.79,121.88,0.00,3.56,0.00,-0.00,24.76,-0.00,0.00,4.32,0.00,0.00
-1.00,0.88,-24.55,6.14,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.99,57.42,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.99,107.38,12.37,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.92,133.77,30.83,0.00,3.56,0.00,-0.00,24.76,-0.00,0.50,4.32,0.54,0.00
-1.00,0.80,3.47,-0.87,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.91,72.12,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.91,120.75,13.92,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.85,77.30,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
-1.00,0.85,-8.23,2.06,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.96,67.44,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.96,126.17,14.54,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.89,78.35,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.89,131.95,30.41,0.00,2.88,0.00,-0.00,24.12,-0.00,0.50,4.32,0.54,0.00
-0.00,0.77,104.81,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.77,67.49,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.76,-17.50,4.38,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
0.98,0.88,127.09,28.60,0.00,2.88,0.00,0.02,24.12,0.13,0.50,4.32,0.54,0.00
0.50,0.76,109.22,12.59,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.69,68.09,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.69,7.56,-1.89,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
-0.00,0.80,102.75,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.80,71.56,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
