BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.50,0.50,85.06,9.80,0.00,0.68,0.00,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.37,36.13,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.37,-3.42,-0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
-0.50,0.37,-31.94,3.99,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.48,28.25,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.48,9.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.47,2.08,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.47,1.99,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.47,13.86,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.46,0.82,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.46,9.91,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.46,12.44,0.00,0.50,0.68,0.08,0.50,47.00,5.42,0.50,36.52,4.57,0.00
0.00,0.45,-9.39,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.45,4.59,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.45,2.84,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.44,16.38,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.44,10.18,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.44,61.94,7.14,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.31,17.92,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.31,-26.40,-0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-0.23,0.30,-29.94,1.73,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.35,7.42,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.35,10.25,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.35,10.20,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.34,-68.55,17.14,0.50,1.32,0.15,0.50,42.00,4.84,-0.00,31.96,-0.00,0.00
-0.50,0.57,-35.64,4.46,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.00,0.68,48.82,0.00,0.50,1.32,0.15,0.50,42.00,4.84,0.50,31.96,4.00,0.00
0.50,0.68,60.55,6.98,0.00,1.32,0.00,0.50,42.00,4.84,0.50,31.96,4.00,0.00
-1.00,0.55,-149.99,37.50,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-1.00,0.78,-149.99,37.50,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
-0.01,1.00,13.56,-0.05,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,1.00,528.79,121.88,0.00,3.56,0.00,-0.00,24.76,-0.00,0.00,4.32,0.00,0.00
-1.00,0.75,-24.55,6.14,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.97,57.42,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.45,0.97,107.38,11.16,0.05,3.56,0.04,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.86,133.77,30.83,0.00,3.56,0.00,0.00,24.76,0.00,0.50,4.32,0.54,0.00
-1.00,0.61,3.47,-0.87,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.83,72.12,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.83,120.75,13.92,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.71,77.30,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
-1.00,0.70,-8.23,2.06,0.50,3.56,0.41,0.50,24.76,2.85,-0.00,4.32,-0.00,0.00
0.00,0.93,67.44,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.50,0.92,126.17,14.54,0.00,3.56,0.00,0.50,24.76,2.85,0.50,4.32,0.54,0.00
0.00,0.80,78.35,0.00,0.50,3.56,0.41,0.50,24.76,2.85,0.50,4.32,0.54,0.00
1.00,0.79,131.95,30.41,0.00,2.88,0.00,0.00,24.12,0.00,0.50,4.32,0.54,0.00
-0.00,0.55,104.81,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.54,67.49,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.54,-17.50,4.38,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
0.50,0.77,127.09,14.65,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.50,0.64,109.22,12.59,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.51,68.09,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.51,7.56,-1.89,0.50,2.88,0.33,0.50,24.12,2.78,-0.00,4.32,-0.00,0.00
-0.00,0.74,102.75,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.73,71.56,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.73,69.24,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.73,46.58,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.72,55.64,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.50,0.72,108.20,12.47,0.00,2.88,0.00,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-0.00,0.59,103.46,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
0.00,0.59,77.90,0.00,0.50,2.88,0.33,0.50,24.12,2.78,0.50,4.32,0.54,0.00
-1.00,0.59,6.64,-1.66,0.50,9.52,1.10,0.50,12.12,1.40,-0.00,2.08,-0.00,0.00
0.00,0.81,63.45,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
0.00,0.81,98.52,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.00,2.08,0.00,0.00
1.00,0.80,269.87,62.20,0.00,9.52,0.00,-0.00,12.12,-0.00,0.00,2.08,0.00,0.00
-1.00,0.55,-144.94,36.23,0.50,9.52,1.10,0.50,12.12,1.40,-0.00,2.08,-0.00,0.00
-1.00,0.78,-99.94,24.98,0.50,9.52,1.10,0.50,12.12,1.40,-0.00,2.08,-0.00,0.00
0.00,1.00,75.26,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
1.00,1.00,679.53,156.62,0.00,9.52,0.00,-0.00,12.12,-0.00,0.00,2.08,0.00,0.00
0.00,0.75,82.66,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
0.32,0.74,129.66,9.44,0.18,9.52,0.40,0.50,12.12,1.40,0.00,2.08,0.00,0.00
1.00,0.66,181.06,41.73,0.00,9.52,0.00,-0.00,12.12,-0.00,0.00,2.08,0.00,0.00
-0.00,0.41,121.52,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.00,2.08,0.00,0.00
0.00,0.40,95.86,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
-0.00,0.40,127.01,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.00,2.08,0.00,0.00
0.00,0.39,114.57,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.00,2.08,0.00,0.00
0.00,0.39,75.51,0.00,0.50,9.52,1.10,0.50,12.12,1.40,0.50,2.08,0.26,0.00
1.00,0.38,692.19,159.54,0.00,2.08,0.00,-0.00,28.80,-0.00,0.00,4.28,0.00,0.00
0.00,0.13,70.84,0.00,0.49,2.08,0.23,0.50,28.80,3.32,0.50,4.28,0.54,0.00
-1.00,0.13,-149.99,37.50,0.00,2.08,0.00,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
-1.00,0.36,-144.93,36.23,0.00,2.08,0.00,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
0.50,0.59,115.10,13.26,0.00,2.08,0.00,0.50,28.80,3.32,0.50,4.28,0.54,0.00
1.00,0.46,172.86,39.84,0.00,2.08,0.00,-0.00,28.80,-0.00,0.50,4.28,0.54,0.00
0.00,0.21,67.18,0.00,0.50,2.08,0.24,0.50,28.80,3.32,0.50,4.28,0.54,0.00
-0.78,0.21,7.29,-1.42,0.50,2.08,0.24,0.50,28.80,3.32,0.22,4.28,0.24,0.00
1.00,0.38,360.84,83.17,0.00,2.08,0.00,-0.00,28.80,-0.00,0.00,4.28,0.00,0.00
0.00,0.13,63.96,0.00,0.49,2.08,0.23,0.50,28.80,3.32,0.50,4.28,0.54,0.00
-1.00,0.13,-36.13,9.03,0.00,2.08,0.00,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
-1.00,0.36,-18.94,4.74,0.50,2.08,0.24,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
1.00,0.58,488.32,112.55,0.00,2.08,0.00,-0.00,28.80,-0.00,0.00,4.28,0.00,0.00
0.00,0.33,60.36,0.00,0.50,2.08,0.24,0.50,28.80,3.32,0.50,4.28,0.54,0.00
-1.00,0.33,-108.20,27.05,0.00,2.08,0.00,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
-1.00,0.56,-144.98,36.24,0.00,2.08,0.00,0.50,28.80,3.32,-0.00,4.28,-0.00,0.00
1.00,0.78,164.36,37.88,0.00,0.44,0.00,-0.00,30.56,-0.00,0.50,33.68,4.21,0.00
0.50,0.54,117.55,13.55,0.00,0.44,0.00,0.50,30.56,3.52,0.50,33.68,4.21,0.00
-1.00,0.41,-110.82,27.70,0.00,0.44,0.00,0.50,30.56,3.52,-0.00,33.68,-0.00,0.00
