BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
-0.22,0.50,23700.00,-2570.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,4760.00,585.13,0.00,0.00,0.00,0.00
0.00,0.60,23660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4760.00,731.42,0.00,0.00,0.00,0.00
-0.20,0.60,23300.00,-2342.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4760.00,731.42,0.00,0.00,0.00,0.00
0.00,0.69,23540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4760.00,731.42,0.00,0.00,0.00,0.00
-0.67,0.69,23000.00,-7666.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4760.00,731.42,0.00,0.00,0.00,0.00
0.00,1.00,23660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,4760.00,731.42,0.00,0.00,0.00,0.00
0.00,1.00,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,3600.00,553.17,0.00,0.00,0.00,0.00
0.00,1.00,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
-0.00,1.00,22800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
0.30,1.00,23660.00,3272.02,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3020.00,371.24,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
0.50,0.85,22710.00,5234.40,0.00,0.00,0.00,0.00,0.00,0.00,0.17,3020.00,232.03,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
0.67,0.60,21350.00,6561.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.33,6120.00,940.39,0.00,0.00,0.00,0.00
0.00,0.27,17620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,0.11,6120.00,313.46,0.00,0.00,0.00,0.00
0.33,0.27,16000.00,2458.55,0.00,0.00,0.00,0.00,0.00,0.00,0.11,9140.00,468.15,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-1.00,0.10,5000.00,-2500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9140.00,0.00,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
0.00,0.56,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,9140.00,1294.83,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-0.69,0.56,20.00,-6.93,0.00,0.00,0.00,0.00,0.00,0.00,0.31,9140.00,1294.83,0.00,5500.00,0.00,0.00,0.00,0.00,0.00
-0.26,0.88,10.00,-1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.33,9140.00,1404.44,0.19,5500.00,473.76,0.00,0.00,0.00,0.00
0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,9140.00,1404.44,0.27,5500.00,676.10,0.00,0.00,0.00,0.00
0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
-0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
-0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
-0.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
0.00,1.00,970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,14000.00,2151.23,0.27,5040.00,619.55,0.00,0.00,0.00,0.00
-0.00,1.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
-0.00,1.00,13350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
-0.00,1.00,17410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
-0.00,1.00,20380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
0.00,1.00,23030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
0.00,1.00,23080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,7500.00,1152.44,0.00,0.00,0.00,0.00
0.00,1.00,23030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
-0.00,1.00,24100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
0.00,1.00,23090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
0.00,1.00,22670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
0.00,1.00,22480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
0.00,1.00,22310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,300.00,46.10,0.00,0.00,0.00,0.00
0.00,1.00,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
0.00,1.00,22860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
-0.00,1.00,22770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
0.00,1.00,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
-0.00,1.00,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
0.00,1.00,21350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3020.00,464.05,0.27,1580.00,194.23,0.00,0.00,0.00,0.00
-0.00,1.00,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10140.00,1558.10,0.00,0.00,0.00,0.00
0.00,1.00,20670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10140.00,1558.10,0.00,0.00,0.00,0.00
0.00,1.00,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10140.00,1558.10,0.00,0.00,0.00,0.00
