BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
0.00,0.50,12200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.30,820.00,113.40,0.00,0.00,0.00,0.00
0.00,0.50,11300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.30,820.00,113.40,0.00,0.00,0.00,0.00
-0.20,0.50,10970.00,-1097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.30,820.00,113.40,0.00,0.00,0.00,0.00
0.00,0.53,10860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.36,820.00,136.63,0.00,0.00,0.00,0.00
0.00,0.53,10690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.36,820.00,136.63,0.00,0.00,0.00,0.00
0.00,0.53,10690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8060.00,1857.74,0.36,820.00,136.63,0.00,0.00,0.00,0.00
0.00,0.53,10520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10000.00,2304.89,0.36,720.00,119.97,0.00,0.00,0.00,0.00
0.00,0.53,10470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.36,760.00,126.64,0.00,0.00,0.00,0.00
0.14,0.53,10460.00,668.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.36,760.00,126.64,0.00,0.00,0.00,0.00
0.29,0.51,11040.00,1473.85,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.21,760.00,73.71,0.00,0.00,0.00,0.00
0.28,0.46,10820.00,1402.81,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.22,760.00,76.64,0.00,0.00,0.00,0.00
0.38,0.41,10000.00,1728.66,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.12,760.00,43.79,0.00,0.00,0.00,0.00
0.12,0.35,8870.00,507.52,0.00,0.00,0.00,0.00,0.00,0.00,0.50,8160.00,1880.79,0.00,760.00,0.00,0.00,0.00,0.00,0.00
0.54,0.33,5670.00,1415.01,0.00,0.00,0.00,0.00,0.00,0.00,0.46,9920.00,2097.25,0.00,1220.00,0.00,0.00,0.00,0.00,0.00
-0.72,0.24,1000.00,-360.92,0.00,0.00,0.00,0.00,0.00,0.00,0.28,9920.00,1272.03,0.00,1220.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.35,1000.00,-250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9920.00,2286.45,0.00,1220.00,0.00,0.00,0.00,0.00,0.00
-0.35,0.43,40.00,-6.93,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9920.00,2286.45,0.15,1220.00,86.42,0.00,0.00,0.00,0.00
-0.38,0.48,10.00,-1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9920.00,2286.45,0.12,1220.00,65.35,0.00,0.00,0.00,0.00
-0.50,0.54,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,9920.00,2286.45,0.00,1220.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.62,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,7100.00,1636.47,0.00,960.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.69,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,7100.00,1636.47,0.00,960.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.77,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,7100.00,1636.47,0.00,960.00,0.00,0.00,0.00,0.00,0.00
-0.50,0.85,10.00,-2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,7100.00,1636.47,0.00,960.00,0.00,0.00,0.00,0.00,0.00
