BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
-0.00,1.00,23080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,7500.00,1728.66,0.00,0.00,0.00,0.00
0.00,1.00,23030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,300.00,69.15,0.00,0.00,0.00,0.00
0.60,1.00,24100.00,6665.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,300.00,55.32,0.00,0.00,0.00,0.00
0.00,0.85,23090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,300.00,69.15,0.00,0.00,0.00,0.00
0.00,0.85,22670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,300.00,69.15,0.00,0.00,0.00,0.00
0.00,0.85,22480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,300.00,69.15,0.00,0.00,0.00,0.00
0.00,0.85,22310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,300.00,69.15,0.00,0.00,0.00,0.00
0.00,0.85,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
0.00,0.85,22860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
-0.00,0.85,22770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
-0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
0.00,0.85,21350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,1580.00,364.17,0.00,0.00,0.00,0.00
-0.00,0.85,21790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
0.00,0.85,20670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
0.00,0.85,21330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
0.00,0.85,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
0.00,0.85,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,10140.00,2337.15,0.00,0.00,0.00,0.00
-0.00,0.85,21350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
-0.00,0.85,21290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
