BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
-0.22,0.50,12200.00,-1323.28,0.00,0.00,0.00,0.00,0.00,0.00,0.27,8060.00,990.79,0.00,820.00,0.00,0.00,0.00,0.00,0.00
0.00,0.60,11300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8060.00,1238.49,0.00,820.00,0.00,0.00,0.00,0.00,0.00
-0.67,0.60,10970.00,-3656.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8060.00,1238.49,-0.00,820.00,-0.00,0.00,0.00,0.00,0.00
-0.20,0.91,10860.00,-1091.73,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8060.00,1238.49,0.20,820.00,77.44,0.00,0.00,0.00,0.00
0.00,1.00,10690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8060.00,1238.49,0.27,820.00,100.80,0.00,0.00,0.00,0.00
0.00,1.00,10690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8060.00,1238.49,0.27,820.00,100.80,0.00,0.00,0.00,0.00
0.00,1.00,10520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,10000.00,1536.59,0.27,720.00,88.51,0.00,0.00,0.00,0.00
0.00,1.00,10470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8160.00,1253.86,0.27,760.00,93.42,0.00,0.00,0.00,0.00
0.00,1.00,10460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8160.00,1253.86,0.27,760.00,93.42,0.00,0.00,0.00,0.00
0.30,1.00,11040.00,1526.76,0.00,0.00,0.00,0.00,0.00,0.00,0.33,8160.00,1253.86,0.27,760.00,93.42,0.00,0.00,0.00,0.00
