BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.39,0.50,106.91,38.23,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.96,0.00,0.50,7.77,3.58,0.50,3.35,1.68,0.11,0.45,0.05,0.00,0.45,0.00,0.00
-0.00,0.10,95.75,0.00,0.00,0.00,0.00,0.50,0.88,0.41,0.00,0.00,0.00,-0.00,0.86,-0.00,0.04,1.23,0.05,0.50,10.38,4.78,0.50,3.98,1.99,0.00,0.52,0.00,0.46,0.75,0.35,0.00
0.00,0.10,83.65,0.00,0.00,0.00,0.00,0.50,0.47,0.22,0.00,0.00,0.00,-0.00,0.49,-0.00,0.04,0.93,0.03,0.50,8.20,3.78,0.50,3.52,1.76,0.00,0.41,0.00,0.46,0.53,0.24,0.00
0.00,0.10,76.47,0.00,0.00,0.00,0.00,0.07,0.41,0.03,0.00,0.00,0.00,0.43,0.46,0.18,0.50,1.79,0.90,0.50,5.67,2.62,0.50,3.79,1.90,0.00,0.46,0.00,-0.00,0.84,-0.00,0.00
0.00,0.10,69.89,0.00,0.00,0.00,0.00,0.07,0.44,0.03,0.00,0.00,0.00,0.43,0.64,0.25,0.50,4.79,2.40,0.50,5.07,2.34,0.50,6.16,3.08,0.00,0.49,0.00,-0.00,3.59,-0.00,0.00
0.00,0.10,62.62,0.00,0.00,0.00,0.00,0.07,0.64,0.04,0.00,0.00,0.00,0.43,0.87,0.34,0.50,7.43,3.72,0.50,5.11,2.35,0.50,8.27,4.14,0.00,0.45,0.00,-0.00,3.11,-0.00,0.00
0.00,0.10,-3.18,-0.00,0.00,0.00,0.00,0.50,1.90,0.88,0.00,0.00,0.00,0.00,1.11,0.00,0.50,26.43,13.22,0.50,6.07,2.80,0.50,35.99,17.99,0.00,0.45,0.00,0.00,7.02,0.00,0.00
0.00,0.12,-43.86,-0.00,0.00,0.00,0.00,0.50,0.84,0.39,0.00,0.00,0.00,0.00,0.78,0.00,0.50,77.02,38.51,0.50,6.68,3.08,0.50,93.53,46.76,0.00,0.40,0.00,0.00,11.07,0.00,0.00
-0.26,0.13,-48.63,12.86,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.24,62.42,14.71,0.50,11.72,5.40,0.50,87.32,43.66,0.00,0.45,0.00,0.00,16.99,0.00,0.00
-0.50,0.39,-53.16,26.58,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,56.68,0.00,0.50,16.13,7.44,0.50,78.13,39.06,0.00,0.52,0.00,0.00,19.69,0.00,0.00
-0.15,0.85,-49.35,7.33,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.35,64.42,22.64,0.50,14.22,6.55,0.50,70.16,35.08,0.00,0.40,0.00,0.00,19.95,0.00,0.00
0.00,1.00,-11.89,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.71,0.28,0.50,32.99,16.49,0.50,10.97,5.06,0.50,49.42,24.71,0.00,0.41,0.00,0.00,11.27,0.00,0.00
0.00,1.00,38.70,0.00,0.00,0.00,0.00,0.07,0.67,0.05,0.00,0.00,0.00,0.43,0.87,0.34,0.50,19.32,9.66,0.50,14.13,6.51,0.50,29.48,14.74,0.00,0.39,0.00,-0.00,14.03,-0.00,0.00
0.00,1.00,44.51,0.00,0.00,0.00,0.00,0.07,0.88,0.06,0.00,0.00,0.00,0.43,0.83,0.33,0.50,13.41,6.70,0.50,12.59,5.81,0.50,21.34,10.67,0.00,0.39,0.00,-0.00,4.27,-0.00,0.00
0.00,1.00,75.54,0.00,0.00,0.00,0.00,0.07,1.68,0.11,0.00,0.00,0.00,0.43,1.31,0.52,0.50,3.24,1.62,0.50,18.69,8.61,0.50,10.33,5.16,0.00,0.51,0.00,-0.00,0.90,-0.00,0.00
0.00,1.00,74.52,0.00,0.00,0.00,0.00,0.07,1.22,0.08,0.00,0.00,0.00,0.43,1.03,0.40,0.50,3.97,1.99,0.50,15.94,7.35,0.50,7.17,3.59,0.00,0.51,0.00,-0.00,1.13,-0.00,0.00
0.00,1.00,83.79,0.00,0.00,0.00,0.00,0.50,0.73,0.34,0.00,0.00,0.00,0.00,0.39,0.00,0.04,1.00,0.04,0.50,14.75,6.80,0.50,4.89,2.44,-0.00,0.39,-0.00,0.46,0.39,0.18,0.00
0.00,1.00,98.09,0.00,0.00,0.00,0.00,0.50,4.51,2.08,0.00,0.00,0.00,-0.00,2.09,-0.00,0.00,0.96,0.00,0.50,12.24,5.64,0.50,7.56,3.78,0.00,0.56,0.00,0.00,0.27,0.00,0.00
0.89,0.99,160.60,131.89,0.00,0.00,0.00,0.00,12.78,0.00,0.00,0.00,0.00,0.00,2.61,0.00,0.00,0.42,0.00,0.00,13.37,0.00,0.50,6.78,3.39,0.11,0.73,0.07,0.00,0.05,0.00,0.00
0.00,0.10,149.28,0.48,0.00,0.00,0.00,0.50,18.13,8.30,0.00,0.00,0.00,0.00,2.83,0.00,0.12,0.31,0.04,0.50,20.18,9.30,0.50,6.11,3.05,0.00,0.76,0.00,0.00,0.03,0.00,0.00
0.00,0.10,85.86,0.00,0.00,0.00,0.00,0.50,2.98,1.37,0.00,0.00,0.00,-0.00,1.25,-0.00,0.13,0.33,0.04,0.50,7.41,3.42,0.50,3.53,1.76,0.00,0.64,0.00,0.00,0.05,0.00,0.00
0.00,0.10,87.49,0.00,0.00,0.00,0.00,0.50,1.47,0.68,0.00,0.00,0.00,-0.00,1.00,-0.00,0.04,0.62,0.02,0.50,9.00,4.15,0.50,3.76,1.88,0.00,0.61,0.00,0.46,0.20,0.09,0.00
0.00,0.10,103.79,0.00,0.00,0.00,0.00,0.50,1.13,0.52,0.00,0.00,0.00,-0.00,1.15,-0.00,0.04,0.90,0.03,0.50,9.75,4.49,0.50,4.07,2.04,0.00,0.46,0.00,0.46,0.33,0.15,0.00
-0.00,0.10,106.95,0.00,0.00,0.00,0.00,0.50,1.96,0.90,0.00,0.00,0.00,-0.00,1.43,-0.00,0.04,0.99,0.04,0.50,8.53,3.93,0.50,3.84,1.92,0.00,0.55,0.00,0.46,0.36,0.17,0.00
0.00,0.10,89.70,0.00,0.00,0.00,0.00,0.07,0.80,0.05,0.00,0.00,0.00,0.43,1.45,0.57,0.50,1.07,0.54,0.50,9.05,4.17,0.50,3.81,1.91,0.00,0.41,0.00,-0.00,0.48,-0.00,0.00
0.00,0.10,72.73,0.00,0.00,0.00,0.00,0.07,0.61,0.04,0.00,0.00,0.00,0.43,0.99,0.39,0.50,2.84,1.42,0.50,5.31,2.45,0.50,3.93,1.96,0.00,0.42,0.00,-0.00,0.73,-0.00,0.00
0.00,0.10,34.34,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.71,0.28,0.50,6.57,3.28,0.50,5.14,2.37,0.50,5.31,2.65,0.00,0.40,0.00,-0.00,1.36,-0.00,0.00
0.00,0.10,34.65,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.86,0.34,0.50,8.65,4.32,0.50,5.38,2.48,0.50,5.98,2.99,0.00,0.43,0.00,-0.00,1.84,-0.00,0.00
0.00,0.10,33.93,0.00,0.00,0.00,0.00,0.07,0.66,0.04,0.00,0.00,0.00,0.43,0.66,0.26,0.50,6.48,3.24,0.50,6.21,2.86,0.50,5.98,2.99,0.00,0.44,0.00,-0.00,3.98,-0.00,0.00
0.00,0.10,64.68,0.00,0.00,0.00,0.00,0.07,0.89,0.06,0.00,0.00,0.00,0.43,0.84,0.33,0.50,4.45,2.22,0.50,5.72,2.64,0.50,6.11,3.06,0.00,0.50,0.00,-0.00,1.13,-0.00,0.00
0.00,0.10,39.54,0.00,0.00,0.00,0.00,0.07,1.09,0.07,0.00,0.00,0.00,0.43,0.99,0.39,0.50,13.61,6.81,0.50,5.07,2.34,0.50,16.12,8.06,0.00,0.67,0.00,-0.00,5.16,-0.00,0.00
0.00,0.10,24.06,0.00,0.00,0.00,0.00,0.07,0.88,0.06,0.00,0.00,0.00,0.43,0.98,0.38,0.50,15.79,7.89,0.50,5.11,2.35,0.50,22.38,11.19,0.00,0.67,0.00,-0.00,6.06,-0.00,0.00
0.00,0.10,26.65,0.00,0.00,0.00,0.00,0.07,0.54,0.04,0.00,0.00,0.00,0.43,0.85,0.33,0.50,14.59,7.29,0.50,5.14,2.37,0.50,23.72,11.86,0.00,0.62,0.00,-0.00,6.18,-0.00,0.00
0.00,0.10,19.94,0.00,0.00,0.00,0.00,0.50,0.41,0.19,0.00,0.00,0.00,0.00,0.60,0.00,0.50,19.84,9.92,0.50,5.04,2.32,0.50,24.52,12.26,0.00,0.42,0.00,-0.00,10.65,-0.00,0.00
0.00,0.12,-9.31,-0.00,0.00,0.00,0.00,0.50,0.36,0.17,0.00,0.00,0.00,0.00,0.42,0.00,0.50,38.58,19.29,0.50,6.96,3.21,0.50,46.24,23.12,0.00,0.34,0.00,0.00,9.27,0.00,0.00
