BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,0.48,87.49,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.00,-0.00,1.00,-0.00,0.00,0.62,0.00,0.50,9.00,4.15,0.50,3.76,1.88,0.50,0.61,0.28,0.00,0.20,0.00,0.00
0.50,0.46,103.79,47.84,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.90,0.00,0.50,9.75,4.49,0.50,4.07,2.04,0.00,0.46,0.00,0.00,0.33,0.00,0.00
0.96,0.34,106.95,94.70,0.00,0.00,0.00,0.00,1.96,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.99,0.00,0.04,8.53,0.31,0.50,3.84,1.92,0.00,0.55,0.00,0.00,0.36,0.00,0.00
0.00,0.10,89.70,0.00,0.00,0.00,0.00,0.07,0.80,0.05,0.00,0.00,0.00,0.43,1.45,0.57,0.50,1.07,0.54,0.50,9.05,4.17,0.50,3.81,1.91,0.00,0.41,0.00,-0.00,0.48,-0.00,0.00
0.00,0.10,72.73,0.00,0.00,0.00,0.00,0.07,0.61,0.04,0.00,0.00,0.00,0.43,0.99,0.39,0.50,2.84,1.42,0.50,5.31,2.45,0.50,3.93,1.96,0.00,0.42,0.00,-0.00,0.73,-0.00,0.00
0.00,0.10,34.34,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.71,0.00,0.50,6.57,3.28,0.50,5.14,2.37,0.50,5.31,2.65,0.00,0.40,0.00,0.00,1.36,0.00,0.00
0.00,0.10,34.65,0.00,0.00,0.00,0.00,0.03,0.39,0.01,0.00,0.00,0.00,0.47,0.86,0.37,0.50,8.65,4.32,0.50,5.38,2.48,0.50,5.98,2.99,0.00,0.43,0.00,-0.00,1.84,-0.00,0.00
0.00,0.10,33.93,0.00,0.00,0.00,0.00,0.50,0.66,0.31,0.00,0.00,0.00,-0.00,0.66,-0.00,0.50,6.48,3.24,0.50,6.21,2.86,0.50,5.98,2.99,0.00,0.44,0.00,-0.00,3.98,-0.00,0.00
0.00,0.11,64.68,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.49,0.84,0.38,0.50,4.45,2.22,0.50,5.72,2.64,0.50,6.11,3.06,0.01,0.50,0.00,-0.00,1.13,-0.00,0.00
0.00,0.11,39.54,0.00,0.00,0.00,0.00,0.50,1.09,0.50,0.00,0.00,0.00,0.00,0.99,0.00,0.50,13.61,6.81,0.50,5.07,2.34,0.50,16.12,8.06,0.00,0.67,0.00,-0.00,5.16,-0.00,0.00
0.00,0.11,24.06,0.00,0.00,0.00,0.00,0.50,0.88,0.41,0.00,0.00,0.00,-0.00,0.98,-0.00,0.50,15.79,7.89,0.50,5.11,2.35,0.50,22.38,11.19,0.00,0.67,0.00,0.00,6.06,0.00,0.00
0.00,0.12,26.65,0.00,0.00,0.00,0.00,0.50,0.54,0.25,0.00,0.00,0.00,-0.00,0.85,-0.00,0.50,14.59,7.29,0.50,5.14,2.37,0.50,23.72,11.86,0.00,0.62,0.00,0.00,6.18,0.00,0.00
0.00,0.12,19.94,0.00,0.00,0.00,0.00,0.50,0.41,0.19,0.00,0.00,0.00,0.00,0.60,0.00,0.50,19.84,9.92,0.50,5.04,2.32,0.50,24.52,12.26,0.00,0.42,0.00,0.00,10.65,0.00,0.00
-0.50,0.12,-9.31,4.66,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,38.58,0.00,0.50,6.96,3.21,0.50,46.24,23.12,0.00,0.34,0.00,0.00,9.27,0.00,0.00
0.00,0.24,11.29,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.39,0.00,0.50,27.59,13.80,0.50,12.07,5.56,0.50,37.60,18.80,0.00,0.38,0.00,0.00,8.74,0.00,0.00
-0.32,0.24,13.03,-4.14,0.00,0.00,0.00,0.50,0.52,0.24,0.00,0.00,0.00,0.00,0.46,0.00,0.18,20.79,3.80,0.50,10.01,4.61,0.50,28.21,14.11,0.00,0.39,0.00,0.00,5.95,0.00,0.00
0.00,0.32,19.88,0.00,0.00,0.00,0.00,0.50,0.80,0.37,0.00,0.00,0.00,0.00,0.57,0.00,0.50,18.73,9.37,0.50,9.82,4.53,0.50,22.74,11.37,0.00,0.39,0.00,0.00,6.11,0.00,0.00
-1.00,0.32,5.91,-5.91,0.00,0.00,0.00,0.50,0.66,0.30,0.00,0.00,0.00,0.00,0.63,0.00,0.00,15.02,0.00,0.50,9.18,4.23,0.00,22.46,0.00,0.00,0.39,0.00,0.00,6.17,0.00,0.00
-1.00,0.55,10.60,-10.60,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.80,0.00,-0.00,10.52,-0.00,0.50,8.15,3.76,0.00,9.35,0.00,0.00,0.39,0.00,0.00,3.48,0.00,0.00
-1.00,0.77,19.27,-19.27,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.50,0.00,0.00,2.59,0.00,0.50,10.15,4.68,0.00,6.15,0.00,0.00,0.39,0.00,0.00,0.98,0.00,0.00
