BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,0.50,51.47,0.00,0.00,0.00,0.00,0.29,0.59,0.16,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.35,0.00,0.50,2.37,1.09,0.50,3.25,1.63,0.21,0.41,0.08,0.50,0.17,0.09,0.00
0.00,0.46,40.74,0.00,0.00,0.00,0.00,0.08,0.41,0.03,0.00,0.00,0.00,0.42,0.41,0.16,-0.00,0.39,-0.00,0.50,3.79,1.75,0.50,3.06,1.53,0.00,0.40,0.00,0.50,0.20,0.10,0.00
0.00,0.42,43.22,0.00,0.00,0.00,0.00,0.13,0.41,0.05,0.00,0.00,0.00,0.37,0.43,0.15,-0.00,0.39,-0.00,0.50,3.41,1.57,0.50,3.47,1.74,0.00,0.39,0.00,0.50,0.27,0.13,0.00
0.00,0.39,41.87,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.27,0.43,0.11,0.50,1.12,0.56,0.50,3.36,1.55,0.50,3.33,1.67,0.23,0.40,0.09,-0.00,0.27,-0.00,0.00
0.12,0.36,37.38,4.07,0.00,0.00,0.00,0.06,0.41,0.02,0.00,0.00,0.00,0.32,0.42,0.12,0.00,0.39,0.00,0.50,3.51,1.62,0.50,2.91,1.45,0.00,0.39,0.00,0.50,0.19,0.10,0.00
0.00,0.10,30.00,0.00,0.00,0.00,0.00,0.31,0.40,0.11,0.00,0.00,0.00,0.00,0.39,0.00,0.50,0.37,0.19,0.50,1.89,0.87,0.50,3.14,1.57,0.19,0.39,0.07,-0.00,0.17,-0.00,0.00
0.00,0.10,0.26,0.00,0.00,0.00,0.00,0.31,0.19,0.05,0.00,0.00,0.00,0.00,0.22,0.00,0.50,0.41,0.21,0.50,4.89,2.25,0.50,2.83,1.42,0.19,0.33,0.06,-0.00,0.30,-0.00,0.00
0.00,0.10,-37.00,-0.00,0.00,0.00,0.00,0.07,0.34,0.02,0.00,0.00,0.00,0.43,0.38,0.15,0.50,0.78,0.39,0.50,7.73,3.56,0.50,2.52,1.26,0.00,0.38,0.00,-0.00,0.37,-0.00,0.00
0.00,0.10,-65.22,-0.00,0.00,0.00,0.00,0.07,0.30,0.02,0.00,0.00,0.00,0.43,0.38,0.15,0.50,9.94,4.97,0.50,2.17,1.00,0.50,6.18,3.09,0.00,0.38,0.00,-0.00,1.13,-0.00,0.00
0.00,0.10,-83.69,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,13.42,6.71,0.50,4.78,2.21,0.50,6.66,3.33,0.00,0.39,0.00,-0.00,3.45,-0.00,0.00
0.00,0.10,-85.29,-0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.39,0.15,0.50,6.86,3.43,0.50,4.85,2.23,0.50,4.99,2.50,0.00,0.38,0.00,0.00,1.64,0.00,0.00
0.00,0.10,-84.67,-0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.38,0.15,0.50,4.48,2.24,0.50,8.03,3.70,0.50,4.83,2.41,0.00,0.38,0.00,-0.00,0.42,-0.00,0.00
-0.49,0.10,-97.26,47.47,0.00,0.00,0.00,0.35,0.38,0.12,0.00,0.00,0.00,0.15,0.39,0.05,0.50,14.05,7.03,0.50,4.94,2.28,0.01,12.02,0.14,0.00,0.38,0.00,0.00,4.44,0.00,0.00
-0.00,1.00,-61.12,0.20,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.50,0.38,0.18,0.50,11.73,5.86,0.50,5.78,2.67,0.50,9.03,4.49,0.00,0.33,0.00,0.00,4.06,0.00,0.00
-0.03,1.00,-46.46,1.44,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.50,6.43,3.21,0.50,10.61,4.89,0.47,4.72,2.21,0.50,0.34,0.16,0.00,2.03,0.00,0.00
0.00,1.00,2.25,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.39,0.15,0.50,4.13,2.06,0.50,11.28,5.20,0.50,4.08,2.04,0.00,0.34,0.00,-0.00,1.14,-0.00,0.00
0.00,1.00,10.29,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.39,0.00,0.50,2.24,1.12,0.50,10.76,4.96,0.50,3.70,1.85,0.19,0.38,0.07,-0.00,0.37,-0.00,0.00
0.00,1.00,39.42,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.03,0.41,0.01,0.00,0.25,0.00,0.50,11.09,5.11,0.50,1.43,0.72,0.47,0.38,0.17,0.50,0.07,0.03,0.00
0.00,0.91,39.62,0.00,0.00,0.00,0.00,0.07,0.40,0.02,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.25,0.00,0.50,3.73,1.72,0.50,4.76,2.38,0.43,0.39,0.16,0.50,0.07,0.03,0.00
0.00,0.83,54.65,0.00,0.00,0.00,0.00,0.16,0.39,0.06,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.19,0.00,0.50,3.40,1.57,0.50,3.88,1.94,0.34,0.38,0.12,0.00,0.03,0.00,0.00
0.00,0.76,55.59,0.00,0.00,0.00,0.00,0.20,0.42,0.08,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.19,0.00,0.50,2.77,1.28,0.50,4.54,2.27,0.30,0.38,0.10,0.00,0.07,0.00,0.00
0.00,0.69,50.57,0.00,0.00,0.00,0.00,0.24,0.39,0.09,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.10,0.00,0.50,2.07,0.95,0.50,3.08,1.54,0.26,0.38,0.09,0.00,0.03,0.00,0.00
