BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,1.00,-11.89,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.71,0.28,0.50,32.99,16.49,0.50,10.97,5.06,0.50,49.42,24.71,0.00,0.41,0.00,0.00,11.27,0.00,0.00
0.00,1.00,38.70,0.00,0.00,0.00,0.00,0.07,0.67,0.05,0.00,0.00,0.00,0.43,0.87,0.34,0.50,19.32,9.66,0.50,14.13,6.51,0.50,29.48,14.74,0.00,0.39,0.00,-0.00,14.03,-0.00,0.00
0.00,1.00,44.51,0.00,0.00,0.00,0.00,0.07,0.88,0.06,0.00,0.00,0.00,0.43,0.83,0.33,0.50,13.41,6.70,0.50,12.59,5.81,0.50,21.34,10.67,0.00,0.39,0.00,-0.00,4.27,-0.00,0.00
0.00,1.00,75.54,0.00,0.00,0.00,0.00,0.07,1.68,0.11,0.00,0.00,0.00,0.43,1.31,0.52,0.50,3.24,1.62,0.50,18.69,8.61,0.50,10.33,5.16,0.00,0.51,0.00,-0.00,0.90,-0.00,0.00
0.00,1.00,74.52,0.00,0.00,0.00,0.00,0.07,1.22,0.08,0.00,0.00,0.00,0.43,1.03,0.40,0.50,3.97,1.99,0.50,15.94,7.35,0.50,7.17,3.59,0.00,0.51,0.00,-0.00,1.13,-0.00,0.00
0.00,1.00,83.79,0.00,0.00,0.00,0.00,0.50,0.73,0.34,0.00,0.00,0.00,0.00,0.39,0.00,0.04,1.00,0.04,0.50,14.75,6.80,0.50,4.89,2.44,-0.00,0.39,-0.00,0.46,0.39,0.18,0.00
0.00,1.00,98.09,0.00,0.00,0.00,0.00,0.50,4.51,2.08,0.00,0.00,0.00,-0.00,2.09,-0.00,0.04,0.96,0.04,0.50,12.24,5.64,0.50,7.56,3.78,0.00,0.56,0.00,0.46,0.27,0.12,0.00
0.45,1.00,160.60,66.41,0.00,0.00,0.00,0.05,12.78,0.61,0.00,0.00,0.00,0.00,2.61,0.00,0.00,0.42,0.00,0.50,13.37,6.16,0.50,6.78,3.39,0.00,0.73,0.00,0.00,0.05,0.00,0.00
-0.00,0.10,149.28,0.00,0.00,0.00,0.00,0.50,18.13,8.36,0.00,0.00,0.00,0.00,2.83,0.00,0.13,0.31,0.04,0.50,20.18,9.30,0.50,6.11,3.05,0.00,0.76,0.00,0.00,0.03,0.00,0.00
0.00,0.10,85.86,0.00,0.00,0.00,0.00,0.50,2.98,1.37,0.00,0.00,0.00,-0.00,1.25,-0.00,0.13,0.33,0.04,0.50,7.41,3.42,0.50,3.53,1.76,0.00,0.64,0.00,0.00,0.05,0.00,0.00
0.00,0.10,87.49,0.00,0.00,0.00,0.00,0.50,1.47,0.68,0.00,0.00,0.00,-0.00,1.00,-0.00,0.04,0.62,0.02,0.50,9.00,4.15,0.50,3.76,1.88,0.00,0.61,0.00,0.46,0.20,0.09,0.00
0.00,0.10,103.79,0.00,0.00,0.00,0.00,0.50,1.13,0.52,0.00,0.00,0.00,-0.00,1.15,-0.00,0.04,0.90,0.03,0.50,9.75,4.49,0.50,4.07,2.04,0.00,0.46,0.00,0.46,0.33,0.15,0.00
-0.00,0.10,106.95,0.00,0.00,0.00,0.00,0.50,1.96,0.90,0.00,0.00,0.00,-0.00,1.43,-0.00,0.04,0.99,0.04,0.50,8.53,3.93,0.50,3.84,1.92,0.00,0.55,0.00,0.46,0.36,0.17,0.00
