BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.38,0.50,109.11,37.83,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.95,0.00,0.50,21.26,9.80,0.50,8.76,4.38,0.12,0.75,0.09,0.00,0.18,0.00,0.00
0.00,0.11,85.58,0.00,0.00,0.00,0.00,0.50,5.36,2.47,0.00,0.00,0.00,-0.00,3.41,-0.00,0.11,1.03,0.11,0.50,18.98,8.75,0.50,7.62,3.81,0.00,0.75,0.00,0.00,0.20,0.00,0.00
0.00,0.11,84.57,0.00,0.00,0.00,0.00,0.05,3.97,0.18,0.00,0.00,0.00,0.45,2.92,1.21,0.50,2.29,1.14,0.50,12.87,5.93,0.50,10.44,5.22,0.00,0.77,0.00,-0.00,0.38,-0.00,0.00
0.00,0.11,64.61,0.00,0.00,0.00,0.00,0.50,3.85,1.77,0.00,0.00,0.00,-0.00,2.39,-0.00,0.50,4.09,2.04,0.50,11.51,5.30,0.50,10.96,5.48,0.00,0.77,0.00,-0.00,0.41,-0.00,0.00
0.00,0.13,54.81,0.00,0.00,0.00,0.00,0.50,4.54,2.09,0.00,0.00,0.00,-0.00,3.47,-0.00,0.50,4.75,2.38,0.50,11.26,5.19,0.50,11.77,5.89,0.00,0.78,0.00,-0.00,0.66,-0.00,0.00
0.00,0.14,40.78,0.00,0.00,0.00,0.00,0.50,4.72,2.18,0.00,0.00,0.00,-0.00,4.10,-0.00,0.50,4.19,2.10,0.50,8.52,3.93,0.50,15.14,7.57,0.00,0.73,0.00,0.00,0.45,0.00,0.00
-0.50,0.16,17.92,-8.96,0.00,0.00,0.00,0.50,4.50,2.07,0.00,0.00,0.00,0.00,4.31,0.00,0.00,7.68,0.00,0.50,8.31,3.83,0.50,55.33,27.66,0.00,0.51,0.00,0.00,1.25,0.00,0.00
0.00,0.61,16.64,0.00,0.00,0.00,0.00,-0.00,1.81,-0.00,0.00,0.00,0.00,0.50,3.98,1.84,0.50,18.07,9.03,0.50,6.62,3.05,0.50,39.84,19.92,0.00,0.53,0.00,0.00,2.43,0.00,0.00
-0.45,0.61,20.38,-9.10,0.00,0.00,0.00,-0.00,1.19,-0.00,0.00,0.00,0.00,0.50,2.31,1.07,0.05,14.36,0.77,0.50,9.59,4.42,0.50,21.32,10.66,0.00,0.54,0.00,0.00,4.40,0.00,0.00
0.00,1.00,26.21,0.00,0.00,0.00,0.00,-0.00,0.42,-0.00,0.00,0.00,0.00,0.50,1.46,0.67,0.50,13.12,6.56,0.50,10.55,4.86,0.50,14.53,7.27,0.00,0.52,0.00,0.00,1.63,0.00,0.00
0.00,1.00,28.51,0.00,0.00,0.00,0.00,-0.00,0.45,-0.00,0.00,0.00,0.00,0.50,1.60,0.74,0.50,16.56,8.28,0.50,11.29,5.20,0.50,17.44,8.72,0.00,0.53,0.00,0.00,2.79,0.00,0.00
0.00,0.99,68.63,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.50,2.33,1.07,0.50,3.76,1.88,0.50,22.94,10.57,0.50,18.06,9.03,-0.00,0.53,-0.00,0.00,0.11,0.00,0.00
0.00,0.99,80.52,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.50,4.81,2.22,0.50,2.72,1.36,0.50,24.34,11.22,0.50,13.38,6.69,-0.00,0.60,-0.00,0.00,0.39,0.00,0.00
0.00,0.99,82.65,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,1.02,0.00,0.50,16.46,7.59,0.50,7.13,3.56,0.50,0.73,0.33,0.00,0.18,0.00,0.00
0.00,0.94,87.02,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,1.73,0.00,0.00,1.18,0.00,0.50,24.88,11.47,0.50,8.30,4.15,0.50,0.66,0.30,0.00,0.15,0.00,0.00
0.50,0.89,106.74,49.21,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,1.64,0.00,0.00,0.92,0.00,0.50,43.67,20.13,0.50,4.30,2.15,0.00,0.73,0.00,0.00,0.10,0.00,0.00
0.00,0.39,72.69,0.00,0.00,0.00,0.00,0.50,12.86,5.93,0.00,0.00,0.00,-0.00,4.08,-0.00,0.00,0.49,0.00,0.50,29.32,13.52,0.50,7.04,3.52,0.00,0.73,0.00,0.00,0.12,0.00,0.00
0.00,0.38,72.49,0.00,0.00,0.00,0.00,0.50,20.45,9.43,0.00,0.00,0.00,-0.00,4.37,-0.00,0.00,0.34,0.00,0.50,27.93,12.88,0.50,14.49,7.25,0.00,0.79,0.00,0.00,0.08,0.00,0.00
0.00,0.37,90.93,0.00,0.00,0.00,0.00,0.50,21.45,9.89,0.00,0.00,0.00,-0.00,7.20,-0.00,0.00,0.67,0.00,0.50,24.79,11.43,0.50,14.66,7.33,0.00,0.76,0.00,0.00,0.12,0.00,0.00
0.00,0.37,100.46,0.00,0.00,0.00,0.00,0.50,25.40,11.71,0.00,0.00,0.00,-0.00,7.50,-0.00,0.00,0.66,0.00,0.50,26.14,12.05,0.50,13.43,6.72,0.00,0.75,0.00,0.00,0.10,0.00,0.00
0.00,0.36,94.63,0.00,0.00,0.00,0.00,0.50,20.40,9.40,0.00,0.00,0.00,-0.00,5.25,-0.00,0.00,0.91,0.00,0.50,19.11,8.81,0.50,14.66,7.33,0.00,0.77,0.00,0.00,0.17,0.00,0.00
0.00,0.36,82.43,0.00,0.00,0.00,0.00,0.50,20.11,9.27,0.00,0.00,0.00,-0.00,4.72,-0.00,0.00,1.02,0.00,0.50,23.27,10.73,0.50,14.22,7.11,0.00,0.76,0.00,0.00,0.18,0.00,0.00
0.00,0.35,82.71,0.00,0.00,0.00,0.00,0.50,19.82,9.13,0.00,0.00,0.00,-0.00,4.72,-0.00,0.00,0.91,0.00,0.50,21.97,10.13,0.50,7.50,3.75,0.00,0.76,0.00,0.00,0.09,0.00,0.00
0.00,0.34,80.13,0.00,0.00,0.00,0.00,0.50,17.60,8.11,0.00,0.00,0.00,-0.00,5.99,-0.00,0.00,0.92,0.00,0.50,20.93,9.65,0.50,7.75,3.87,0.00,0.75,0.00,0.00,0.11,0.00,0.00
0.00,0.34,86.31,0.00,0.00,0.00,0.00,0.50,12.65,5.83,0.00,0.00,0.00,-0.00,5.20,-0.00,0.00,0.98,0.00,0.50,22.12,10.20,0.50,7.91,3.95,0.00,0.81,0.00,0.00,0.26,0.00,0.00
0.00,0.33,97.00,0.00,0.00,0.00,0.00,0.50,7.64,3.52,0.00,0.00,0.00,-0.00,4.40,-0.00,0.00,1.03,0.00,0.50,15.59,7.19,0.50,8.75,4.37,0.00,0.76,0.00,0.00,0.46,0.00,0.00
0.00,0.33,88.25,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.48,2.90,1.27,0.00,1.19,0.00,0.50,17.12,7.89,0.50,13.43,6.72,0.02,0.75,0.02,0.50,0.98,0.49,0.00
0.18,0.30,97.00,16.34,0.00,0.00,0.00,0.00,4.13,0.00,0.00,0.00,0.00,0.16,3.10,0.45,0.00,1.03,0.00,0.50,14.00,6.45,0.50,13.81,6.90,0.16,0.73,0.11,0.50,0.96,0.48,0.00
0.00,0.10,82.77,0.00,0.00,0.00,0.00,0.50,5.22,2.41,0.00,0.00,0.00,-0.00,2.93,-0.00,0.04,1.03,0.04,0.50,12.65,5.83,0.50,8.16,4.08,0.00,0.74,0.00,0.46,0.31,0.15,0.00
-0.00,0.10,84.15,0.00,0.00,0.00,0.00,0.50,18.53,8.54,0.00,0.00,0.00,-0.00,6.14,-0.00,0.04,1.03,0.04,0.50,19.57,9.02,0.50,13.88,6.94,0.00,0.69,0.00,0.46,0.37,0.17,0.00
0.00,0.10,52.39,0.00,0.00,0.00,0.00,0.50,20.26,9.34,0.00,0.00,0.00,-0.00,4.42,-0.00,0.13,2.02,0.26,0.50,16.52,7.61,0.50,22.00,11.00,0.00,0.67,0.00,0.00,0.31,0.00,0.00
