BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.18,0.50,109.11,18.11,0.00,0.00,0.00,0.14,5.00,0.66,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.95,0.00,0.50,21.26,9.80,0.50,8.76,4.38,0.18,0.75,0.12,0.00,0.18,0.00,0.00
0.00,0.10,85.58,0.00,0.00,0.00,0.00,0.50,5.36,2.47,0.00,0.00,0.00,-0.00,3.41,-0.00,0.13,1.03,0.13,0.50,18.98,8.75,0.50,7.62,3.81,0.00,0.75,0.00,0.00,0.20,0.00,0.00
0.00,0.10,84.57,0.00,0.00,0.00,0.00,0.07,3.97,0.27,0.00,0.00,0.00,0.43,2.92,1.15,0.50,2.29,1.14,0.50,12.87,5.93,0.50,10.44,5.22,0.00,0.77,0.00,-0.00,0.38,-0.00,0.00
0.00,0.10,64.61,0.00,0.00,0.00,0.00,0.50,3.85,1.77,0.00,0.00,0.00,0.00,2.39,0.00,0.50,4.09,2.04,0.50,11.51,5.30,0.50,10.96,5.48,-0.00,0.77,-0.00,-0.00,0.41,-0.00,0.00
0.00,0.13,54.81,0.00,0.00,0.00,0.00,0.50,4.54,2.09,0.00,0.00,0.00,-0.00,3.47,-0.00,0.50,4.75,2.38,0.50,11.26,5.19,0.50,11.77,5.89,0.00,0.78,0.00,-0.00,0.66,-0.00,0.00
0.00,0.17,40.78,0.00,0.00,0.00,0.00,0.50,4.72,2.18,0.00,0.00,0.00,-0.00,4.10,-0.00,0.50,4.19,2.10,0.50,8.52,3.93,0.50,15.14,7.57,0.00,0.73,0.00,-0.00,0.45,-0.00,0.00
-0.44,0.20,17.92,-7.81,0.00,0.00,0.00,0.50,4.50,2.07,0.00,0.00,0.00,-0.00,4.31,-0.00,0.06,7.68,0.49,0.50,8.31,3.83,0.50,55.33,27.66,0.00,0.51,0.00,0.00,1.25,0.00,0.00
0.00,1.00,16.64,0.00,0.00,0.00,0.00,-0.00,1.81,-0.00,0.00,0.00,0.00,0.50,3.98,1.84,0.50,18.07,9.03,0.50,6.62,3.05,0.50,39.84,19.92,0.00,0.53,0.00,0.00,2.43,0.00,0.00
-0.01,0.99,20.38,-0.14,0.00,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.50,2.31,1.07,0.49,14.36,7.09,0.50,9.59,4.42,0.50,21.32,10.66,0.00,0.54,0.00,0.00,4.40,0.00,0.00
-0.00,1.00,26.21,-0.09,0.00,0.00,0.00,-0.00,0.42,-0.00,0.00,0.00,0.00,0.50,1.46,0.67,0.50,13.12,6.52,0.50,10.55,4.86,0.50,14.53,7.27,0.00,0.52,0.00,0.00,1.63,0.00,0.00
