BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.50,33.49,0.00,0.25,0.10,0.02,0.50,1.25,0.58,0.25,3.00,0.75,0.25,4.23,0.97,0.00
0.00,0.50,31.58,0.00,0.25,0.10,0.02,0.50,1.25,0.58,0.25,2.70,0.68,0.25,4.23,0.97,0.00
0.00,0.49,32.64,0.00,0.25,0.10,0.02,0.50,1.25,0.58,0.25,3.50,0.88,0.25,2.58,0.59,0.00
0.00,0.49,31.98,0.00,0.25,0.10,0.02,0.50,1.25,0.58,0.25,3.90,0.97,0.25,2.58,0.59,0.00
0.00,0.49,33.15,0.00,0.25,0.10,0.02,0.50,1.25,0.58,0.25,3.30,0.82,0.25,2.57,0.59,0.00
0.39,0.49,35.69,12.68,0.00,0.10,0.00,0.36,1.25,0.42,0.25,7.00,1.75,0.25,4.61,1.06,0.00
0.75,0.39,38.82,26.84,0.00,0.10,0.00,0.00,3.05,0.00,0.25,10.07,2.52,0.25,5.00,1.15,0.00
0.37,0.20,36.67,12.58,0.00,0.10,0.00,0.38,3.50,1.22,0.25,13.00,3.25,0.25,8.02,1.85,0.00
0.00,0.10,27.23,0.00,0.00,0.10,0.00,0.00,1.00,0.00,0.25,39.00,9.75,0.25,5.00,1.15,0.00
-0.17,0.10,19.98,-3.43,0.00,0.10,0.00,0.00,0.25,0.00,0.25,26.09,6.52,0.25,4.99,1.14,0.00
-0.75,0.14,15.00,-11.25,0.00,0.10,0.00,0.15,0.25,0.04,0.25,31.32,7.83,0.25,4.99,1.15,0.00
-0.75,0.32,13.09,-9.82,0.00,0.10,0.00,0.50,0.25,0.12,0.25,50.66,12.66,0.25,4.77,1.10,0.00
-0.75,0.49,11.40,-8.55,0.00,0.10,0.00,0.50,0.25,0.12,0.25,52.58,13.15,0.25,4.99,1.15,0.00
-0.75,0.66,10.96,-8.22,0.00,0.10,0.00,0.50,0.25,0.12,0.25,52.95,13.24,0.25,4.99,1.15,0.00
-0.75,0.83,16.28,-12.21,0.00,0.10,0.00,0.50,0.25,0.12,0.25,30.39,7.60,0.25,4.99,1.15,0.00
-0.01,1.00,28.38,-0.21,0.00,0.10,0.00,0.50,0.25,0.12,0.25,7.99,2.00,0.25,4.77,1.10,0.00
0.22,1.00,39.59,8.14,0.03,0.10,0.00,0.50,3.24,1.50,0.25,11.00,2.75,0.25,6.99,1.61,0.00
