BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.25,0.50,118.47,27.31,0.00,0.13,0.00,0.50,5.09,2.35,0.25,4.35,1.09,0.25,7.32,1.69,0.00
0.00,0.44,113.12,0.00,0.21,0.12,0.02,0.50,2.80,1.29,0.25,5.21,1.30,0.25,6.01,1.39,0.00
0.00,0.43,112.91,0.00,0.20,0.12,0.02,0.50,0.50,0.23,0.25,4.59,1.15,0.25,6.20,1.43,0.00
0.00,0.43,108.43,0.00,0.20,0.12,0.02,0.50,0.13,0.06,0.25,5.54,1.39,0.25,1.13,0.26,0.00
0.00,0.43,107.37,0.00,0.26,0.12,0.03,0.50,0.13,0.06,0.25,5.60,1.40,0.00,0.15,0.00,0.00
0.00,0.43,110.42,0.00,0.20,0.12,0.02,0.50,0.13,0.06,0.25,7.38,1.84,0.25,5.00,1.15,0.00
0.93,0.43,126.38,108.30,0.00,0.12,0.00,0.00,9.53,0.00,0.25,9.00,2.25,0.07,9.53,0.62,0.00
0.37,0.20,122.23,41.83,0.00,0.12,0.00,0.38,9.80,3.42,0.25,13.11,3.28,0.25,12.00,2.77,0.00
0.00,0.11,100.36,0.00,0.00,0.12,0.00,0.00,7.19,0.01,0.25,17.50,4.38,0.25,25.00,5.76,0.00
0.00,0.10,79.28,0.00,0.00,0.12,0.00,0.00,10.00,0.00,0.25,14.00,3.50,0.25,18.69,4.31,0.00
-0.75,0.10,65.00,-48.75,0.00,0.12,0.00,0.00,0.50,0.00,0.25,9.00,2.25,0.25,8.00,1.83,0.00
-0.75,0.28,57.42,-43.06,0.00,0.12,0.00,0.50,1.48,0.68,0.25,12.00,3.00,0.25,3.16,0.73,0.00
-0.90,0.45,52.70,-47.45,0.00,0.12,0.00,0.50,0.25,0.12,0.10,12.00,1.20,0.25,3.00,0.69,0.00
-0.75,0.65,46.57,-34.93,0.00,0.12,0.00,0.00,0.25,0.00,0.25,19.15,4.79,0.00,3.00,0.00,0.00
-0.75,0.83,55.43,-41.57,0.00,0.12,0.00,0.50,0.79,0.36,0.25,25.11,6.28,0.25,9.00,2.07,0.00
-0.01,1.00,86.14,-0.65,0.00,0.12,0.00,0.50,1.16,0.54,0.25,34.53,8.63,0.25,9.93,2.29,0.00
0.00,1.00,139.30,0.00,0.25,0.13,0.03,0.50,2.29,1.06,0.25,6.34,1.58,0.25,2.29,0.53,0.00
0.75,1.00,153.97,106.46,0.00,0.13,0.00,0.00,10.00,0.00,0.25,6.27,1.57,0.25,10.00,2.30,0.00
0.75,0.81,148.47,102.66,0.00,0.13,0.00,0.00,5.35,0.00,0.25,6.27,1.57,0.25,5.35,1.23,0.00
0.98,0.62,146.86,132.83,0.00,0.13,0.00,0.00,3.00,0.00,0.25,7.99,2.00,0.02,3.00,0.05,0.00
0.25,0.38,145.00,33.42,0.00,0.13,0.00,0.50,3.59,1.66,0.25,10.06,2.52,0.25,3.59,0.83,0.00
0.25,0.32,145.00,33.42,0.00,0.13,0.00,0.50,3.59,1.66,0.25,8.40,2.10,0.25,3.59,0.83,0.00
0.00,0.25,142.17,0.00,0.02,0.12,0.00,0.50,2.80,1.29,0.25,6.42,1.60,0.25,2.80,0.65,0.00
