BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
-0.00,1.00,26.88,-0.13,0.00,0.35,0.00,0.05,5.90,0.29,0.45,0.35,0.14,0.05,2.13,0.10,0.00
-0.00,1.00,41.58,-0.21,0.00,0.35,0.00,0.05,4.87,0.24,0.45,0.35,0.14,0.05,2.48,0.11,0.00
0.00,1.00,55.23,0.00,0.00,0.35,0.00,0.05,7.99,0.40,0.45,0.35,0.14,0.05,2.09,0.10,0.00
0.00,0.99,57.76,0.00,0.00,0.76,0.00,0.05,7.11,0.35,0.44,0.76,0.31,0.05,0.76,0.03,0.00
0.00,0.98,56.64,0.00,0.00,1.28,0.00,0.05,7.00,0.35,0.44,1.28,0.52,0.05,2.09,0.10,0.00
0.00,0.97,56.52,0.00,0.00,1.50,0.00,0.05,7.00,0.35,0.44,1.50,0.60,0.05,1.50,0.07,0.00
0.00,0.96,55.31,0.00,0.00,0.81,0.00,0.05,4.87,0.24,0.43,0.81,0.32,0.05,0.81,0.04,0.00
0.00,0.96,54.66,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.43,0.35,0.14,0.05,0.53,0.02,0.00
0.00,0.95,48.36,0.00,0.00,0.35,0.00,0.05,5.26,0.26,0.42,0.35,0.14,0.05,1.50,0.07,0.00
0.00,0.94,47.09,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.42,0.35,0.13,0.05,2.81,0.13,0.00
0.00,0.93,49.40,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.41,0.35,0.13,0.05,0.35,0.02,0.00
0.00,0.92,49.24,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.41,0.35,0.13,0.05,0.56,0.03,0.00
0.00,0.91,45.94,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.41,0.35,0.13,0.05,0.59,0.03,0.00
0.00,0.90,44.84,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.40,0.35,0.13,0.05,0.56,0.03,0.00
0.00,0.90,44.39,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.40,0.35,0.13,0.05,0.35,0.02,0.00
0.00,0.89,49.32,0.00,0.00,0.35,0.00,0.05,4.89,0.24,0.39,0.35,0.13,0.05,0.35,0.02,0.00
0.00,0.88,52.75,0.00,0.00,0.35,0.00,0.05,4.99,0.25,0.39,0.35,0.13,0.05,0.35,0.02,0.00
0.38,0.87,52.60,18.41,0.00,0.35,0.00,0.05,7.99,0.40,0.38,0.45,0.16,0.05,2.07,0.10,0.00
0.00,0.10,46.89,0.00,0.00,0.35,0.00,0.05,4.62,0.23,0.00,0.45,0.00,0.05,2.07,0.10,0.00
0.00,0.10,38.47,0.00,0.00,0.35,0.00,0.05,4.49,0.22,0.00,0.35,0.00,0.05,1.50,0.07,0.00
0.00,0.10,36.12,0.00,0.00,0.35,0.00,0.05,4.60,0.23,0.00,0.35,0.00,0.05,1.00,0.05,0.00
0.00,0.10,34.71,0.00,0.00,0.35,0.00,0.05,4.62,0.23,0.00,0.35,0.00,0.05,1.13,0.05,0.00
-0.00,0.10,28.65,-0.01,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.67,0.03,0.00
-0.49,0.10,27.04,-13.14,0.00,0.30,0.00,0.05,5.00,0.25,0.00,0.30,0.00,0.05,0.69,0.03,0.00
-0.00,1.00,31.06,-0.15,0.00,0.35,0.00,0.05,5.00,0.25,0.45,0.35,0.14,0.05,0.83,0.04,0.00
-0.00,1.00,40.09,-0.20,0.00,0.35,0.00,0.05,4.53,0.23,0.45,0.35,0.14,0.05,1.65,0.08,0.00
0.00,1.00,54.72,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.45,1.00,0.41,0.05,2.74,0.13,0.00
0.00,0.99,56.92,0.00,0.00,0.76,0.00,0.05,7.00,0.35,0.44,1.00,0.41,0.05,2.47,0.11,0.00
0.00,0.98,55.51,0.00,0.00,1.00,0.00,0.05,6.53,0.33,0.44,1.00,0.40,0.05,1.00,0.05,0.00
0.00,0.97,55.38,0.00,0.00,1.00,0.00,0.05,5.96,0.30,0.44,1.00,0.40,0.05,1.00,0.05,0.00
0.00,0.96,54.93,0.00,0.00,0.83,0.00,0.05,4.88,0.24,0.43,0.83,0.33,0.05,0.83,0.04,0.00
0.00,0.96,54.33,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.43,0.35,0.14,0.05,0.35,0.02,0.00
0.00,0.95,50.14,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.42,1.00,0.39,0.05,1.50,0.07,0.00
0.00,0.94,48.58,0.00,0.00,0.35,0.00,0.05,5.93,0.30,0.42,0.50,0.19,0.05,2.30,0.11,0.00
0.00,0.93,45.97,0.00,0.00,0.35,0.00,0.05,4.24,0.21,0.41,0.35,0.13,0.05,0.55,0.03,0.00
0.00,0.92,44.71,0.00,0.00,0.35,0.00,0.05,4.53,0.23,0.41,0.35,0.13,0.05,0.59,0.03,0.00
0.00,0.91,44.45,0.00,0.00,0.35,0.00,0.05,4.82,0.24,0.41,0.35,0.13,0.05,0.46,0.02,0.00
-0.06,0.90,44.17,-2.49,0.00,0.35,0.00,0.05,4.78,0.24,0.40,0.35,0.13,0.05,0.35,0.02,0.00
0.00,1.00,45.02,0.00,0.00,0.35,0.00,0.05,4.26,0.21,0.45,0.35,0.14,0.05,0.35,0.02,0.00
0.00,0.99,51.51,0.00,0.00,0.35,0.00,0.05,5.68,0.28,0.44,0.35,0.14,0.05,0.35,0.02,0.00
0.44,0.98,59.69,23.95,0.00,0.35,0.00,0.05,6.28,0.31,0.44,0.35,0.14,0.05,0.35,0.02,0.00
0.00,0.10,52.91,0.00,0.00,0.35,0.00,0.05,5.99,0.30,0.00,0.45,0.00,0.05,0.69,0.03,0.00
0.00,0.10,41.74,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.45,0.00,0.05,1.86,0.08,0.00
0.00,0.10,22.48,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.86,0.00,0.05,1.10,0.05,0.00
0.00,0.10,17.75,0.00,0.00,0.35,0.00,0.05,5.03,0.25,0.00,0.35,0.00,0.05,0.59,0.03,0.00
0.00,0.10,15.02,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,0.59,0.03,0.00
0.00,0.10,13.81,0.00,0.00,0.14,0.00,0.05,5.14,0.26,0.00,0.14,0.00,0.05,0.37,0.02,0.00
-0.49,0.10,10.19,-4.96,0.00,0.14,0.00,0.05,6.41,0.32,0.00,0.14,0.00,0.05,0.92,0.04,0.00
-0.00,1.00,15.28,-0.08,0.00,0.14,0.00,0.05,5.00,0.25,0.45,0.14,0.06,0.05,0.73,0.03,0.00
-0.00,1.00,42.03,-0.21,0.00,0.35,0.00,0.05,6.57,0.33,0.45,0.35,0.14,0.05,2.35,0.11,0.00
-0.00,1.00,62.09,-0.31,0.00,0.45,0.00,0.05,12.40,0.62,0.45,0.45,0.19,0.05,1.01,0.05,0.00
-0.00,1.00,63.16,-0.31,0.00,0.70,0.00,0.05,7.00,0.35,0.45,0.70,0.29,0.05,0.94,0.04,0.00
0.00,1.00,63.19,0.00,0.00,0.85,0.00,0.05,6.99,0.35,0.45,0.85,0.35,0.05,1.09,0.05,0.00
0.00,0.99,63.27,0.00,0.00,1.00,0.00,0.05,6.11,0.30,0.44,1.00,0.41,0.05,1.06,0.05,0.00
0.00,0.98,63.26,0.00,0.00,0.76,0.00,0.05,5.40,0.27,0.44,0.76,0.31,0.05,0.76,0.03,0.00
0.00,0.97,62.87,0.00,0.00,0.35,0.00,0.05,6.33,0.32,0.44,0.35,0.14,0.05,0.39,0.02,0.00
0.00,0.96,62.41,0.00,0.00,0.35,0.00,0.05,5.79,0.29,0.43,0.45,0.18,0.05,0.69,0.03,0.00
0.00,0.96,61.43,0.00,0.00,0.35,0.00,0.05,4.63,0.23,0.43,0.68,0.27,0.05,2.30,0.11,0.00
0.00,0.95,67.56,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.42,0.35,0.14,0.05,0.40,0.02,0.00
0.00,0.94,60.18,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.42,0.35,0.13,0.05,0.85,0.04,0.00
0.00,0.93,60.17,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.41,0.35,0.13,0.05,0.90,0.04,0.00
-0.05,0.92,59.57,-2.83,0.00,0.35,0.00,0.05,5.00,0.25,0.41,0.35,0.13,0.05,0.85,0.04,0.00
0.00,1.00,61.04,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.45,0.35,0.14,0.05,0.43,0.02,0.00
0.00,0.99,68.96,0.00,0.00,0.35,0.00,0.05,5.77,0.29,0.44,0.35,0.14,0.05,0.36,0.02,0.00
0.44,0.98,78.61,31.47,0.00,0.35,0.00,0.05,7.31,0.36,0.44,0.45,0.18,0.05,1.10,0.05,0.00
0.00,0.10,71.06,0.00,0.00,0.35,0.00,0.05,6.56,0.33,0.00,0.45,0.00,0.05,5.00,0.23,0.00
0.00,0.10,56.79,0.04,0.00,0.35,0.00,0.05,6.17,0.31,0.00,0.45,0.00,0.05,5.00,0.23,0.00
0.00,0.10,42.41,0.00,0.00,0.35,0.00,0.05,5.85,0.29,0.00,0.45,0.00,0.05,1.50,0.06,0.00
0.00,0.10,33.48,0.00,0.00,0.35,0.00,0.05,5.91,0.29,0.00,0.45,0.00,0.05,1.50,0.06,0.00
0.00,0.10,27.27,0.00,0.00,0.35,0.00,0.05,5.72,0.29,0.00,0.35,0.00,0.05,0.54,0.02,0.00
0.00,0.10,25.55,0.00,0.00,0.35,0.00,0.05,6.24,0.31,0.00,0.35,0.00,0.05,0.53,0.02,0.00
-0.49,0.10,23.59,-11.48,0.00,0.35,0.00,0.05,6.45,0.32,0.00,0.35,0.00,0.05,0.59,0.03,0.00
-0.00,1.00,32.50,-0.16,0.00,0.35,0.00,0.05,6.23,0.31,0.45,0.35,0.14,0.05,0.59,0.03,0.00
