BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
1.00,0.50,46.08,42.37,0.00,0.35,0.00,0.05,4.02,0.20,0.00,0.35,0.00,-0.00,0.35,-0.00,0.00
0.00,0.25,45.33,0.00,0.03,0.35,0.01,0.05,4.02,0.20,0.50,0.35,0.16,0.05,0.42,0.02,0.00
0.00,0.25,44.91,0.00,0.02,0.35,0.01,0.05,4.02,0.20,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.25,44.56,0.00,0.02,0.35,0.01,0.05,4.02,0.20,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.25,44.17,0.00,0.02,0.35,0.01,0.05,4.02,0.20,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.24,42.61,0.00,0.02,0.35,0.01,0.05,4.02,0.20,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.24,44.46,0.00,0.02,0.35,0.01,0.05,5.13,0.26,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.56,0.24,45.23,23.39,0.06,0.35,0.02,0.05,9.31,0.46,0.33,0.35,0.11,0.05,1.01,0.05,0.00
0.00,0.10,36.39,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,5.00,0.23,0.00
-0.00,0.10,28.79,-0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,2.46,0.11,0.00
-0.12,0.10,26.44,-3.17,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.50,0.07,0.00
-0.95,0.13,22.85,-21.64,0.00,0.14,0.00,0.05,5.00,0.25,0.11,0.14,0.01,0.05,0.41,0.02,0.00
-0.95,0.35,22.66,-21.47,0.00,0.14,0.00,0.05,5.00,0.25,0.50,0.14,0.06,0.05,0.48,0.02,0.00
-0.95,0.56,22.37,-21.19,0.00,0.14,0.00,0.05,5.00,0.25,0.50,0.14,0.06,0.00,0.17,0.00,0.00
-0.95,0.78,23.86,-22.60,0.00,0.14,0.00,0.05,5.00,0.25,0.50,0.14,0.06,0.05,0.28,0.01,0.00
-0.02,1.00,37.87,-0.58,0.45,0.35,0.14,0.05,5.00,0.25,0.50,0.35,0.16,0.05,1.11,0.05,0.00
0.00,1.00,49.78,0.00,0.50,0.35,0.16,0.05,5.00,0.25,0.45,0.35,0.14,0.05,1.76,0.08,0.00
1.00,1.00,50.72,46.63,0.00,0.45,0.00,0.05,7.99,0.40,0.00,0.45,0.00,-0.00,0.45,-0.00,0.00
0.00,0.75,50.99,0.00,0.50,1.25,0.57,0.05,5.00,0.25,0.45,1.25,0.52,0.05,1.99,0.09,0.00
0.00,0.74,51.06,0.00,0.50,1.50,0.69,0.05,5.00,0.25,0.45,1.50,0.62,0.05,1.50,0.07,0.00
0.00,0.74,50.89,0.00,0.50,0.81,0.37,0.05,4.81,0.24,0.45,0.81,0.34,0.05,0.81,0.04,0.00
0.39,0.74,50.45,18.11,0.50,0.35,0.16,0.05,5.00,0.25,0.06,0.35,0.02,0.05,0.47,0.02,0.00
0.04,0.64,50.16,1.84,0.41,0.35,0.13,0.05,5.59,0.28,0.50,0.35,0.16,0.05,2.00,0.09,0.00
0.00,0.62,47.30,0.00,0.40,0.35,0.13,0.05,5.00,0.25,0.50,0.35,0.16,0.05,3.00,0.14,0.00
0.00,0.62,44.54,0.00,0.39,0.35,0.13,0.05,4.21,0.21,0.50,0.35,0.16,0.05,1.50,0.07,0.00
0.00,0.62,43.89,0.00,0.39,0.35,0.13,0.05,4.34,0.22,0.50,0.35,0.16,0.05,0.87,0.04,0.00
0.00,0.61,43.72,0.00,0.39,0.35,0.12,0.05,4.62,0.23,0.50,0.35,0.16,0.05,0.92,0.04,0.00
0.00,0.61,43.97,0.00,0.38,0.35,0.12,0.05,4.44,0.22,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.61,44.43,0.00,0.38,0.35,0.12,0.05,4.09,0.20,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.60,48.41,0.00,0.38,0.35,0.12,0.05,4.99,0.25,0.50,0.35,0.16,0.05,0.35,0.02,0.00
1.00,0.60,56.89,52.31,0.00,0.35,0.00,0.05,6.32,0.32,0.00,0.35,0.00,-0.00,0.35,-0.00,0.00
1.00,0.35,57.28,52.67,0.00,0.35,0.00,0.05,7.99,0.40,0.00,0.35,0.00,-0.00,2.43,-0.00,0.00
0.00,0.10,38.20,0.00,0.00,0.35,0.00,0.05,4.71,0.24,0.00,0.56,0.00,0.05,4.27,0.20,0.00
-0.00,0.10,28.88,-0.01,0.00,0.35,0.00,0.05,4.63,0.23,0.00,0.35,0.00,0.05,1.50,0.07,0.00
-0.54,0.10,27.00,-14.61,0.00,0.35,0.00,0.05,4.64,0.23,0.00,0.35,0.00,0.05,0.91,0.04,0.00
-0.95,0.23,26.42,-25.03,0.00,0.25,0.00,0.05,4.50,0.22,0.50,0.25,0.12,0.05,0.78,0.04,0.00
-0.95,0.44,22.92,-21.72,0.22,0.27,0.05,0.05,5.80,0.29,0.50,0.27,0.12,0.05,0.78,0.04,0.00
-0.95,0.66,21.94,-20.78,0.00,0.14,0.00,0.05,6.30,0.31,0.50,0.14,0.06,0.05,0.97,0.04,0.00
-0.55,0.88,26.88,-14.69,0.45,0.35,0.14,0.05,5.90,0.29,0.50,0.35,0.16,0.05,2.13,0.10,0.00
-0.02,1.00,41.58,-0.63,0.45,0.35,0.14,0.05,4.87,0.24,0.50,0.35,0.16,0.05,2.48,0.11,0.00
0.00,1.00,55.23,0.00,0.50,0.35,0.16,0.05,7.99,0.40,0.45,0.35,0.14,0.05,2.09,0.10,0.00
1.00,1.00,57.76,53.11,0.00,0.76,0.00,0.05,7.11,0.35,0.00,0.76,0.00,-0.00,0.76,-0.00,0.00
0.95,0.75,56.64,49.47,0.00,1.28,0.00,0.05,7.00,0.35,0.00,1.28,0.00,0.05,2.09,0.10,0.00
0.74,0.51,56.52,38.60,0.21,1.50,0.29,0.05,7.00,0.35,0.00,1.50,0.00,0.05,1.50,0.07,0.00
0.35,0.32,55.31,17.95,0.10,0.81,0.07,0.05,4.87,0.24,0.50,0.81,0.37,0.05,0.81,0.04,0.00
0.00,0.23,54.66,0.00,0.01,0.35,0.00,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.53,0.02,0.00
0.00,0.23,48.36,0.00,0.01,0.35,0.00,0.05,5.26,0.26,0.50,0.35,0.16,0.05,1.50,0.07,0.00
0.00,0.23,47.09,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.50,0.35,0.16,0.05,2.81,0.13,0.00
0.00,0.23,49.40,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.23,49.24,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.50,0.35,0.16,0.05,0.56,0.03,0.00
0.00,0.23,45.94,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.50,0.35,0.16,0.05,0.59,0.03,0.00
