BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.50,33.49,0.00,0.00,0.10,0.00,0.18,1.25,0.21,0.25,3.00,0.75,0.25,4.23,0.97,0.00
-0.26,0.49,31.58,-8.06,0.00,0.10,0.00,0.18,1.25,0.20,0.25,2.70,0.68,0.25,4.23,0.97,0.00
0.00,0.96,32.64,0.00,0.00,0.10,0.00,0.41,1.25,0.47,0.25,3.50,0.88,0.25,2.58,0.59,0.00
0.00,0.94,31.98,0.00,0.00,0.10,0.00,0.40,1.25,0.46,0.25,3.90,0.97,0.25,2.58,0.59,0.00
0.00,0.93,33.15,0.00,0.00,0.10,0.00,0.40,1.25,0.46,0.25,3.30,0.82,0.25,2.57,0.59,0.00
0.00,0.92,35.69,0.00,0.00,0.10,0.00,0.39,1.25,0.45,0.25,7.00,1.75,0.25,4.61,1.06,0.00
0.00,0.91,38.82,0.00,0.00,0.10,0.00,0.38,3.05,1.08,0.25,10.07,2.52,0.25,5.00,1.15,0.00
0.37,0.90,36.67,12.55,0.00,0.10,0.00,0.38,3.50,1.22,0.25,13.00,3.25,0.25,8.02,1.85,0.00
0.00,0.14,27.23,0.00,0.00,0.10,0.00,0.00,1.00,0.00,0.25,39.00,9.75,0.25,5.00,1.15,0.00
0.00,0.14,19.98,0.00,0.00,0.10,0.00,0.00,0.25,0.00,0.25,26.09,6.52,0.25,4.99,1.15,0.00
-0.00,0.14,15.00,-0.06,0.00,0.10,0.00,0.00,0.25,0.00,0.25,31.32,7.83,0.25,4.99,1.14,0.00
-0.00,0.14,13.09,-0.03,0.00,0.10,0.00,0.00,0.25,0.00,0.25,50.66,12.66,0.25,4.77,1.10,0.00
-0.00,0.14,11.40,-0.02,0.00,0.10,0.00,0.00,0.25,0.00,0.25,52.58,13.15,0.25,4.99,1.15,0.00
-0.47,0.14,10.96,-5.14,0.00,0.10,0.00,0.00,0.25,0.00,0.25,52.95,13.24,0.25,4.99,1.15,0.00
-0.01,1.00,16.28,-0.11,0.00,0.10,0.00,0.43,0.25,0.10,0.25,30.39,7.60,0.25,4.99,1.15,0.00
-0.01,1.00,28.38,-0.19,0.00,0.10,0.00,0.43,0.25,0.10,0.25,7.99,2.00,0.25,4.77,1.10,0.00
-0.01,1.00,39.59,-0.27,0.00,0.10,0.00,0.43,3.24,1.29,0.25,11.00,2.75,0.25,6.99,1.61,0.00
0.00,1.00,54.89,0.00,0.00,0.10,0.00,0.43,12.38,4.91,0.25,10.55,2.64,0.25,12.57,2.90,0.00
0.00,0.99,47.31,0.00,0.00,0.10,0.00,0.42,8.20,3.21,0.25,13.42,3.35,0.25,12.72,2.93,0.00
0.00,0.98,45.17,0.00,0.00,0.10,0.00,0.42,3.10,1.19,0.25,8.26,2.07,0.25,4.86,1.12,0.00
0.00,0.96,43.92,0.00,0.00,0.10,0.00,0.41,4.63,1.76,0.25,8.14,2.03,0.25,7.80,1.80,0.00
0.00,0.95,41.17,0.00,0.00,0.10,0.00,0.41,1.25,0.47,0.25,5.00,1.25,0.25,4.99,1.15,0.00
0.00,0.94,37.02,0.00,0.00,0.10,0.00,0.40,1.33,0.49,0.25,11.59,2.90,0.25,4.81,1.11,0.00
0.00,0.93,35.03,0.00,0.00,0.10,0.00,0.39,1.25,0.45,0.25,9.82,2.46,0.25,4.45,1.03,0.00
0.00,0.91,32.90,0.00,0.00,0.10,0.00,0.39,1.25,0.45,0.25,3.00,0.75,0.25,2.66,0.61,0.00
0.00,0.90,31.52,0.00,0.00,0.10,0.00,0.50,1.25,0.58,0.25,4.32,1.08,0.13,1.26,0.15,0.00
0.00,0.91,32.05,0.00,0.00,0.10,0.00,0.50,1.25,0.58,0.25,3.90,0.97,0.14,1.26,0.16,0.00
0.00,0.92,31.71,0.00,0.00,0.10,0.00,0.50,1.25,0.58,0.25,3.90,0.97,0.14,1.26,0.16,0.00
0.00,0.93,32.04,0.00,0.00,0.10,0.00,0.40,1.25,0.46,0.25,3.30,0.82,0.25,1.26,0.29,0.00
0.00,0.92,34.49,0.00,0.00,0.10,0.00,0.39,1.25,0.45,0.25,7.00,1.75,0.25,2.00,0.46,0.00
0.37,0.91,38.00,12.84,0.00,0.10,0.00,0.38,2.54,0.90,0.25,8.44,2.11,0.25,3.26,0.75,0.00
0.01,0.16,34.05,0.23,0.00,0.10,0.00,0.01,3.50,0.04,0.25,13.00,3.25,0.25,9.16,2.11,0.00
0.00,0.14,26.19,0.00,0.00,0.10,0.00,0.00,0.25,0.00,0.25,46.27,11.57,0.25,5.00,1.15,0.00
-0.00,0.14,19.18,-0.04,0.00,0.10,0.00,0.00,0.25,0.00,0.25,71.01,17.75,0.25,5.99,1.38,0.00
-0.00,0.14,16.13,-0.03,0.00,0.10,0.00,0.00,0.25,0.00,0.25,26.68,6.67,0.25,5.00,1.15,0.00
-0.00,0.14,13.92,-0.03,0.00,0.10,0.00,0.00,0.25,0.00,0.25,73.22,18.31,0.25,5.00,1.15,0.00
-0.47,0.14,11.49,-5.39,0.00,0.10,0.00,0.00,0.25,0.00,0.25,78.15,19.54,0.25,5.00,1.15,0.00
-0.01,1.00,12.25,-0.08,0.00,0.10,0.00,0.43,0.25,0.10,0.25,74.80,18.70,0.25,5.91,1.36,0.00
-0.01,1.00,14.88,-0.10,0.00,0.10,0.00,0.43,0.25,0.10,0.25,47.20,11.80,0.25,5.00,1.15,0.00
-0.01,1.00,27.38,-0.19,0.00,0.10,0.00,0.43,1.25,0.50,0.25,16.40,4.10,0.25,6.99,1.61,0.00
-0.01,1.00,40.00,-0.27,0.00,0.10,0.00,0.43,8.00,3.18,0.25,11.00,2.75,0.25,12.00,2.77,0.00
0.00,1.00,53.41,0.00,0.00,0.10,0.00,0.50,10.00,4.61,0.25,11.59,2.90,0.18,10.01,1.67,0.00
