BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.49,0.50,57.68,-28.10,0.00,0.15,0.00,0.50,1.70,0.78,0.25,6.35,1.59,0.25,1.70,0.39,0.00
0.00,0.61,60.24,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,3.00,0.75,0.25,1.28,0.30,0.00
-0.75,0.61,57.40,-43.05,0.00,0.15,0.00,0.50,1.28,0.59,0.25,2.66,0.67,0.25,1.28,0.30,0.00
0.00,0.78,58.29,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
0.00,0.78,60.30,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
1.00,0.78,74.60,68.78,0.00,0.15,0.00,0.00,2.00,0.00,0.25,3.00,0.75,0.00,2.00,0.00,0.00
1.00,0.53,81.80,75.42,0.00,0.12,0.00,0.00,4.97,0.00,0.25,3.70,0.93,0.00,9.06,0.00,0.00
0.75,0.29,74.70,51.65,0.00,0.12,0.00,0.00,3.41,0.00,0.25,3.00,0.75,0.25,5.94,1.37,0.00
0.00,0.10,52.24,0.00,0.00,0.12,0.00,0.00,3.94,0.00,0.25,13.88,3.47,0.23,8.00,1.70,0.00
-0.19,0.10,38.23,-7.21,0.00,0.12,0.00,0.00,1.00,0.00,0.25,17.55,4.39,0.23,4.04,0.86,0.00
-0.75,0.14,32.98,-24.73,0.00,0.12,0.00,0.15,1.50,0.21,0.25,17.15,4.29,0.25,3.51,0.81,0.00
-0.75,0.32,26.57,-19.93,0.00,0.12,0.00,0.50,1.00,0.46,0.25,30.93,7.73,0.25,5.00,1.15,0.00
-0.75,0.49,25.86,-19.39,0.00,0.12,0.00,0.50,1.50,0.69,0.25,29.92,7.48,0.25,5.00,1.15,0.00
-0.75,0.66,27.95,-20.96,0.00,0.12,0.00,0.50,1.50,0.69,0.25,26.47,6.62,0.25,3.66,0.84,0.00
-0.75,0.83,31.08,-23.31,0.00,0.12,0.00,0.50,0.25,0.12,0.25,29.82,7.45,0.25,5.84,1.35,0.00
-0.01,1.00,53.52,-0.40,0.00,0.12,0.00,0.50,0.64,0.30,0.25,11.76,2.94,0.25,2.65,0.61,0.00
0.09,1.00,80.73,6.49,0.16,0.15,0.02,0.50,1.00,0.46,0.25,4.66,1.17,0.25,1.44,0.33,0.00
1.00,0.98,90.33,83.28,0.00,0.15,0.00,0.00,2.84,0.00,0.11,2.83,0.30,-0.00,2.94,-0.00,0.00
0.75,0.73,90.25,62.40,0.00,0.15,0.00,0.00,6.91,0.00,0.25,6.90,1.73,0.25,9.38,2.16,0.00
1.00,0.54,86.64,79.88,0.00,0.15,0.00,0.00,1.90,0.00,0.25,5.45,1.36,-0.00,2.00,-0.00,0.00
