BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.01,1.00,29.82,-0.20,0.00,0.15,0.00,0.43,0.75,0.30,0.25,27.40,6.85,0.25,5.99,1.38,0.00
-0.01,1.00,51.49,-0.35,0.00,0.15,0.00,0.43,0.50,0.20,0.25,13.96,3.49,0.25,5.00,1.15,0.00
0.00,1.00,75.19,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.25,5.05,1.26,0.18,1.21,0.20,0.00
0.00,1.00,89.97,0.00,0.00,0.15,0.00,0.43,2.93,1.16,0.25,5.05,1.26,0.25,7.65,1.76,0.00
0.00,0.99,87.34,0.00,0.00,0.15,0.00,0.50,1.90,0.88,0.25,5.05,1.26,0.17,2.00,0.32,0.00
0.00,0.99,85.99,0.00,0.00,0.15,0.00,0.42,2.91,1.14,0.25,5.06,1.27,0.25,7.63,1.76,0.00
0.00,0.98,82.11,0.00,0.00,0.15,0.00,0.50,1.90,0.88,0.25,2.36,0.59,0.17,2.00,0.31,0.00
0.00,0.98,75.45,0.00,0.00,0.15,0.00,0.42,4.49,1.74,0.25,2.93,0.73,0.25,6.49,1.50,0.00
0.00,0.97,69.92,0.00,0.00,0.15,0.00,0.50,1.90,0.88,0.25,2.70,0.67,0.16,2.00,0.30,0.00
0.00,0.97,67.54,0.00,0.00,0.15,0.00,0.42,1.00,0.38,0.25,1.40,0.35,0.25,2.00,0.46,0.00
-0.03,0.96,65.65,-1.94,0.00,0.15,0.00,0.41,1.00,0.38,0.25,4.38,1.09,0.25,2.53,0.58,0.00
-0.01,1.00,65.04,-0.44,0.00,0.15,0.00,0.43,2.44,0.97,0.25,3.78,0.95,0.25,3.97,0.92,0.00
