BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.12,0.50,118.47,13.42,0.07,0.13,0.01,0.50,5.09,2.35,0.25,4.35,1.09,0.25,7.32,1.69,0.00
0.00,0.43,113.12,0.00,0.04,0.12,0.00,0.50,2.80,1.29,0.25,5.21,1.30,0.25,6.01,1.39,0.00
0.00,0.43,112.91,0.00,0.04,0.12,0.00,0.50,0.50,0.23,0.25,4.59,1.15,0.25,6.20,1.43,0.00
0.00,0.43,108.43,0.00,0.03,0.12,0.00,0.50,0.13,0.06,0.25,5.54,1.39,0.25,1.13,0.26,0.00
0.00,0.42,107.37,0.00,0.09,0.12,0.01,0.50,0.13,0.06,0.25,5.60,1.40,0.00,0.15,0.00,0.00
0.00,0.43,110.42,0.00,0.04,0.12,0.00,0.50,0.13,0.06,0.25,7.38,1.84,0.25,5.00,1.15,0.00
0.25,0.43,126.38,29.13,0.00,0.12,0.00,0.50,9.53,4.39,0.25,9.00,2.25,0.25,9.53,2.20,0.00
0.37,0.30,122.23,41.94,0.00,0.12,0.00,0.38,9.80,3.42,0.25,13.11,3.28,0.25,12.00,2.77,0.00
0.00,0.11,100.36,0.00,0.00,0.12,0.00,0.00,7.19,0.00,0.25,17.50,4.38,0.25,25.00,5.76,0.00
0.00,0.11,79.28,0.00,0.00,0.12,0.00,0.00,10.00,0.00,0.25,14.00,3.50,0.25,18.69,4.27,0.00
0.00,0.11,65.00,0.00,0.00,0.12,0.00,0.00,0.50,0.00,0.25,9.00,2.25,0.25,8.00,1.82,0.00
0.00,0.11,57.42,0.00,0.00,0.12,0.00,0.00,1.48,0.00,0.25,12.00,3.00,0.24,3.16,0.71,0.00
-0.75,0.11,52.70,-39.53,0.00,0.12,0.00,0.00,0.25,0.00,0.25,12.00,3.00,0.24,3.00,0.67,0.00
-0.75,0.45,46.57,-34.93,0.00,0.12,0.00,0.50,0.25,0.12,0.25,19.15,4.79,0.25,3.00,0.69,0.00
-0.45,0.79,55.43,-25.22,0.00,0.12,0.00,0.50,0.79,0.36,0.25,25.11,6.28,0.25,9.00,2.07,0.00
-0.01,1.00,86.14,-0.65,0.00,0.12,0.00,0.50,1.16,0.54,0.25,34.53,8.63,0.25,9.93,2.29,0.00
0.00,1.00,139.30,0.00,0.25,0.13,0.03,0.50,2.29,1.06,0.25,6.34,1.58,0.25,2.29,0.53,0.00
0.25,0.99,153.97,35.49,0.00,0.13,0.00,0.50,10.00,4.61,0.25,6.27,1.57,0.25,10.00,2.30,0.00
0.25,0.87,148.47,34.22,0.00,0.13,0.00,0.50,5.35,2.47,0.25,6.27,1.57,0.25,5.35,1.23,0.00
0.25,0.74,146.86,33.85,0.00,0.13,0.00,0.50,3.00,1.38,0.25,7.99,2.00,0.25,3.00,0.69,0.00
0.14,0.61,145.00,18.60,0.11,0.13,0.01,0.50,3.59,1.66,0.25,10.06,2.52,0.25,3.59,0.83,0.00
0.25,0.53,145.00,33.42,0.00,0.13,0.00,0.50,3.59,1.66,0.25,8.40,2.10,0.25,3.59,0.83,0.00
0.00,0.41,142.17,0.00,0.02,0.12,0.00,0.50,2.80,1.29,0.25,6.42,1.60,0.25,2.80,0.65,0.00
0.00,0.40,131.84,0.00,0.02,0.12,0.00,0.50,0.85,0.39,0.25,9.00,2.25,0.25,0.85,0.20,0.00
0.00,0.40,129.17,0.00,0.02,0.13,0.00,0.50,2.80,1.29,0.25,5.00,1.25,0.25,4.36,1.00,0.00
0.00,0.39,123.00,0.00,0.00,0.12,0.00,0.50,1.14,0.53,0.25,8.08,2.02,0.00,1.15,0.00,0.00
0.00,0.40,121.65,0.00,0.00,0.12,0.00,0.50,1.14,0.53,0.25,4.33,1.08,0.00,1.14,0.00,0.00
0.00,0.41,117.81,0.00,0.00,0.12,0.00,0.50,1.14,0.53,0.25,4.00,1.00,0.00,1.15,0.00,0.00
0.00,0.42,118.52,0.00,0.00,0.12,0.00,0.50,1.15,0.53,0.25,4.35,1.09,0.00,1.16,0.00,0.00
0.00,0.43,129.95,0.00,0.04,0.12,0.00,0.50,4.32,1.99,0.25,5.49,1.37,0.25,4.33,1.00,0.00
0.25,0.43,148.83,34.30,0.00,0.12,0.00,0.50,9.99,4.61,0.25,5.57,1.39,0.25,11.99,2.76,0.00
0.37,0.30,143.57,49.26,0.00,0.11,0.00,0.38,4.98,1.73,0.25,9.00,2.25,0.25,11.98,2.76,0.00
0.00,0.11,121.34,0.00,0.00,0.11,0.00,0.00,4.98,0.00,0.25,14.32,3.58,0.25,9.25,2.13,0.00
0.00,0.11,108.76,0.00,0.00,0.11,0.00,0.04,0.50,0.02,0.25,9.00,2.25,0.21,1.83,0.35,0.00
-0.75,0.11,103.86,-77.89,0.00,0.11,0.00,0.00,0.50,0.00,0.25,8.00,2.00,0.25,2.98,0.69,0.00
-0.75,0.45,103.93,-77.95,0.00,0.12,0.00,0.50,0.90,0.41,0.25,8.00,2.00,0.25,2.23,0.51,0.00
0.00,0.80,104.59,0.00,0.00,0.12,0.00,0.50,0.50,0.23,0.25,9.00,2.25,0.25,2.92,0.67,0.00
-0.46,0.79,104.53,-47.66,0.00,0.12,0.00,0.50,0.50,0.23,0.25,8.98,2.25,0.25,2.74,0.63,0.00
-0.01,1.00,108.73,-0.82,0.00,0.13,0.00,0.50,0.50,0.23,0.25,14.50,3.62,0.25,5.00,1.15,0.00
-0.01,1.00,130.39,-0.98,0.00,0.12,0.00,0.50,2.80,1.29,0.25,15.01,3.75,0.25,8.54,1.97,0.00
0.00,1.00,158.24,0.00,0.25,0.13,0.03,0.50,0.89,0.41,0.25,12.59,3.15,0.25,0.89,0.20,0.00
0.25,0.99,172.60,39.78,0.00,0.12,0.00,0.50,7.71,3.55,0.25,6.85,1.71,0.25,13.16,3.03,0.00
0.00,0.87,164.41,0.00,0.25,0.13,0.03,0.50,5.00,2.30,0.25,6.92,1.73,0.25,5.00,1.15,0.00
0.00,0.86,161.09,0.00,0.25,0.13,0.03,0.50,2.98,1.38,0.25,10.00,2.50,0.25,2.98,0.69,0.00
0.00,0.85,160.66,0.00,0.25,0.12,0.03,0.50,2.77,1.28,0.25,7.99,2.00,0.25,2.77,0.64,0.00
0.00,0.85,156.50,0.00,0.24,0.13,0.03,0.50,12.38,5.71,0.25,7.99,2.00,0.25,12.38,2.85,0.00
0.00,0.84,144.77,0.00,0.00,0.12,0.00,0.50,6.64,3.06,0.25,8.00,2.00,0.25,6.64,1.53,0.00
-0.34,0.84,137.16,-46.89,0.00,0.13,0.00,0.50,10.00,4.61,0.25,5.60,1.40,0.25,13.07,3.01,0.00
0.00,0.99,151.18,0.00,0.00,0.12,0.00,0.50,2.47,1.14,0.25,4.34,1.08,0.25,4.41,1.02,0.00
0.00,0.99,144.86,0.00,0.00,0.12,0.00,0.50,2.34,1.08,0.25,6.48,1.62,0.25,2.35,0.54,0.00
0.00,0.99,144.34,0.00,0.00,0.12,0.00,0.50,1.77,0.82,0.25,4.34,1.08,0.25,1.78,0.41,0.00
0.00,0.98,142.79,0.00,0.00,0.12,0.00,0.50,0.25,0.12,0.25,4.35,1.09,0.00,0.26,0.00,0.00
0.00,0.99,145.80,0.00,0.00,0.12,0.00,0.50,1.11,0.51,0.25,4.35,1.09,0.00,1.12,0.00,0.00
0.00,1.00,161.00,0.00,0.00,0.12,0.00,0.50,0.50,0.23,0.25,7.99,2.00,0.25,7.05,1.62,0.00
0.75,1.00,189.38,130.95,0.00,0.13,0.00,0.00,10.00,0.00,0.25,5.60,1.40,0.25,10.47,2.41,0.00
0.52,0.62,189.91,90.57,0.00,0.13,0.00,0.23,12.81,2.75,0.25,12.00,3.00,0.25,12.81,2.95,0.00
0.00,0.36,156.18,0.00,0.00,0.13,0.00,0.50,8.21,3.78,0.25,9.50,2.38,0.25,9.02,2.08,0.00
0.00,0.36,148.42,0.00,0.00,0.12,0.00,0.49,3.55,1.61,0.25,8.00,2.00,0.25,4.36,1.00,0.00
0.00,0.35,138.77,0.00,0.00,0.13,0.00,0.49,0.83,0.37,0.25,8.00,2.00,0.25,5.90,1.36,0.00
0.00,0.35,135.62,0.00,0.00,0.12,0.00,0.48,0.25,0.11,0.25,10.85,2.71,0.25,4.37,1.01,0.00
-0.68,0.35,132.94,-90.13,0.00,0.12,0.00,0.47,0.25,0.11,0.25,12.00,3.00,0.25,3.98,0.92,0.00
-0.75,0.66,129.44,-97.08,0.00,0.12,0.00,0.00,0.13,0.00,0.25,12.00,3.00,0.25,7.54,1.74,0.00
-0.01,1.00,137.40,-1.04,0.00,0.12,0.00,0.50,0.25,0.12,0.25,12.44,3.11,0.25,5.00,1.15,0.00
-0.01,1.00,162.10,-1.22,0.00,0.13,0.00,0.50,10.09,4.65,0.25,12.94,3.23,0.25,10.90,2.51,0.00
0.00,1.00,196.66,0.00,0.25,0.13,0.03,0.50,0.40,0.18,0.25,12.94,3.23,0.25,0.40,0.09,0.00
0.25,0.99,207.21,47.76,0.00,0.13,0.00,0.50,6.82,3.15,0.25,11.90,2.97,0.25,8.20,1.89,0.00
0.25,0.87,202.84,46.75,0.00,0.12,0.00,0.50,3.94,1.82,0.25,7.99,2.00,0.25,3.94,0.91,0.00
0.00,0.74,199.95,0.00,0.19,0.13,0.02,0.50,2.74,1.26,0.25,10.00,2.50,0.25,2.74,0.63,0.00
0.00,0.73,199.63,0.00,0.19,0.13,0.02,0.50,7.71,3.55,0.25,11.72,2.93,0.25,7.71,1.78,0.00
0.00,0.73,191.39,0.00,0.18,0.13,0.02,0.50,11.60,5.35,0.25,9.00,2.25,0.25,11.60,2.67,0.00
0.00,0.72,180.25,0.00,0.00,0.12,0.00,0.50,4.46,2.06,0.25,9.00,2.25,0.25,5.37,1.24,0.00
-0.62,0.72,162.39,-100.71,0.00,0.12,0.00,0.50,9.15,4.22,0.25,5.00,1.25,0.25,14.89,3.43,0.00
0.00,1.00,198.76,0.00,0.00,0.12,0.00,0.50,2.80,1.29,0.25,4.00,1.00,0.25,5.38,1.24,0.00
0.00,1.00,196.14,0.00,0.00,0.12,0.00,0.50,0.50,0.23,0.25,8.40,2.10,0.25,4.34,1.00,0.00
-0.02,0.99,190.05,-4.30,0.00,0.12,0.00,0.50,0.50,0.23,0.25,4.35,1.09,0.25,3.72,0.86,0.00
0.00,1.00,196.33,0.00,0.00,0.12,0.00,0.50,3.00,1.38,0.25,4.34,1.08,0.25,5.38,1.24,0.00
0.00,1.00,198.58,0.00,0.00,0.11,0.00,0.50,0.50,0.23,0.25,4.36,1.09,0.11,2.81,0.29,0.00
0.00,1.00,210.68,0.00,0.00,0.12,0.00,0.50,2.80,1.29,0.25,7.99,2.00,0.25,4.35,1.00,0.00
0.75,1.00,243.21,168.17,0.00,0.12,0.00,0.00,2.19,0.00,0.25,9.00,2.25,0.25,7.68,1.77,0.00
0.25,0.62,248.18,57.20,0.00,0.12,0.00,0.50,10.02,4.62,0.25,13.81,3.45,0.25,16.09,3.71,0.00
0.00,0.49,225.12,0.00,0.07,0.13,0.01,0.50,7.00,3.23,0.25,15.93,3.98,0.25,9.00,2.07,0.00
0.00,0.49,211.78,0.00,0.00,0.13,0.00,0.50,4.35,2.01,0.25,9.05,2.26,0.25,9.00,2.07,0.00
0.00,0.48,198.94,0.00,0.00,0.13,0.00,0.50,5.04,2.33,0.25,9.00,2.25,0.25,6.60,1.52,0.00
