BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.50,118.47,0.00,0.00,0.13,0.00,0.18,5.09,0.85,0.25,4.35,1.09,0.25,7.32,1.69,0.00
0.00,0.49,113.12,0.00,0.00,0.12,0.00,0.18,2.80,0.46,0.25,5.21,1.30,0.25,6.01,1.39,0.00
0.00,0.49,112.91,0.00,0.00,0.12,0.00,0.17,0.50,0.08,0.25,4.59,1.15,0.25,6.20,1.43,0.00
0.00,0.48,108.43,0.00,0.00,0.12,0.00,0.00,0.13,0.00,0.25,5.54,1.39,0.00,1.13,0.00,0.00
-0.18,0.52,107.37,-19.82,0.00,0.12,0.00,0.00,0.13,0.00,0.25,5.60,1.40,0.00,0.15,0.00,0.00
0.00,0.91,110.42,0.00,0.00,0.12,0.00,0.00,0.13,0.00,0.25,7.38,1.84,0.25,5.00,1.15,0.00
0.00,0.91,126.38,0.00,0.00,0.12,0.00,0.38,9.53,3.37,0.25,9.00,2.25,0.25,9.53,2.20,0.00
0.37,0.89,122.23,41.94,0.00,0.12,0.00,0.38,9.80,3.42,0.25,13.11,3.28,0.25,12.00,2.77,0.00
0.00,0.14,100.36,0.00,0.00,0.12,0.00,0.00,7.19,0.00,0.25,17.50,4.38,0.25,25.00,5.76,0.00
0.00,0.14,79.28,0.00,0.00,0.12,0.00,0.00,10.00,0.00,0.25,14.00,3.50,0.25,18.69,4.27,0.00
0.00,0.13,65.00,0.00,0.00,0.12,0.00,0.00,0.50,0.00,0.25,9.00,2.25,0.25,8.00,1.82,0.00
0.00,0.13,57.42,0.00,0.00,0.12,0.00,0.00,1.48,0.00,0.25,12.00,3.00,0.24,3.16,0.71,0.00
0.00,0.13,52.70,0.00,0.00,0.12,0.00,0.00,0.25,0.00,0.25,12.00,3.00,0.24,3.00,0.67,0.00
-0.48,0.12,46.57,-22.21,0.00,0.12,0.00,0.00,0.25,0.00,0.25,19.15,4.79,0.24,3.00,0.67,0.00
-0.01,1.00,55.43,-0.38,0.00,0.12,0.00,0.43,0.79,0.31,0.25,25.11,6.28,0.25,9.00,2.07,0.00
