BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.50,57.68,0.00,0.00,0.15,0.00,0.50,1.70,0.78,0.25,6.35,1.59,0.25,1.70,0.39,0.00
0.00,0.50,60.24,0.00,0.07,0.15,0.01,0.50,1.28,0.59,0.25,3.00,0.75,0.25,1.28,0.30,0.00
-0.42,0.49,57.40,-24.22,0.00,0.15,0.00,0.50,1.28,0.59,0.25,2.66,0.67,0.25,1.28,0.30,0.00
0.00,0.68,58.29,0.00,0.00,0.15,0.00,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
0.00,0.68,60.30,0.00,0.16,0.15,0.02,0.50,1.28,0.59,0.25,1.44,0.36,0.25,1.28,0.30,0.00
0.00,0.67,74.60,0.00,0.16,0.15,0.02,0.50,2.00,0.92,0.25,3.00,0.75,0.25,2.00,0.46,0.00
0.75,0.67,81.80,56.56,0.00,0.12,0.00,0.00,4.97,0.00,0.25,3.70,0.93,0.25,9.06,2.09,0.00
0.38,0.29,74.70,26.30,0.00,0.12,0.00,0.37,3.41,1.16,0.25,3.00,0.75,0.25,5.94,1.37,0.00
0.00,0.10,52.24,0.00,0.00,0.12,0.00,0.00,3.94,0.00,0.25,13.88,3.47,0.23,8.00,1.70,0.00
0.00,0.10,38.23,0.00,0.00,0.12,0.00,0.00,1.00,0.00,0.25,17.55,4.39,0.23,4.04,0.86,0.00
0.00,0.10,32.98,0.00,0.00,0.12,0.00,0.00,1.50,0.00,0.25,17.15,4.29,0.23,3.51,0.75,0.00
-0.75,0.10,26.57,-19.93,0.00,0.12,0.00,0.00,1.00,0.00,0.25,30.93,7.73,0.23,5.00,1.06,0.00
-0.75,0.45,25.86,-19.39,0.00,0.12,0.00,0.50,1.50,0.69,0.25,29.92,7.48,0.25,5.00,1.15,0.00
-0.47,0.79,27.95,-13.20,0.21,0.12,0.02,0.50,1.50,0.69,0.25,26.47,6.62,0.25,3.66,0.84,0.00
-0.01,1.00,31.08,-0.40,0.25,0.12,0.03,0.50,0.25,0.12,0.25,29.82,7.45,0.25,5.84,1.35,0.00
