BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.36,55.31,0.00,0.00,0.81,0.00,0.05,4.87,0.24,0.50,0.81,0.37,0.05,0.81,0.04,0.00
0.00,0.36,54.66,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.53,0.02,0.00
0.00,0.35,48.36,0.00,0.00,0.35,0.00,0.05,5.26,0.26,0.50,0.35,0.16,0.05,1.50,0.07,0.00
0.00,0.35,47.09,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.50,0.35,0.16,0.05,2.81,0.13,0.00
0.00,0.35,49.40,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.49,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.35,49.24,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.49,0.35,0.16,0.05,0.56,0.03,0.00
0.00,0.34,45.94,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.48,0.35,0.16,0.05,0.59,0.03,0.00
0.00,0.34,44.84,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.48,0.35,0.15,0.05,0.56,0.03,0.00
0.00,0.34,44.39,0.00,0.00,0.35,0.00,0.05,4.44,0.22,0.48,0.35,0.15,0.05,0.35,0.02,0.00
0.00,0.34,49.32,0.00,0.00,0.35,0.00,0.05,4.89,0.24,0.47,0.35,0.15,0.05,0.35,0.02,0.00
0.00,0.33,52.75,0.00,0.00,0.35,0.00,0.05,4.99,0.25,0.47,0.35,0.15,0.05,0.35,0.02,0.00
0.46,0.33,52.60,22.04,0.00,0.35,0.00,0.05,7.99,0.40,0.46,0.45,0.19,0.05,2.07,0.10,0.00
0.00,0.10,46.89,0.00,0.00,0.35,0.00,0.05,4.62,0.23,0.00,0.45,0.00,0.05,2.07,0.10,0.00
0.00,0.10,38.47,0.00,0.00,0.35,0.00,0.05,4.49,0.22,0.00,0.35,0.00,0.05,1.50,0.07,0.00
-0.00,0.10,36.12,-0.00,0.00,0.35,0.00,0.05,4.60,0.23,0.00,0.35,0.00,0.05,1.00,0.05,0.00
0.00,0.10,34.71,0.00,0.00,0.35,0.00,0.05,4.62,0.23,0.00,0.35,0.00,0.05,1.13,0.05,0.00
-0.95,0.10,28.65,-27.14,0.00,0.14,0.00,0.05,5.00,0.25,0.00,0.14,0.00,0.05,0.67,0.03,0.00
-0.95,0.54,27.04,-25.62,0.09,0.30,0.03,0.05,5.00,0.25,0.50,0.30,0.14,0.05,0.69,0.03,0.00
-0.07,0.97,31.06,-2.21,0.31,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.83,0.04,0.00
-0.01,1.00,40.09,-0.50,0.32,0.35,0.10,0.05,4.53,0.23,0.50,0.35,0.16,0.05,1.65,0.08,0.00
0.00,1.00,54.72,0.00,0.32,0.35,0.10,0.05,5.00,0.25,0.50,1.00,0.46,0.05,2.74,0.13,0.00
0.45,0.99,56.92,23.55,0.00,0.76,0.00,0.05,7.00,0.35,0.50,1.00,0.46,0.05,2.47,0.11,0.00
