BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.14,0.97,75.87,9.96,0.31,0.96,0.27,0.05,6.11,0.30,0.50,0.96,0.44,0.05,0.96,0.04,0.00
0.18,0.89,75.90,12.65,0.27,1.00,0.25,0.05,7.99,0.40,0.50,1.00,0.46,0.05,1.00,0.05,0.00
0.23,0.79,75.73,15.95,0.22,0.60,0.12,0.05,7.17,0.36,0.50,0.60,0.28,0.05,0.60,0.03,0.00
0.29,0.67,75.46,20.04,0.16,0.63,0.09,0.05,7.42,0.37,0.50,1.00,0.46,0.05,1.00,0.05,0.00
0.36,0.52,75.09,25.07,0.09,0.35,0.03,0.05,6.74,0.34,0.50,0.45,0.21,0.05,0.93,0.04,0.00
0.47,0.34,74.86,32.50,0.00,0.35,0.00,0.05,5.00,0.25,0.48,0.45,0.20,0.05,1.25,0.06,0.00
0.00,0.10,69.06,0.00,0.00,0.35,0.00,0.05,4.21,0.21,0.00,0.35,0.00,0.05,1.30,0.06,0.00
0.00,0.10,68.49,0.00,0.00,0.35,0.00,0.05,4.25,0.21,0.00,0.35,0.00,0.05,0.58,0.03,0.00
0.00,0.10,67.80,0.00,0.00,0.35,0.00,0.05,4.38,0.22,0.00,0.35,0.00,0.05,0.50,0.02,0.00
0.00,0.10,66.85,0.00,0.00,0.35,0.00,0.05,4.00,0.20,0.00,0.35,0.00,0.05,0.58,0.03,0.00
0.00,0.10,65.40,0.00,0.00,0.35,0.00,0.05,4.05,0.20,0.00,0.35,0.00,0.05,0.66,0.03,0.00
0.00,0.10,68.77,0.00,0.00,0.35,0.00,0.05,4.58,0.23,0.00,0.35,0.00,0.05,0.35,0.02,0.00
0.00,0.10,68.96,0.00,0.00,0.35,0.00,0.05,5.75,0.29,0.00,0.35,0.00,0.05,1.00,0.05,0.00
0.00,0.10,64.94,0.05,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.50,0.00,0.05,2.43,0.11,0.00
0.00,0.10,43.21,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.45,0.00,0.05,4.26,0.18,0.00
0.00,0.10,32.75,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,1.00,0.00,0.05,1.50,0.06,0.00
0.00,0.10,23.09,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.00,0.04,0.00
0.00,0.10,22.21,0.00,0.00,0.35,0.00,0.05,5.00,0.25,0.00,0.35,0.00,0.05,1.02,0.04,0.00
-0.96,0.10,10.17,-9.72,0.00,0.14,0.00,0.04,5.00,0.20,0.00,0.14,0.00,0.04,0.66,0.02,0.00
-1.00,0.54,8.29,-8.27,0.00,0.14,0.00,0.00,5.00,0.00,0.50,0.14,0.06,0.05,0.77,0.04,0.00
-0.01,1.00,18.66,-0.23,0.32,0.17,0.05,0.05,6.18,0.31,0.50,0.17,0.08,0.05,0.92,0.04,0.00
-0.01,1.00,41.47,-0.52,0.32,0.35,0.10,0.05,5.41,0.27,0.50,0.35,0.16,0.05,2.21,0.10,0.00
0.00,1.00,67.42,0.00,0.32,0.36,0.11,0.05,5.93,0.30,0.50,0.45,0.21,0.05,2.09,0.10,0.00
0.00,0.99,68.17,0.00,0.32,0.36,0.11,0.05,5.76,0.29,0.50,0.36,0.17,0.05,1.50,0.07,0.00
0.00,0.99,68.00,0.00,0.32,1.00,0.29,0.05,5.76,0.29,0.50,1.00,0.46,0.05,1.20,0.06,0.00
0.00,0.98,67.53,0.00,0.32,0.84,0.24,0.05,5.30,0.26,0.50,0.84,0.39,0.05,0.84,0.04,0.00
0.00,0.98,67.20,0.00,0.31,0.62,0.18,0.05,5.00,0.25,0.50,0.62,0.28,0.05,0.62,0.03,0.00
0.00,0.97,67.80,0.00,0.31,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.35,0.02,0.00
