BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.66,82.11,0.00,0.01,0.15,0.00,0.50,1.90,0.88,0.25,2.36,0.59,0.25,2.00,0.46,0.00
0.00,0.65,75.45,0.00,0.01,0.15,0.00,0.50,4.49,2.07,0.25,2.93,0.73,0.25,6.49,1.50,0.00
0.00,0.65,69.92,0.00,0.01,0.15,0.00,0.50,1.90,0.88,0.25,2.70,0.67,0.25,2.00,0.46,0.00
0.00,0.64,67.54,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.25,1.40,0.35,0.25,2.00,0.46,0.00
0.00,0.63,65.65,0.00,0.00,0.15,0.00,0.50,1.00,0.46,0.25,4.38,1.09,0.25,2.53,0.58,0.00
0.00,0.63,65.04,0.00,0.00,0.15,0.00,0.50,2.44,1.12,0.25,3.78,0.95,0.25,3.97,0.92,0.00
-0.01,0.62,64.68,-0.49,0.00,0.15,0.00,0.50,1.48,0.68,0.25,3.00,0.75,0.25,3.01,0.69,0.00
-0.42,0.62,64.12,-26.95,0.00,0.15,0.00,0.50,1.00,0.46,0.25,3.55,0.89,0.25,2.53,0.58,0.00
-0.01,1.00,66.18,-0.50,0.00,0.15,0.00,0.50,1.47,0.68,0.25,4.47,1.12,0.25,3.00,0.69,0.00
0.00,1.00,76.78,0.00,0.10,0.15,0.01,0.50,3.99,1.84,0.25,1.98,0.49,0.25,3.99,0.92,0.00
0.47,0.99,102.15,43.88,0.00,0.15,0.00,0.28,13.00,3.40,0.00,2.00,0.00,0.25,13.00,3.00,0.00
0.37,0.50,97.89,33.59,0.00,0.15,0.00,0.38,13.10,4.56,0.25,6.09,1.52,0.25,17.36,4.00,0.00
0.00,0.12,73.09,0.00,0.00,0.15,0.00,0.00,4.00,0.00,0.25,6.09,1.52,0.25,5.97,1.38,0.00
0.00,0.12,59.01,0.00,0.00,0.15,0.00,0.00,6.00,0.00,0.25,6.00,1.50,0.25,7.97,1.82,0.00
-0.01,0.12,48.59,-0.28,0.00,0.15,0.00,0.00,2.95,0.00,0.25,9.07,2.27,0.25,6.99,1.59,0.00
-0.22,0.12,47.47,-10.23,0.00,0.15,0.00,0.00,1.00,0.00,0.25,20.13,5.03,0.25,5.00,1.15,0.00
0.00,0.32,47.04,0.00,0.00,0.15,0.00,0.20,1.00,0.18,0.25,12.63,3.16,0.25,5.00,1.15,0.00
-0.75,0.31,45.51,-34.13,0.00,0.15,0.00,0.19,1.00,0.18,0.25,9.85,2.46,0.25,4.61,1.06,0.00
-0.01,1.00,47.96,-0.36,0.00,0.15,0.00,0.50,1.68,0.78,0.25,12.53,3.13,0.25,5.70,1.31,0.00
-0.01,1.00,59.41,-0.45,0.00,0.15,0.00,0.50,1.42,0.65,0.25,14.87,3.72,0.25,2.80,0.65,0.00
0.00,1.00,88.84,0.00,0.10,0.15,0.01,0.50,12.00,5.53,0.25,11.97,2.99,0.25,12.00,2.77,0.00
0.25,0.99,118.39,27.29,0.00,0.15,0.00,0.50,40.71,18.77,0.25,11.97,2.99,0.25,40.91,9.43,0.00
0.11,0.73,106.01,10.47,0.03,0.15,0.00,0.50,29.17,13.45,0.25,10.00,2.50,0.25,29.17,6.72,0.00
0.11,0.62,96.58,10.08,0.00,0.15,0.00,0.50,13.26,6.11,0.25,6.48,1.62,0.25,13.46,3.10,0.00
0.37,0.50,87.57,29.88,0.00,0.15,0.00,0.38,9.00,3.15,0.25,3.61,0.90,0.25,10.90,2.51,0.00
0.00,0.12,77.02,0.00,0.00,0.15,0.00,0.00,2.89,0.01,0.25,3.60,0.90,0.25,2.89,0.67,0.00
0.00,0.12,73.82,0.00,0.00,0.15,0.00,0.00,4.00,0.01,0.25,5.99,1.50,0.25,4.71,1.09,0.00
0.00,0.12,66.46,0.00,0.00,0.15,0.00,0.00,2.10,0.00,0.25,3.00,0.75,0.25,6.12,1.41,0.00
-0.25,0.12,53.85,-13.51,0.00,0.15,0.00,0.25,3.00,0.69,0.25,5.00,1.25,0.00,3.02,0.00,0.00
-0.25,0.37,51.57,-12.97,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.00,3.00,0.00,0.00
-0.01,0.62,51.07,-0.39,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.37,1.34,0.25,3.00,0.69,0.00
-0.42,0.62,50.49,-21.22,0.00,0.15,0.00,0.50,1.50,0.69,0.25,5.00,1.25,0.25,2.60,0.60,0.00
-0.01,1.00,51.31,-0.39,0.00,0.15,0.00,0.50,1.50,0.69,0.25,5.00,1.25,0.25,2.26,0.52,0.00
0.00,1.00,59.33,0.00,0.10,0.15,0.01,0.50,4.00,1.84,0.25,5.00,1.25,0.25,4.00,0.92,0.00
0.46,0.99,82.71,35.45,0.00,0.15,0.00,0.29,10.32,2.71,0.00,3.00,0.00,0.25,10.32,2.38,0.00
0.37,0.50,78.40,26.83,0.00,0.15,0.00,0.38,13.00,4.54,0.25,6.63,1.66,0.25,16.89,3.89,0.00
0.00,0.12,58.36,0.00,0.00,0.15,0.00,0.00,4.00,0.01,0.25,4.46,1.12,0.25,6.40,1.48,0.00
0.00,0.12,48.77,0.00,0.00,0.15,0.00,0.00,2.91,0.00,0.25,4.99,1.25,0.25,6.06,1.40,0.00
0.00,0.12,40.11,0.00,0.00,0.15,0.00,0.00,1.50,0.00,0.25,6.00,1.50,0.25,8.01,1.83,0.00
-0.55,0.12,34.53,-18.92,0.00,0.15,0.00,0.00,1.24,0.00,0.25,8.07,2.02,0.25,3.00,0.68,0.00
-0.42,0.62,33.88,-14.24,0.00,0.15,0.00,0.50,1.15,0.53,0.25,6.00,1.50,0.25,2.90,0.67,0.00
-0.01,1.00,35.34,-0.34,0.10,0.15,0.01,0.50,1.17,0.54,0.25,6.00,1.50,0.25,2.93,0.68,0.00
-0.01,1.00,40.06,-0.38,0.10,0.15,0.01,0.50,1.00,0.46,0.25,10.99,2.75,0.25,4.48,1.03,0.00
-0.01,1.00,56.46,-0.43,0.00,0.15,0.00,0.50,4.10,1.89,0.25,5.71,1.43,0.25,5.86,1.35,0.00
0.00,1.00,78.70,0.00,0.10,0.15,0.01,0.50,12.00,5.53,0.25,4.16,1.04,0.25,12.00,2.77,0.00
0.25,0.99,92.40,21.30,0.00,0.15,0.00,0.50,22.02,10.15,0.25,10.00,2.50,0.25,22.27,5.13,0.00
0.10,0.73,86.46,7.99,0.03,0.20,0.01,0.50,16.86,7.77,0.25,3.07,0.77,0.25,16.86,3.89,0.00
0.00,0.63,80.07,0.00,0.00,0.20,0.00,0.50,10.00,4.61,0.25,5.23,1.31,0.25,10.24,2.36,0.00
