BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.00,0.50,277.35,0.00,0.00
0.00,0.50,274.50,0.00,0.00
0.00,0.50,256.49,0.00,0.00
0.00,0.50,238.18,0.00,0.00
0.00,0.50,238.45,0.00,0.00
0.00,0.50,264.60,0.00,0.00
0.00,0.50,268.17,0.00,0.00
1.00,0.50,325.68,300.26,0.00
0.60,0.25,292.17,161.62,0.00
-0.00,0.10,158.96,0.00,0.00
-0.90,0.10,-80.00,72.38,0.00
-1.00,0.31,-80.00,80.00,0.00
-1.00,0.54,-80.00,80.00,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,74.25,0.00,0.00
0.00,1.00,378.47,0.00,0.00
1.00,1.00,569.28,524.85,0.00
1.00,0.75,817.05,753.29,0.00
1.00,0.50,613.00,565.16,0.00
0.60,0.25,502.75,278.11,0.00
0.00,0.10,483.37,0.00,0.00
0.00,0.10,413.27,0.00,0.00
0.00,0.10,298.59,0.00,0.00
-0.00,0.10,265.45,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-0.90,0.56,-80.00,72.38,0.00
0.00,0.77,-80.00,-0.00,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,76.75,0.00,0.00
0.00,1.00,232.75,0.00,0.00
1.00,1.00,376.07,346.72,0.00
1.00,0.75,442.53,407.99,0.00
0.77,0.50,335.73,237.05,0.00
-1.00,0.31,213.21,-213.21,0.00
-1.00,0.54,215.85,-215.85,0.00
-1.00,0.77,197.78,-197.78,0.00
0.00,1.00,298.65,0.00,0.00
0.00,1.00,389.86,0.00,0.00
0.00,1.00,583.45,0.00,0.00
1.00,1.00,890.41,820.92,0.00
1.00,0.75,1034.90,954.13,0.00
1.00,0.50,881.50,812.70,0.00
0.60,0.25,725.14,401.13,0.00
0.00,0.10,698.14,0.00,0.00
0.00,0.10,597.77,0.00,0.00
-0.00,0.10,496.18,0.00,0.00
0.00,0.10,485.93,0.00,0.00
0.00,0.10,235.21,0.00,0.00
-0.90,0.10,182.53,-165.14,0.00
-1.00,0.31,150.56,-150.56,0.00
-1.00,0.54,139.97,-139.97,0.00
-1.00,0.77,154.04,-154.04,0.00
0.00,1.00,205.92,0.00,0.00
0.00,1.00,333.95,0.00,0.00
1.00,1.00,467.70,431.20,0.00
1.00,0.75,502.46,463.25,0.00
1.00,0.50,386.77,356.58,0.00
-0.25,0.25,253.90,-64.48,0.00
-1.00,0.31,227.97,-227.97,0.00
-1.00,0.54,158.96,-158.96,0.00
-1.00,0.77,233.41,-233.41,0.00
0.00,1.00,326.96,0.00,0.00
0.00,1.00,525.11,0.00,0.00
1.00,1.00,815.87,752.19,0.00
1.00,0.75,1022.29,942.51,0.00
1.00,0.50,812.10,748.72,0.00
0.00,0.25,689.30,0.00,0.00
0.60,0.25,734.68,406.40,0.00
-0.00,0.10,620.39,0.00,0.00
-0.00,0.10,504.56,0.00,0.00
-0.00,0.10,501.21,0.00,0.00
0.00,0.10,317.91,0.00,0.00
0.00,0.10,311.93,0.00,0.00
-0.17,0.10,299.04,-50.63,0.00
-1.00,0.14,284.10,-284.10,0.00
-1.00,0.37,285.65,-285.65,0.00
0.00,0.60,313.46,0.00,0.00
0.00,0.60,329.51,0.00,0.00
0.00,0.60,350.14,0.00,0.00
0.00,0.60,368.12,0.00,0.00
0.00,0.60,335.00,0.00,0.00
0.00,0.60,324.75,0.00,0.00
0.00,0.60,327.51,0.00,0.00
0.00,0.60,319.71,0.00,0.00
0.00,0.60,329.32,0.00,0.00
0.00,0.60,339.41,0.00,0.00
0.00,0.60,386.83,0.00,0.00
1.00,0.60,458.61,422.82,0.00
1.00,0.35,510.61,470.76,0.00
0.00,0.10,398.30,0.00,0.00
0.00,0.10,361.34,0.00,0.00
0.00,0.10,360.47,0.00,0.00
0.00,0.10,342.50,0.00,0.00
0.00,0.10,328.22,0.00,0.00
0.00,0.10,328.99,0.00,0.00
0.00,0.10,339.66,0.00,0.00
-0.90,0.10,263.10,-238.03,0.00
-1.00,0.31,237.84,-237.84,0.00
-1.00,0.54,222.86,-222.86,0.00
-1.00,0.77,239.22,-239.22,0.00
0.00,1.00,315.50,0.00,0.00
-0.00,1.00,408.81,0.00,0.00
-0.00,1.00,511.04,0.00,0.00
0.92,1.00,605.43,514.61,0.00
0.00,0.77,581.87,0.00,0.00
0.00,0.77,539.20,0.00,0.00
0.00,0.77,528.44,0.00,0.00
-1.00,0.77,453.00,-453.00,0.00
0.00,1.00,539.92,0.00,0.00
0.00,1.00,563.78,0.00,0.00
0.60,1.00,651.26,360.26,0.00
1.00,0.85,842.66,776.89,0.00
1.00,0.60,1155.10,1064.95,0.00
1.00,0.35,762.80,703.27,0.00
0.00,0.10,623.17,0.00,0.00
0.00,0.10,625.91,0.00,0.00
0.00,0.10,547.25,0.00,0.00
0.00,0.10,445.65,0.00,0.00
0.00,0.10,486.57,0.00,0.00
0.00,0.10,395.00,0.00,0.00
-0.90,0.10,327.69,-296.48,0.00
