BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.00,0.50,393.79,0.00,0.00
0.00,0.50,383.99,0.00,0.00
0.00,0.50,360.27,0.00,0.00
0.00,0.50,353.11,0.00,0.00
0.00,0.50,354.17,0.00,0.00
0.00,0.50,353.57,0.00,0.00
0.00,0.50,351.00,0.00,0.00
0.00,0.50,378.35,0.00,0.00
0.80,0.50,411.04,303.17,0.00
0.00,0.10,345.41,0.00,0.00
0.00,0.10,289.79,0.00,0.00
0.00,0.10,299.74,0.00,0.00
-1.00,0.10,199.31,-199.31,0.00
-0.95,0.56,246.69,-234.95,0.00
0.00,1.00,269.98,0.00,0.00
-0.00,1.00,389.51,0.00,0.00
0.80,1.00,479.74,353.84,0.00
1.00,0.60,513.89,473.78,0.00
0.00,0.10,458.57,0.00,0.00
0.00,0.10,464.10,0.00,0.00
0.00,0.10,474.62,0.00,0.00
0.00,0.10,406.91,0.00,0.00
0.00,0.10,377.81,0.00,0.00
0.00,0.10,399.00,0.00,0.00
0.00,0.10,446.74,0.00,0.00
0.00,0.10,427.40,0.00,0.00
0.00,0.10,413.08,0.00,0.00
0.00,0.10,409.93,0.00,0.00
0.00,0.10,413.94,0.00,0.00
0.00,0.10,417.31,0.00,0.00
0.00,0.10,412.33,0.00,0.00
0.00,0.10,440.50,0.00,0.00
-0.00,0.10,479.52,0.00,0.00
0.00,0.10,411.05,0.00,0.00
0.00,0.10,363.38,0.00,0.00
0.00,0.10,333.56,0.00,0.00
-1.00,0.10,244.25,-244.25,0.00
-0.95,0.56,303.55,-289.09,0.00
0.00,1.00,328.05,0.00,0.00
-0.00,1.00,441.71,0.00,0.00
-0.00,1.00,520.45,0.00,0.00
1.00,1.00,552.17,509.07,0.00
0.00,0.50,509.68,0.00,0.00
0.00,0.50,499.68,0.00,0.00
0.00,0.50,499.29,0.00,0.00
0.00,0.50,442.94,0.00,0.00
0.00,0.50,418.60,0.00,0.00
0.00,0.50,423.58,0.00,0.00
0.00,0.50,436.69,0.00,0.00
0.00,0.50,420.23,0.00,0.00
0.00,0.50,408.11,0.00,0.00
-0.22,0.50,403.17,-87.46,0.00
0.00,0.60,410.62,0.00,0.00
0.00,0.60,417.75,0.00,0.00
0.00,0.60,425.69,0.00,0.00
0.00,0.60,506.85,0.00,0.00
1.00,0.60,583.60,538.05,0.00
0.00,0.10,469.00,0.00,0.00
0.00,0.10,418.05,0.00,0.00
0.00,0.10,382.04,0.00,0.00
-1.00,0.10,291.25,-291.25,0.00
-0.95,0.56,371.01,-353.35,0.00
0.00,1.00,372.92,0.00,0.00
0.00,1.00,459.70,0.00,0.00
0.80,1.00,521.02,384.29,0.00
1.00,0.60,557.28,513.78,0.00
0.00,0.10,506.59,0.00,0.00
0.00,0.10,479.00,0.00,0.00
0.00,0.10,470.54,0.00,0.00
0.00,0.10,412.92,0.00,0.00
-1.00,0.10,382.08,-382.08,0.00
-0.95,0.56,385.98,-367.60,0.00
0.00,1.00,414.50,0.00,0.00
0.00,1.00,408.71,0.00,0.00
0.00,1.00,404.61,0.00,0.00
0.00,1.00,403.43,0.00,0.00
0.00,1.00,408.25,0.00,0.00
0.00,1.00,413.59,0.00,0.00
0.00,1.00,420.54,0.00,0.00
0.00,1.00,467.55,0.00,0.00
1.00,1.00,586.95,541.14,0.00
0.00,0.50,525.35,0.00,0.00
0.00,0.50,481.33,0.00,0.00
0.00,0.50,462.00,0.00,0.00
-1.00,0.50,438.54,-438.54,0.00
0.00,0.96,447.47,0.00,0.00
0.00,0.96,448.29,0.00,0.00
0.00,0.96,508.03,0.00,0.00
0.72,0.96,579.58,385.77,0.00
1.00,0.60,597.91,551.25,0.00
-0.00,0.10,527.81,0.00,0.00
0.00,0.10,514.50,0.00,0.00
