BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
-0.00,0.10,577.21,0.00,0.00
0.00,0.10,457.00,0.00,0.00
0.00,0.10,399.19,0.00,0.00
-0.49,0.10,332.60,-162.34,0.00
0.00,1.00,396.88,0.00,0.00
0.00,1.00,443.63,0.00,0.00
-0.00,1.00,540.29,0.00,0.00
-0.00,1.00,638.50,0.00,0.00
0.45,1.00,948.05,393.33,0.00
-0.00,0.10,592.84,0.00,0.00
-0.00,0.10,505.29,0.00,0.00
-0.00,0.10,468.15,0.00,0.00
-0.00,0.10,410.50,0.00,0.00
-0.00,0.10,363.00,0.00,0.00
0.00,0.10,343.85,0.00,0.00
0.00,0.10,286.85,0.00,0.00
0.00,0.10,228.10,0.00,0.00
0.00,0.10,195.22,0.00,0.00
-0.49,0.10,181.16,-88.42,0.00
0.00,1.00,185.82,0.00,0.00
0.00,1.00,241.11,0.00,0.00
0.00,1.00,339.27,0.00,0.00
-0.00,1.00,476.44,0.00,0.00
0.45,1.00,579.92,240.60,0.00
0.00,0.10,514.64,0.00,0.00
0.00,0.10,436.89,0.00,0.00
0.00,0.10,387.16,0.00,0.00
-0.49,0.10,330.96,-161.54,0.00
0.00,1.00,408.66,0.00,0.00
0.00,1.00,475.01,0.00,0.00
-0.00,1.00,628.27,0.00,0.00
-0.00,1.00,749.99,0.00,0.00
0.45,1.00,1032.91,428.53,0.00
-0.00,0.10,715.24,0.00,0.00
-0.00,0.10,628.67,0.00,0.00
-0.00,0.10,610.76,0.00,0.00
-0.00,0.10,536.64,0.00,0.00
-0.00,0.10,434.25,0.00,0.00
-0.00,0.10,428.20,0.00,0.00
0.00,0.10,366.95,0.00,0.00
0.00,0.10,325.88,0.00,0.00
0.00,0.10,279.11,0.00,0.00
-0.49,0.10,230.25,-112.38,0.00
0.00,1.00,242.69,0.00,0.00
0.00,1.00,324.71,0.00,0.00
0.00,1.00,365.15,0.00,0.00
-0.00,1.00,477.40,0.00,0.00
0.45,1.00,549.39,227.93,0.00
-0.00,0.10,446.31,0.00,0.00
0.00,0.10,333.05,0.00,0.00
0.00,0.10,279.94,0.00,0.00
-0.49,0.10,188.96,-92.23,0.00
0.00,1.00,308.25,0.00,0.00
0.00,1.00,373.93,0.00,0.00
-0.00,1.00,536.47,0.00,0.00
-0.00,1.00,676.25,0.00,0.00
0.45,1.00,770.47,319.65,0.00
-0.00,0.10,657.75,0.00,0.00
-0.00,0.10,584.57,0.00,0.00
-0.00,0.10,579.50,0.00,0.00
-0.00,0.10,518.32,0.00,0.00
0.00,0.10,440.46,0.00,0.00
-0.00,0.10,446.72,0.00,0.00
0.00,0.10,268.07,0.00,0.00
0.00,0.10,242.99,0.00,0.00
0.00,0.10,217.04,0.00,0.00
-0.49,0.10,199.92,-97.58,0.00
0.00,1.00,210.08,0.00,0.00
0.00,1.00,277.00,0.00,0.00
-0.00,1.00,417.72,0.00,0.00
-0.00,1.00,602.13,0.00,0.00
0.45,1.00,1242.12,515.33,0.00
-0.00,0.10,1157.13,0.00,0.00
-0.00,0.10,928.98,0.00,0.00
-0.00,0.10,780.43,0.00,0.00
0.00,0.10,492.81,0.00,0.00
0.00,0.10,500.40,0.00,0.00
0.00,0.10,457.81,0.00,0.00
0.00,0.10,473.80,0.00,0.00
0.00,0.10,496.81,0.00,0.00
-0.00,0.10,546.50,0.00,0.00
-0.00,0.10,441.64,0.00,0.00
-0.00,0.10,379.25,0.00,0.00
-0.00,0.10,373.00,0.00,0.00
0.00,0.10,305.76,0.00,0.00
0.00,0.10,234.48,0.00,0.00
0.00,0.10,255.10,0.00,0.00
0.00,0.10,231.10,0.00,0.00
0.00,0.10,213.17,0.00,0.00
0.00,0.10,195.37,0.00,0.00
-0.49,0.10,184.50,-90.05,0.00
0.00,1.00,187.38,0.00,0.00
0.00,1.00,254.07,0.00,0.00
-0.00,1.00,386.27,0.00,0.00
-0.00,1.00,502.50,0.00,0.00
0.45,1.00,527.49,218.84,0.00
-0.00,0.10,351.24,0.00,0.00
0.00,0.10,216.32,0.00,0.00
0.00,0.10,195.12,0.00,0.00
-0.49,0.10,156.12,-76.20,0.00
0.00,1.00,226.06,0.00,0.00
0.00,1.00,311.14,0.00,0.00
0.00,1.00,496.83,0.00,0.00
-0.00,1.00,756.15,0.00,0.00
0.45,1.00,1097.35,455.27,0.00
-0.00,0.10,673.05,0.00,0.00
0.00,0.10,509.75,0.00,0.00
-0.00,0.10,519.36,0.00,0.00
0.00,0.10,441.46,0.00,0.00
0.00,0.10,361.45,0.00,0.00
0.00,0.10,343.71,0.00,0.00
0.00,0.10,300.94,0.00,0.00
0.00,0.10,295.38,0.00,0.00
0.00,0.10,278.50,0.00,0.00
-0.49,0.10,263.39,-128.56,0.00
0.00,1.00,276.52,0.00,0.00
0.00,1.00,301.43,0.00,0.00
0.00,1.00,322.69,0.00,0.00
0.00,1.00,385.87,0.00,0.00
0.45,1.00,472.45,196.01,0.00
0.00,0.10,385.50,0.00,0.00
0.00,0.10,310.83,0.00,0.00
0.00,0.10,300.05,0.00,0.00
0.00,0.10,275.00,0.00,0.00
0.00,0.10,298.69,0.00,0.00
0.00,0.10,317.35,0.00,0.00
0.00,0.10,379.50,0.00,0.00
0.00,0.10,422.47,0.00,0.00
