BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
1.00,0.50,439.12,404.84,0.00
0.00,0.25,279.70,0.00,0.00
-0.25,0.25,232.06,-58.93,0.00
-1.00,0.31,189.19,-189.19,0.00
-1.00,0.54,224.32,-224.32,0.00
-1.00,0.77,218.98,-218.98,0.00
1.00,1.00,442.07,407.57,0.00
1.00,0.75,596.12,549.60,0.00
1.00,0.50,599.40,552.62,0.00
0.60,0.25,356.25,197.07,0.00
0.00,0.10,250.75,0.00,0.00
-0.00,0.10,191.01,0.00,0.00
-0.00,0.10,121.33,0.00,0.00
-0.90,0.10,53.44,-48.35,0.00
0.00,0.31,66.75,0.00,0.00
0.00,0.31,54.36,0.00,0.00
-1.00,0.31,33.00,-33.00,0.00
-1.00,0.54,43.98,-43.98,0.00
-1.00,0.77,47.00,-47.00,0.00
0.00,1.00,58.50,0.00,0.00
0.00,1.00,71.27,0.00,0.00
0.00,1.00,104.82,0.00,0.00
1.00,1.00,291.25,268.52,0.00
1.00,0.75,457.00,421.33,0.00
1.00,0.50,345.73,318.74,0.00
-0.25,0.25,159.26,-40.45,0.00
-1.00,0.31,117.14,-117.14,0.00
-1.00,0.54,93.81,-93.81,0.00
-1.00,0.77,124.51,-124.51,0.00
0.00,1.00,161.00,0.00,0.00
0.60,1.00,432.50,239.25,0.00
1.00,0.85,622.00,573.46,0.00
1.00,0.60,776.20,715.62,0.00
1.00,0.35,460.50,424.56,0.00
-0.00,0.10,401.16,0.00,0.00
-0.00,0.10,364.60,0.00,0.00
0.00,0.10,158.92,0.00,0.00
-0.00,0.10,83.12,0.00,0.00
-0.00,0.10,75.05,0.00,0.00
0.00,0.10,15.50,0.00,0.00
-1.00,0.10,-33.50,33.50,0.00
-0.90,0.33,-32.50,29.40,0.00
-1.00,0.54,-40.62,40.62,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,18.50,0.00,0.00
0.00,1.00,46.25,0.00,0.00
1.00,1.00,136.94,126.25,0.00
1.00,0.75,364.35,335.92,0.00
0.00,0.50,121.00,0.00,0.00
0.00,0.50,104.12,0.00,0.00
0.00,0.50,94.12,0.00,0.00
-1.00,0.50,63.55,-63.56,0.00
-0.17,0.73,91.51,-15.49,0.00
-1.00,0.77,88.15,-88.15,0.00
-0.00,1.00,297.38,0.00,0.00
1.00,1.00,454.52,419.05,0.00
1.00,0.75,559.80,516.11,0.00
0.00,0.50,423.50,0.00,0.00
0.60,0.50,435.52,240.92,0.00
1.00,0.35,456.77,421.13,0.00
0.00,0.10,382.72,0.00,0.00
0.00,0.10,344.50,0.00,0.00
0.00,0.10,354.64,0.00,0.00
0.00,0.10,260.57,0.00,0.00
-1.00,0.10,192.81,-192.81,0.00
-1.00,0.33,177.17,-177.17,0.00
-1.00,0.56,182.14,-182.14,0.00
-0.90,0.79,258.68,-234.04,0.00
0.00,1.00,332.51,0.00,0.00
0.60,1.00,378.15,209.18,0.00
1.00,0.85,516.51,476.20,0.00
1.00,0.60,704.97,649.95,0.00
1.00,0.35,422.01,389.07,0.00
0.00,0.10,369.25,0.00,0.00
-1.00,0.10,284.89,-284.89,0.00
-1.00,0.33,172.79,-172.79,0.00
-1.00,0.56,274.19,-274.19,0.00
-0.90,0.79,305.24,-276.17,0.00
-0.00,1.00,471.39,0.00,0.00
1.00,1.00,639.70,589.77,0.00
1.00,0.75,810.38,747.13,0.00
1.00,0.50,563.32,519.36,0.00
0.60,0.25,476.50,263.59,0.00
0.00,0.10,450.32,0.00,0.00
0.00,0.10,365.22,0.00,0.00
0.00,0.10,300.01,0.00,0.00
0.00,0.10,249.23,0.00,0.00
0.00,0.10,228.24,0.00,0.00
0.00,0.10,231.42,0.00,0.00
-1.00,0.10,201.44,-201.44,0.00
-1.00,0.33,195.66,-195.66,0.00
-1.00,0.56,214.25,-214.25,0.00
-0.90,0.79,216.83,-196.18,0.00
0.00,1.00,290.54,0.00,0.00
1.00,1.00,493.80,455.26,0.00
1.00,0.75,727.95,671.14,0.00
1.00,0.50,446.70,411.83,0.00
0.60,0.25,356.52,197.22,0.00
-0.90,0.10,227.06,-205.44,0.00
-1.00,0.31,148.97,-148.97,0.00
-1.00,0.54,174.90,-174.90,0.00
-1.00,0.77,217.88,-217.88,0.00
0.60,1.00,417.15,230.76,0.00
1.00,0.85,473.71,436.74,0.00
1.00,0.60,579.24,534.03,0.00
1.00,0.35,438.17,403.97,0.00
0.00,0.10,391.45,0.00,0.00
0.00,0.10,381.00,0.00,0.00
0.00,0.10,237.64,0.00,0.00
-0.90,0.10,159.03,-143.88,0.00
0.00,0.31,160.01,0.00,0.00
-1.00,0.31,114.10,-114.10,0.00
-1.00,0.54,118.61,-118.61,0.00
-1.00,0.77,155.38,-155.38,0.00
0.00,1.00,169.10,0.00,0.00
0.00,1.00,199.38,0.00,0.00
0.00,1.00,193.90,0.00,0.00
0.00,1.00,194.63,0.00,0.00
-0.00,1.00,401.90,0.00,0.00
0.92,1.00,570.54,484.96,0.00
0.00,0.77,475.35,0.00,0.00
0.00,0.77,484.15,0.00,0.00
0.00,0.77,513.55,0.00,0.00
-1.00,0.77,448.00,-448.00,0.00
0.00,1.00,476.67,0.00,0.00
0.00,1.00,506.65,0.00,0.00
1.00,1.00,610.03,562.42,0.00
0.60,0.75,573.91,317.47,0.00
1.00,0.60,586.16,540.41,0.00
0.00,0.35,555.04,0.00,0.00
0.00,0.35,571.63,0.00,0.00
1.00,0.35,598.35,551.65,0.00
0.00,0.10,446.48,0.00,0.00
0.00,0.10,392.30,0.00,0.00
0.00,0.10,385.62,0.00,0.00
0.00,0.10,393.95,0.00,0.00
0.00,0.10,373.08,0.00,0.00
-0.90,0.10,343.13,-310.44,0.00
0.00,0.31,344.13,0.00,0.00
-1.00,0.31,313.06,-313.06,0.00
-1.00,0.54,243.40,-243.40,0.00
-1.00,0.77,299.15,-299.15,0.00
0.00,1.00,537.88,0.00,0.00
1.00,1.00,704.43,649.45,0.00
0.60,0.75,631.60,349.38,0.00
1.00,0.60,768.03,708.09,0.00
1.00,0.35,667.55,615.45,0.00
-0.00,0.10,558.29,0.00,0.00
-0.00,0.10,515.07,0.00,0.00
0.00,0.10,442.81,0.00,0.00
0.00,0.10,439.27,0.00,0.00
0.00,0.10,368.08,0.00,0.00
-0.00,0.10,362.63,0.00,0.00
-0.00,0.10,234.96,0.00,0.00
-0.00,0.10,86.88,0.00,0.00
-0.00,0.10,69.00,0.00,0.00
0.00,0.10,-23.25,-0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
0.00,0.33,-80.00,-0.00,0.00
0.00,0.33,-80.00,-0.00,0.00
0.00,0.33,-80.00,-0.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-0.90,0.56,-80.00,72.38,0.00
-1.00,0.77,-80.00,80.00,0.00
0.00,1.00,-80.00,-0.00,0.00
0.00,1.00,-80.00,-0.00,0.00
0.00,1.00,7.60,0.00,0.00
1.00,1.00,215.46,198.64,0.00
-1.00,0.75,138.30,-138.30,0.00
0.77,0.98,196.92,139.04,0.00
1.00,0.79,265.73,244.99,0.00
-1.00,0.54,152.25,-152.25,0.00
0.00,0.77,171.82,0.00,0.00
-1.00,0.77,118.60,-118.60,0.00
0.00,1.00,255.01,0.00,0.00
0.60,1.00,269.31,148.97,0.00
1.00,0.85,284.75,262.53,0.00
0.00,0.60,236.50,0.00,0.00
1.00,0.60,328.39,302.76,0.00
1.00,0.35,390.68,360.19,0.00
0.00,0.10,238.08,0.00,0.00
-0.00,0.10,128.98,0.00,0.00
0.00,0.10,87.38,0.00,0.00
-0.00,0.10,89.54,0.00,0.00
-1.00,0.10,42.25,-42.25,0.00
-0.90,0.33,48.50,-43.88,0.00
-1.00,0.54,35.75,-35.75,0.00
-1.00,0.77,43.50,-43.50,0.00
0.00,1.00,53.75,0.00,0.00
-0.00,1.00,108.36,0.00,0.00
1.00,1.00,336.21,309.97,0.00
1.00,0.75,390.26,359.81,0.00
1.00,0.50,346.10,319.09,0.00
-1.00,0.25,200.31,-200.31,0.00
0.69,0.48,258.55,163.96,0.00
-1.00,0.31,123.18,-123.18,0.00
-1.00,0.54,198.12,-198.12,0.00
-1.00,0.77,191.82,-191.82,0.00
-0.00,1.00,437.05,0.00,0.00
0.00,1.00,576.51,0.00,0.00
1.00,1.00,612.21,564.43,0.00
0.60,0.75,585.77,324.03,0.00
1.00,0.60,643.15,592.96,0.00
1.00,0.35,681.05,627.90,0.00
-0.00,0.10,516.61,0.00,0.00
0.00,0.10,449.43,0.00,0.00
0.00,0.10,389.02,0.00,0.00
0.00,0.10,375.31,0.00,0.00
-1.00,0.10,366.29,-366.29,0.00
-1.00,0.33,358.75,-358.75,0.00
-1.00,0.56,358.61,-358.61,0.00
-0.90,0.79,369.77,-334.55,0.00
0.00,1.00,389.75,0.00,0.00
0.00,1.00,421.35,0.00,0.00
1.00,1.00,476.82,439.61,0.00
1.00,0.75,522.52,481.74,0.00
0.00,0.50,426.38,0.00,0.00
-0.17,0.50,380.58,-64.43,0.00
-1.00,0.54,374.54,-374.54,0.00
-1.00,0.77,363.57,-363.57,0.00
0.00,1.00,382.50,0.00,0.00
0.00,1.00,388.44,0.00,0.00
-0.00,1.00,470.23,0.00,0.00
1.00,1.00,565.08,520.97,0.00
1.00,0.75,541.41,499.15,0.00
1.00,0.50,511.76,471.82,0.00
0.60,0.25,491.04,271.63,0.00
0.00,0.10,475.96,0.00,0.00
0.00,0.10,415.47,0.00,0.00
0.00,0.10,380.21,0.00,0.00
0.00,0.10,361.23,0.00,0.00
0.00,0.10,368.28,0.00,0.00
0.00,0.10,361.25,0.00,0.00
-1.00,0.10,357.75,-357.75,0.00
-1.00,0.33,359.47,-359.47,0.00
0.00,0.56,364.51,0.00,0.00
0.00,0.56,378.72,0.00,0.00
0.00,0.56,395.00,0.00,0.00
0.00,0.56,416.21,0.00,0.00
1.00,0.56,442.00,407.50,0.00
0.00,0.31,393.73,0.00,0.00
0.00,0.31,365.25,0.00,0.00
-0.99,0.31,360.44,-356.62,0.00
-1.00,0.54,350.33,-350.33,0.00
-1.00,0.77,354.29,-354.29,0.00
0.00,1.00,360.67,0.00,0.00
0.00,1.00,401.32,0.00,0.00
-0.00,1.00,489.45,0.00,0.00
1.00,1.00,571.70,527.08,0.00
0.60,0.75,563.95,311.96,0.00
1.00,0.60,567.09,522.83,0.00
1.00,0.35,569.62,525.17,0.00
0.00,0.10,497.38,0.00,0.00
0.00,0.10,443.65,0.00,0.00
-1.00,0.10,422.90,-422.90,0.00
-0.08,0.33,429.97,-36.40,0.00
0.00,0.35,430.25,0.00,0.00
0.00,0.35,431.22,0.00,0.00
0.00,0.35,442.00,0.00,0.00
0.00,0.35,447.81,0.00,0.00
0.00,0.35,456.62,0.00,0.00
0.00,0.35,503.75,0.00,0.00
1.00,0.35,538.26,496.25,0.00
0.00,0.10,497.00,0.00,0.00
0.00,0.10,405.17,0.00,0.00
-0.00,0.10,249.00,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-1.00,0.56,-80.00,80.00,0.00
-0.90,0.79,140.00,-126.66,0.00
-0.00,1.00,404.88,0.00,0.00
1.00,1.00,460.50,424.56,0.00
1.00,0.75,471.25,434.47,0.00
1.00,0.50,448.47,413.47,0.00
0.60,0.25,429.10,237.36,0.00
-0.00,0.10,416.90,0.00,0.00
-0.00,0.10,388.50,0.00,0.00
-0.00,0.10,361.42,0.00,0.00
-0.00,0.10,77.55,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-1.00,0.56,-80.00,80.00,0.00
-0.90,0.79,-80.00,72.38,0.00
-0.00,1.00,337.27,0.00,0.00
0.60,1.00,428.59,237.08,0.00
1.00,0.85,516.75,476.42,0.00
1.00,0.60,572.28,527.62,0.00
1.00,0.35,555.46,512.10,0.00
0.00,0.10,191.00,0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-1.00,0.56,-80.00,80.00,0.00
-0.90,0.79,-80.00,72.38,0.00
0.00,1.00,41.20,0.00,0.00
-0.00,1.00,521.00,0.00,0.00
1.00,1.00,594.42,548.03,0.00
1.00,0.75,572.61,527.92,0.00
1.00,0.50,550.04,507.12,0.00
0.60,0.25,527.88,292.01,0.00
0.00,0.10,435.62,0.00,0.00
0.00,0.10,230.02,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
0.00,0.56,-80.00,-0.00,0.00
0.00,0.56,-80.00,-0.00,0.00
-0.25,0.56,-80.00,20.32,0.00
-1.00,0.62,-80.00,80.00,0.00
0.00,0.85,-80.00,-0.00,0.00
1.00,0.85,242.50,223.57,0.00
1.00,0.60,446.70,411.84,0.00
1.00,0.35,466.46,430.05,0.00
0.00,0.10,-80.00,-0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-0.90,0.33,-80.00,72.38,0.00
0.00,0.54,-80.00,-0.00,0.00
-1.00,0.54,-80.00,80.00,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,179.50,0.00,0.00
0.00,1.00,674.84,0.00,0.00
0.60,1.00,850.52,470.49,0.00
1.00,0.85,867.27,799.58,0.00
1.00,0.60,862.47,795.16,0.00
1.00,0.35,861.91,794.64,0.00
0.00,0.10,695.51,0.00,0.00
-0.00,0.10,544.19,0.00,0.00
-1.00,0.10,268.00,-268.00,0.00
0.92,0.33,433.07,368.11,0.00
0.00,0.10,348.32,0.00,0.00
-0.25,0.10,50.30,-12.77,0.00
-1.00,0.16,-80.00,80.00,0.00
-1.00,0.39,-80.00,80.00,0.00
-1.00,0.62,-80.00,80.00,0.00
1.00,0.85,201.68,185.94,0.00
1.00,0.60,366.03,337.46,0.00
1.00,0.35,372.81,343.72,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
0.00,0.56,-80.00,-0.00,0.00
-0.90,0.56,-80.00,72.38,0.00
0.00,0.77,-80.00,-0.00,0.00
-1.00,0.77,-80.00,80.00,0.00
0.00,1.00,45.15,0.00,0.00
-0.00,1.00,493.00,0.00,0.00
0.60,1.00,696.10,385.06,0.00
0.00,0.85,696.03,0.00,0.00
0.00,0.85,678.84,0.00,0.00
0.00,0.85,684.53,0.00,0.00
1.00,0.85,751.37,692.73,0.00
1.00,0.60,773.25,712.91,0.00
1.00,0.35,699.95,645.32,0.00
0.00,0.10,393.43,0.00,0.00
-1.00,0.10,360.46,-360.46,0.00
-1.00,0.33,353.77,-353.77,0.00
-1.00,0.56,356.01,-356.01,0.00
0.00,0.79,367.79,0.00,0.00
0.00,0.79,416.71,0.00,0.00
1.00,0.79,465.00,428.71,0.00
1.00,0.54,459.78,423.89,0.00
0.77,0.29,446.16,315.03,0.00
0.00,0.10,381.24,0.00,0.00
0.00,0.10,340.65,0.00,0.00
-1.00,0.10,321.95,-321.95,0.00
-1.00,0.33,-33.80,33.80,0.00
-1.00,0.56,-59.30,59.30,0.00
-0.90,0.79,323.42,-292.62,0.00
0.00,1.00,343.06,0.00,0.00
0.00,1.00,409.23,0.00,0.00
1.00,1.00,488.08,449.99,0.00
0.60,0.75,486.63,269.19,0.00
1.00,0.60,487.04,449.03,0.00
1.00,0.35,490.75,452.45,0.00
0.00,0.10,460.55,0.00,0.00
0.00,0.10,406.45,0.00,0.00
-1.00,0.10,352.36,-352.36,0.00
0.92,0.33,462.50,393.13,0.00
0.00,0.10,453.75,0.00,0.00
0.00,0.10,417.60,0.00,0.00
0.00,0.10,400.07,0.00,0.00
0.00,0.10,382.50,0.00,0.00
0.00,0.10,378.78,0.00,0.00
0.00,0.10,403.91,0.00,0.00
0.00,0.10,402.56,0.00,0.00
-0.00,0.10,410.95,0.00,0.00
-0.00,0.10,249.94,0.00,0.00
0.00,0.10,-80.00,-0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
0.00,0.33,-80.00,-0.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-0.90,0.56,-80.00,72.38,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,256.77,0.00,0.00
-0.00,1.00,533.24,0.00,0.00
1.00,1.00,572.80,528.10,0.00
0.60,0.75,564.64,312.34,0.00
1.00,0.60,567.34,523.06,0.00
1.00,0.35,573.25,528.51,0.00
-0.00,0.10,531.25,0.00,0.00
0.00,0.10,412.99,0.00,0.00
0.00,0.10,393.48,0.00,0.00
0.00,0.10,379.11,0.00,0.00
-1.00,0.10,369.24,-369.24,0.00
-1.00,0.33,368.25,-368.25,0.00
-1.00,0.56,372.50,-372.50,0.00
-0.25,0.79,378.15,-96.04,0.00
0.00,0.85,392.83,0.00,0.00
0.00,0.85,427.23,0.00,0.00
1.00,0.85,471.88,435.06,0.00
0.00,0.60,444.29,0.00,0.00
0.00,0.60,429.42,0.00,0.00
0.00,0.60,424.69,0.00,0.00
0.00,0.60,404.08,0.00,0.00
0.00,0.60,412.00,0.00,0.00
0.00,0.60,414.22,0.00,0.00
0.00,0.60,436.64,0.00,0.00
1.00,0.60,467.00,430.55,0.00
1.00,0.35,480.25,442.77,0.00
0.00,0.10,460.75,0.00,0.00
0.00,0.10,430.48,0.00,0.00
0.00,0.10,429.22,0.00,0.00
0.00,0.10,417.45,0.00,0.00
0.00,0.10,418.50,0.00,0.00
0.00,0.10,411.81,0.00,0.00
0.00,0.10,393.48,0.00,0.00
0.00,0.10,379.11,0.00,0.00
-1.00,0.10,369.24,-369.24,0.00
-1.00,0.33,368.25,-368.25,0.00
-1.00,0.56,372.50,-372.50,0.00
-0.90,0.79,378.15,-342.14,0.00
0.00,1.00,392.83,0.00,0.00
0.00,1.00,427.23,0.00,0.00
0.77,1.00,471.88,333.19,0.00
0.00,0.81,444.29,0.00,0.00
0.00,0.81,429.42,0.00,0.00
0.00,0.81,424.69,0.00,0.00
0.00,0.81,404.08,0.00,0.00
0.00,0.81,412.00,0.00,0.00
0.00,0.81,414.22,0.00,0.00
0.00,0.81,436.64,0.00,0.00
0.00,0.81,467.00,0.00,0.00
1.00,0.81,480.25,442.77,0.00
0.00,0.56,460.75,0.00,0.00
0.00,0.56,430.48,0.00,0.00
0.00,0.56,429.22,0.00,0.00
0.00,0.56,417.45,0.00,0.00
0.00,0.56,418.50,0.00,0.00
0.00,0.56,411.81,0.00,0.00
0.00,0.56,393.67,0.00,0.00
0.00,0.56,393.50,0.00,0.00
0.00,0.56,397.56,0.00,0.00
0.00,0.56,402.96,0.00,0.00
0.00,0.56,416.55,0.00,0.00
0.00,0.56,429.80,0.00,0.00
0.00,0.56,450.02,0.00,0.00
0.00,0.56,469.00,0.00,0.00
1.00,0.56,482.21,444.57,0.00
0.00,0.31,448.50,0.00,0.00
0.00,0.31,426.25,0.00,0.00
0.00,0.31,403.17,0.00,0.00
-1.00,0.31,381.89,-381.89,0.00
-1.00,0.54,365.65,-365.65,0.00
-1.00,0.77,381.08,-381.08,0.00
0.00,1.00,397.85,0.00,0.00
0.00,1.00,441.38,0.00,0.00
1.00,1.00,491.99,453.59,0.00
1.00,0.75,501.52,462.38,0.00
1.00,0.50,488.88,450.73,0.00
0.60,0.25,484.75,268.15,0.00
-0.00,0.10,466.00,0.00,0.00
-0.00,0.10,444.62,0.00,0.00
0.00,0.10,411.74,0.00,0.00
-0.00,0.10,407.87,0.00,0.00
-0.00,0.10,388.05,0.00,0.00
0.00,0.10,214.47,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-1.00,0.33,-80.00,80.00,0.00
-1.00,0.56,-80.00,80.00,0.00
0.77,0.79,200.80,141.78,0.00
1.00,0.60,480.44,442.94,0.00
1.00,0.35,483.25,445.53,0.00
0.00,0.10,46.77,0.00,0.00
-0.90,0.10,-80.00,72.38,0.00
-1.00,0.31,-80.00,80.00,0.00
-1.00,0.54,-80.00,80.00,0.00
0.00,0.77,-80.00,-0.00,0.00
-1.00,0.77,-80.00,80.00,0.00
-0.00,1.00,35.00,0.00,0.00
0.00,1.00,591.65,0.00,0.00
0.60,1.00,808.91,447.47,0.00
1.00,0.85,851.14,784.72,0.00
1.00,0.60,839.27,773.77,0.00
1.00,0.35,850.57,784.19,0.00
0.00,0.10,757.42,0.00,0.00
0.00,0.10,628.33,0.00,0.00
-0.00,0.10,436.73,0.00,0.00
-1.00,0.10,-80.00,80.00,0.00
-0.90,0.33,-80.00,72.38,0.00
-1.00,0.54,-80.00,80.00,0.00
0.00,0.77,-80.00,-0.00,0.00
-1.00,0.77,-80.00,80.00,0.00
0.00,1.00,52.73,0.00,0.00
0.60,1.00,402.42,222.61,0.00
1.00,0.85,472.57,435.69,0.00
1.00,0.60,481.40,443.83,0.00
1.00,0.35,416.39,383.89,0.00
-0.90,0.10,43.02,-38.92,0.00
-1.00,0.31,-80.00,80.00,0.00
-1.00,0.54,-80.00,80.00,0.00
-1.00,0.77,-80.00,80.00,0.00
0.00,1.00,143.68,0.00,0.00
-0.00,1.00,455.88,0.00,0.00
-0.00,1.00,600.69,0.00,0.00
1.00,1.00,698.75,644.22,0.00
1.00,0.75,698.12,643.64,0.00
1.00,0.50,654.71,603.61,0.00
0.60,0.25,628.58,347.71,0.00
-0.00,0.10,500.60,0.00,0.00
0.00,0.10,440.62,0.00,0.00
-0.00,0.10,214.78,0.00,0.00
