BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.50,2.48,0.00,0.05,1.27,0.06,0.34,1.00,0.32,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,95.97,95.97,0.00
0.00,0.50,13.01,0.00,0.05,1.27,0.06,0.34,1.00,0.32,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,90.93,90.93,0.00
0.00,0.50,25.05,0.00,0.05,1.27,0.06,0.34,1.00,0.32,0.00,0.00,0.00,0.00,4.00,0.02,0.00,0.00,0.00,0.03,6.25,0.18,0.41,2.49,1.02,0.01,6.85,0.06,0.00,0.00,0.00,0.00,-38.30,-38.30,0.00
0.00,0.50,0.99,0.00,0.04,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-46.02,-46.02,0.00
0.00,0.50,0.00,0.00,0.04,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-30.86,-30.86,0.00
0.00,0.50,-0.01,-0.00,0.04,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-38.30,-38.30,0.00
-0.55,0.50,-0.01,0.01,0.04,0.00,0.00,0.34,1.76,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.50,0.15,0.41,3.50,1.42,0.01,3.00,0.02,0.00,0.00,0.00,0.00,-43.44,-43.44,2.38
-0.00,1.00,1.00,-0.00,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,-44.09,-44.09,0.01
-0.00,1.00,12.04,-0.02,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,-35.66,-35.66,0.01
-0.00,1.00,46.80,-0.06,0.05,2.53,0.11,0.34,4.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,5.87,0.20,0.39,3.50,1.37,0.01,4.00,0.03,0.00,0.00,0.00,0.00,200.00,200.00,0.02
