BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.10,26.48,0.00,0.00,-5.50,-0.00,0.00,0.00,0.00,0.25,1.10,0.25,0.00,-0.79,-0.00,0.04,4.93,0.21,0.25,1.73,0.43,0.04,13.53,0.58,0.00,0.00,0.00,0.00,-17.50,-17.50,0.00
0.00,0.10,6.00,0.00,0.00,-2.25,-0.00,0.00,0.00,0.00,0.25,1.40,0.32,0.00,-0.19,-0.00,0.04,2.47,0.10,0.25,0.95,0.24,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-12.51,-12.51,0.00
0.00,0.11,12.92,0.00,0.00,-2.25,-0.00,0.00,0.00,0.00,0.25,1.40,0.32,0.00,-0.19,-0.00,0.04,2.47,0.10,0.25,0.95,0.24,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-45.54,-45.54,0.00
0.00,0.11,12.43,0.00,0.00,-2.25,-0.00,0.00,0.00,0.00,0.25,1.40,0.32,0.00,-0.19,-0.00,0.04,2.47,0.10,0.25,0.95,0.24,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-37.88,-37.88,0.00
-0.02,0.11,4.32,-0.08,0.00,-2.25,-0.00,0.00,0.00,0.00,0.25,1.40,0.32,0.00,-0.19,-0.00,0.04,2.47,0.10,0.25,0.95,0.24,0.04,5.65,0.23,0.00,0.00,0.00,0.00,-37.16,-37.16,0.23
-0.46,0.15,3.05,-1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.25,4.07,0.94,0.04,3.97,0.15,0.04,3.87,0.16,0.25,0.80,0.20,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-29.56,-29.56,4.50
0.00,1.00,6.51,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.25,4.07,0.94,0.04,3.97,0.15,0.04,3.87,0.16,0.25,0.80,0.20,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-29.56,-29.56,0.00
0.00,1.00,26.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.25,4.07,0.94,0.04,3.97,0.15,0.04,3.87,0.16,0.25,0.80,0.20,0.04,5.00,0.20,0.00,0.00,0.00,0.00,-5.90,-5.90,0.00
0.00,1.00,56.51,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.25,4.07,0.94,0.04,3.97,0.15,0.04,3.87,0.16,0.25,0.80,0.20,0.04,5.00,0.20,0.00,0.00,0.00,0.00,26.23,26.23,0.00
0.00,1.00,55.09,0.00,0.00,-4.32,-0.00,0.00,0.00,0.00,0.25,1.23,0.28,0.04,0.11,0.00,0.04,4.12,0.17,0.25,1.34,0.33,0.06,8.52,0.49,0.00,0.00,0.00,0.00,33.72,33.72,0.00
