BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.32,0.50,65.73,19.29,0.00,0.00,0.00,0.00,0.00,0.00,0.68,5.40,3.39,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,73.15,73.15,0.12
0.02,0.36,64.96,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.98,5.40,4.89,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,71.95,71.95,0.01
-0.00,0.37,60.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.40,4.98,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,54.55,54.55,0.00
0.00,0.39,52.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.40,4.98,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,70.72,70.72,0.00
-0.17,0.41,48.98,-8.42,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.40,4.98,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,54.98,54.98,0.05
-0.50,0.50,48.95,-24.48,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.40,4.98,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,39.00,39.00,0.25
-0.50,0.75,48.96,-24.48,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.40,4.98,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,43.64,43.64,0.13
0.00,1.00,52.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,3.40,0.62,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,4.00,2.96,0.00,29.01,29.01,0.00
0.00,0.98,51.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.40,3.13,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,17.54,17.54,0.00
0.00,1.00,55.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,3.40,1.88,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,4.00,1.48,0.00,49.73,49.73,0.00
0.00,1.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,3.40,1.88,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,4.00,1.48,0.00,38.00,38.00,0.00
0.00,1.00,60.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,3.40,1.88,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,4.00,1.48,0.00,74.00,74.00,0.00
0.00,1.00,62.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,3.40,1.88,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,4.00,1.48,0.00,74.00,74.00,0.00
