BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
-0.09,0.91,60.51,-5.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,11.69,9.33,0.00,80.90,80.90,0.09
-0.05,1.00,59.24,-2.89,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,11.69,9.82,1.00,57.05,57.05,0.01
-0.01,1.00,56.96,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,11.69,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,11.69,9.82,0.00,53.65,53.65,0.00
0.00,0.93,57.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,39.25,39.25,0.00
0.04,1.00,63.91,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,53.66,53.66,0.02
0.07,1.00,66.12,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,68.00,68.00,0.01
0.00,0.93,59.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,19.39,19.39,0.00
0.00,1.00,54.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,65.97,65.97,0.00
-0.09,0.91,49.65,-4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,6.53,5.21,0.00,65.97,65.97,0.08
-0.05,1.00,49.20,-2.40,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.40,-0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,65.97,65.97,0.04
-0.05,1.00,56.91,-2.78,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.40,-0.00,0.00,0.00,0.00,0.50,6.53,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.53,5.48,0.00,38.19,38.19,0.05
-0.05,1.00,51.04,-2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,8.24,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.24,6.92,0.00,39.25,39.25,0.03
-0.05,1.00,59.32,-2.90,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.24,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.24,6.92,0.00,39.30,39.30,0.05
-0.05,1.00,60.57,-2.96,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.24,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.24,6.92,0.00,39.30,39.30,0.05
-0.05,1.00,59.02,-2.88,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.24,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.24,6.92,0.00,39.42,39.42,0.05
-0.05,1.00,63.40,-3.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,6.57,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.57,5.52,0.00,62.05,62.05,0.00
-0.05,1.00,67.64,-3.30,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,6.57,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.57,5.52,0.00,86.56,86.56,0.05
-0.05,1.00,66.22,-3.23,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,6.57,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.57,5.52,0.00,80.00,80.00,0.03
-0.05,1.00,62.93,-3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,6.57,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.57,5.52,0.00,57.26,57.26,0.01
-0.05,1.00,57.67,-2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,8.99,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.99,7.55,0.00,65.25,65.25,0.02
-0.05,1.00,82.43,-4.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,8.99,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.99,7.55,1.00,119.50,119.50,0.09
0.44,1.00,114.98,46.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,8.99,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,8.99,4.64,0.00,145.00,145.00,0.66
0.00,0.10,87.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,8.99,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,8.99,3.82,0.00,67.25,67.25,0.00
0.00,0.10,73.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.27,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,9.27,3.94,0.00,63.01,63.01,0.00
-0.49,0.10,61.51,-30.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.27,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,9.27,3.94,0.00,41.03,41.03,0.50
-0.05,1.00,60.58,-2.96,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,9.27,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.27,7.79,0.00,58.00,58.00,0.01
0.00,1.00,57.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.27,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.27,7.79,0.00,57.10,57.10,0.00
0.00,0.91,55.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.31,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,72.50,72.50,0.00
0.03,0.98,56.15,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.90,5.40,4.50,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,70.25,70.25,0.02
0.04,1.00,60.26,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,72.50,72.50,0.02
0.09,1.00,57.76,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,70.20,70.20,0.06
0.00,0.90,51.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,5.40,4.28,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,34.00,34.00,0.00
0.06,0.97,46.57,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.90,5.40,4.46,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,6.00,6.00,0.12
0.00,0.93,39.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,68.99,68.99,0.00
0.04,1.00,48.95,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,4.00,-0.00,0.00,68.50,68.50,0.04
-0.05,1.00,38.44,-1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.10,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.10,7.64,0.00,20.10,20.10,0.04
-0.05,1.00,55.05,-2.69,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,9.10,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.10,7.64,0.00,23.00,23.00,0.08
-0.05,1.00,55.10,-2.69,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,9.10,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.10,7.64,0.00,3.00,3.00,0.13
-0.05,1.00,55.60,-2.71,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,9.10,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.10,7.64,0.00,20.50,20.50,0.09
-0.05,1.00,59.93,-2.93,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,6.30,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.30,5.29,0.00,69.70,69.70,0.02
-0.05,1.00,67.79,-3.31,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,6.30,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.30,5.29,0.00,79.00,79.00,0.03
0.00,1.00,70.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,6.30,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,6.30,5.29,0.00,73.75,73.75,0.00
-0.09,0.91,58.79,-5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,6.30,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,6.30,5.03,-0.00,57.06,57.06,0.01
-0.05,1.00,55.57,-2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,10.26,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,10.26,8.62,1.00,42.75,42.75,0.03
0.00,1.00,82.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,3.40,-0.00,0.00,0.00,0.00,0.50,10.26,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,10.26,8.62,-0.00,69.17,69.17,0.00
0.13,0.91,98.32,12.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,10.26,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,10.26,8.19,-0.00,94.10,94.10,0.03
0.00,0.56,72.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,10.26,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,10.26,6.54,0.00,90.10,90.10,0.00
-0.29,0.51,61.05,-17.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.83,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,9.83,6.06,-0.00,42.10,42.10,0.27
-0.05,1.00,54.67,-2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.83,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.83,8.26,0.00,42.33,42.33,0.03
0.00,1.00,59.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.83,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,9.83,8.26,0.00,71.25,71.25,0.00
0.00,0.91,46.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.50,9.83,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,9.83,7.85,0.00,68.75,68.75,0.00
0.12,0.83,56.98,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.50,5.24,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,5.24,4.24,0.00,67.00,67.00,0.06
0.00,0.50,56.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,5.40,3.29,0.00,0.00,0.00,0.50,5.24,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.24,-0.00,0.00,69.50,69.50,0.00
0.00,0.58,56.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,5.40,3.49,0.00,0.00,0.00,0.50,5.24,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,0.00,0.00,65.00,65.00,0.00
0.07,0.66,52.03,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.74,5.40,3.68,0.00,0.00,0.00,0.50,5.24,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,0.00,0.00,64.99,64.99,0.05
-0.14,0.59,38.86,-5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.71,5.40,3.52,0.00,0.00,0.00,0.50,5.16,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.16,0.00,0.00,64.97,64.97,0.18
0.00,0.93,38.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,5.40,4.35,0.00,0.00,0.00,0.50,5.16,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.16,0.00,0.00,64.94,64.94,0.00
0.04,1.00,49.81,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.40,4.54,0.00,0.00,0.00,0.50,5.16,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,5.16,-0.00,0.00,64.97,64.97,0.03
