BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.61,0.50,115.95,65.28,0.00,0.00,0.00,0.39,1.10,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,13.51,6.26
1.00,0.35,149.98,138.27,0.00,0.00,0.00,-0.00,1.10,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.32,32.32,11.77
0.00,0.10,99.99,0.12,0.00,0.00,0.00,0.40,1.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,0.01
0.00,0.10,25.05,0.02,0.00,0.00,0.00,0.43,11.99,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.25,-23.25,0.00
0.00,0.10,7.85,0.00,0.00,0.00,0.00,0.43,11.99,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-68.54,-68.54,0.00
-0.50,0.10,-10.00,5.00,0.00,0.00,0.00,0.43,11.99,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,16.98,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.06,-76.06,3.30
-0.79,0.22,-25.00,19.73,0.00,0.00,0.00,0.43,11.99,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,16.98,3.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74.51,-74.51,3.91
-0.51,0.40,-24.98,12.76,0.00,0.00,0.00,0.40,2.75,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,16.99,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-75.16,-75.16,2.56
-1.00,0.51,-50.00,50.00,0.00,0.00,0.00,0.40,2.75,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,16.99,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74.99,-74.99,2.50
-1.00,0.74,-39.19,39.19,0.00,0.00,0.00,0.40,2.75,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.61,-30.61,0.86
