BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,LFSCapacity,LFSPrice_USDperMW,LFSRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DLCapacity,DLPrice_USDperMW,DLRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,DHCapacity,DHPrice_USDperMW,DHRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.50,115.95,0.00,0.00,0.00,0.00,0.25,1.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,13.51,0.00
0.20,0.50,149.98,27.55,0.00,0.00,0.00,0.25,1.10,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.32,32.32,2.34
0.00,0.10,99.99,0.00,0.00,0.00,0.00,0.23,1.10,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,0.00
0.00,0.10,25.05,0.00,0.00,0.00,0.00,0.23,11.99,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.25,-23.25,0.00
0.00,0.10,7.85,0.00,0.00,0.00,0.00,0.23,11.99,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-68.54,-68.54,0.00
0.00,0.10,-10.00,-0.00,0.00,0.00,0.00,0.23,11.99,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.06,-76.06,0.00
0.00,0.10,-25.00,-0.00,0.00,0.00,0.00,0.23,11.99,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.98,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74.51,-74.51,0.00
0.00,0.10,-24.98,-0.00,0.00,0.00,0.00,0.23,2.75,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.99,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-75.16,-75.16,0.00
-0.49,0.10,-50.00,24.40,0.00,0.00,0.00,0.23,2.75,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.99,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74.99,-74.99,1.22
-0.00,1.00,-39.19,0.02,0.00,0.00,0.00,0.25,2.75,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,16.99,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.61,-30.61,0.00
